"HomeTeam","AwayTeam","HomeGoals","AwayGoals","Round","Year","Date"
"Werder Bremen","Borussia Dortmund",3,2,1,1963,1963-08-24 10:30:00
"Hertha BSC Berlin","1. FC Nuernberg",1,1,1,1963,1963-08-24 10:30:00
"Preussen Muenster","Hamburger SV",1,1,1,1963,1963-08-24 10:30:00
"Eintracht Frankfurt","1. FC Kaiserslautern",1,1,1,1963,1963-08-24 10:30:00
"Karlsruher SC","Meidericher SV",1,4,1,1963,1963-08-24 10:30:00
"1. FC Saarbruecken","1. FC Koeln",0,2,1,1963,1963-08-24 10:30:00
"TSV 1860 Muenchen","Eintracht Braunschweig",1,1,1,1963,1963-08-24 10:30:00
"Schalke 04","VfB Stuttgart",2,0,1,1963,1963-08-24 10:30:00
"Borussia Dortmund","TSV 1860 Muenchen",3,3,2,1963,1963-08-31 10:30:00
"1. FC Nuernberg","Werder Bremen",3,0,2,1963,1963-08-31 10:30:00
"Hamburger SV","1. FC Saarbruecken",4,2,2,1963,1963-08-31 10:30:00
"1. FC Kaiserslautern","Schalke 04",2,3,2,1963,1963-08-31 10:30:00
"Meidericher SV","Eintracht Frankfurt",3,1,2,1963,1963-08-31 10:30:00
"1. FC Koeln","Karlsruher SC",4,0,2,1963,1963-08-31 10:30:00
"Eintracht Braunschweig","Preussen Muenster",1,0,2,1963,1963-08-31 10:30:00
"VfB Stuttgart","Hertha BSC Berlin",2,0,2,1963,1963-08-31 10:30:00
"Werder Bremen","VfB Stuttgart",2,2,3,1963,1963-09-07 10:30:00
"Hertha BSC Berlin","1. FC Kaiserslautern",2,2,3,1963,1963-09-07 10:30:00
"Preussen Muenster","Meidericher SV",4,2,3,1963,1963-09-07 10:30:00
"Eintracht Frankfurt","1. FC Nuernberg",2,3,3,1963,1963-09-07 10:30:00
"Karlsruher SC","Hamburger SV",0,4,3,1963,1963-09-07 10:30:00
"1. FC Saarbruecken","Eintracht Braunschweig",2,2,3,1963,1963-09-07 10:30:00
"TSV 1860 Muenchen","1. FC Koeln",1,3,3,1963,1963-09-07 10:30:00
"Schalke 04","Borussia Dortmund",3,1,3,1963,1963-09-07 10:30:00
"Borussia Dortmund","1. FC Saarbruecken",2,1,4,1963,1963-09-14 10:30:00
"1. FC Nuernberg","Preussen Muenster",2,2,4,1963,1963-09-14 10:30:00
"Hamburger SV","Eintracht Frankfurt",3,0,4,1963,1963-09-14 10:30:00
"1. FC Kaiserslautern","Werder Bremen",3,0,4,1963,1963-09-14 10:30:00
"Meidericher SV","Hertha BSC Berlin",1,3,4,1963,1963-09-14 10:30:00
"1. FC Koeln","Schalke 04",2,2,4,1963,1963-09-14 10:30:00
"Eintracht Braunschweig","Karlsruher SC",2,0,4,1963,1963-09-14 10:30:00
"VfB Stuttgart","TSV 1860 Muenchen",1,1,4,1963,1963-09-14 10:30:00
"Werder Bremen","Meidericher SV",1,1,5,1963,1963-09-21 10:30:00
"Hertha BSC Berlin","1. FC Koeln",0,3,5,1963,1963-09-21 10:30:00
"Preussen Muenster","VfB Stuttgart",4,2,5,1963,1963-09-21 10:30:00
"Eintracht Frankfurt","Eintracht Braunschweig",3,0,5,1963,1963-09-21 10:30:00
"Karlsruher SC","Borussia Dortmund",1,3,5,1963,1963-09-21 10:30:00
"1. FC Saarbruecken","1. FC Nuernberg",3,5,5,1963,1963-09-21 10:30:00
"TSV 1860 Muenchen","1. FC Kaiserslautern",3,0,5,1963,1963-09-21 10:30:00
"Schalke 04","Hamburger SV",1,0,5,1963,1963-09-21 10:30:00
"Borussia Dortmund","Eintracht Frankfurt",3,0,6,1963,1963-10-05 10:30:00
"1. FC Nuernberg","Karlsruher SC",2,4,6,1963,1963-10-05 10:30:00
"Hamburger SV","Hertha BSC Berlin",5,1,6,1963,1963-10-05 10:30:00
"1. FC Kaiserslautern","Preussen Muenster",0,0,6,1963,1963-10-05 10:30:00
"Meidericher SV","TSV 1860 Muenchen",3,0,6,1963,1963-10-05 10:30:00
"1. FC Koeln","Werder Bremen",4,3,6,1963,1963-10-05 10:30:00
"Eintracht Braunschweig","Schalke 04",4,3,6,1963,1963-10-05 10:30:00
"VfB Stuttgart","1. FC Saarbruecken",3,1,6,1963,1963-10-05 10:30:00
"Werder Bremen","Hamburger SV",4,2,7,1963,1963-10-12 10:30:00
"Hertha BSC Berlin","Eintracht Braunschweig",1,2,7,1963,1963-10-12 10:30:00
"Preussen Muenster","Borussia Dortmund",1,2,7,1963,1963-10-12 10:30:00
"Eintracht Frankfurt","1. FC Koeln",2,1,7,1963,1963-10-12 10:30:00
"Karlsruher SC","VfB Stuttgart",0,3,7,1963,1963-10-12 10:30:00
"1. FC Saarbruecken","1. FC Kaiserslautern",2,4,7,1963,1963-10-12 10:30:00
"TSV 1860 Muenchen","1. FC Nuernberg",5,0,7,1963,1963-10-12 10:30:00
"Schalke 04","Meidericher SV",2,2,7,1963,1963-10-12 10:30:00
"Borussia Dortmund","Hertha BSC Berlin",7,2,8,1963,1963-10-19 10:30:00
"1. FC Nuernberg","Schalke 04",0,2,8,1963,1963-10-19 10:30:00
"Hamburger SV","TSV 1860 Muenchen",5,0,8,1963,1963-10-19 10:30:00
"1. FC Kaiserslautern","Karlsruher SC",1,0,8,1963,1963-10-19 10:30:00
"Meidericher SV","1. FC Saarbruecken",3,1,8,1963,1963-10-19 10:30:00
"1. FC Koeln","Preussen Muenster",3,0,8,1963,1963-10-19 10:30:00
"Eintracht Braunschweig","Werder Bremen",1,1,8,1963,1963-10-19 10:30:00
"VfB Stuttgart","Eintracht Frankfurt",0,0,8,1963,1963-10-19 10:30:00
"1. FC Nuernberg","1. FC Kaiserslautern",0,5,9,1963,1963-10-26 10:30:00
"Hertha BSC Berlin","Eintracht Frankfurt",1,3,9,1963,1963-10-26 10:30:00
"Hamburger SV","Eintracht Braunschweig",2,1,9,1963,1963-10-26 10:30:00
"Preussen Muenster","TSV 1860 Muenchen",0,0,9,1963,1963-10-26 10:30:00
"1. FC Koeln","Meidericher SV",3,3,9,1963,1963-10-26 10:30:00
"1. FC Saarbruecken","Karlsruher SC",1,3,9,1963,1963-10-26 10:30:00
"VfB Stuttgart","Borussia Dortmund",2,1,9,1963,1963-10-26 10:30:00
"Schalke 04","Werder Bremen",2,3,9,1963,1963-10-26 10:30:00
"Borussia Dortmund","1. FC Nuernberg",3,1,10,1963,1963-11-09 09:30:00
"Werder Bremen","Hertha BSC Berlin",2,2,10,1963,1963-11-09 09:30:00
"1. FC Kaiserslautern","VfB Stuttgart",1,3,10,1963,1963-11-09 09:30:00
"Eintracht Frankfurt","Schalke 04",4,2,10,1963,1963-11-09 09:30:00
"Meidericher SV","Hamburger SV",4,0,10,1963,1963-11-09 09:30:00
"Karlsruher SC","Preussen Muenster",4,2,10,1963,1963-11-09 09:30:00
