"SPD","CDU/CSU","Gruene","FDP","Linke"
761302,733004,73345,65315,48634
326130,316169,34904,42840,231205
447335,320444,85730,32904,44503
2249746,1857583,224575,186474,168205
184817,96120,35147,13514,25658
608044,358754,44562,66723,423111
508573,404318,39112,71965,369268
681591,483014,229849,70471,321714
4658692,4161570,433372,422724,425709
666709,940306,94127,176889,590726
1415806,1338785,195060,158793,142516
459850,420605,51835,71968,368228
946310,1024834,99769,130808,111029
1960561,3889990,449976,353503,201865
2013195,2720955,428574,321612,182288
240439,214489,18976,22028,109509
