"neuroticism","extraversion","sex","volunteer"
16,13,"female","no"
8,14,"male","no"
5,16,"male","no"
8,20,"female","no"
9,19,"male","no"
6,15,"male","no"
8,10,"female","no"
12,11,"male","no"
15,16,"male","no"
18,7,"male","no"
12,16,"female","no"
9,15,"male","no"
13,11,"male","no"
9,13,"male","no"
12,16,"female","no"
11,12,"male","no"
5,5,"male","no"
12,8,"male","no"
9,7,"male","no"
4,11,"female","no"
17,8,"male","no"
13,12,"female","no"
10,13,"male","no"
10,12,"female","no"
22,6,"female","no"
15,15,"female","no"
13,13,"male","no"
4,7,"female","no"
9,9,"female","no"
18,16,"male","no"
10,16,"male","no"
20,15,"female","no"
15,6,"female","no"
19,15,"male","no"
11,14,"female","no"
4,11,"male","no"
17,14,"female","no"
14,15,"female","no"
15,8,"female","no"
5,20,"female","no"
8,10,"male","no"
16,12,"female","no"
14,8,"female","no"
5,12,"male","no"
15,19,"female","no"
8,9,"male","no"
8,15,"male","no"
2,17,"female","no"
9,18,"male","no"
18,18,"female","no"
17,14,"male","no"
14,15,"female","no"
13,16,"female","no"
6,16,"female","no"
7,11,"female","no"
13,8,"female","no"
12,12,"female","no"
16,7,"female","no"
11,16,"female","no"
10,11,"female","no"
7,16,"male","no"
14,5,"female","no"
19,12,"male","no"
7,8,"female","no"
10,11,"female","no"
13,6,"female","no"
15,21,"female","no"
6,10,"male","no"
15,12,"male","no"
10,7,"male","no"
20,13,"male","no"
16,15,"female","no"
19,8,"female","no"
21,16,"female","no"
17,18,"female","no"
7,12,"female","no"
9,13,"male","no"
7,11,"female","no"
12,13,"female","no"
12,14,"male","no"
3,20,"male","no"
16,13,"male","no"
3,13,"male","no"
10,16,"female","no"
5,15,"female","no"
13,12,"female","no"
15,14,"female","no"
21,10,"female","no"
16,14,"female","no"
14,13,"female","no"
11,9,"female","no"
18,10,"female","no"
14,13,"male","no"
7,15,"female","no"
21,8,"female","no"
15,11,"female","no"
12,12,"male","no"
11,17,"female","no"
7,12,"female","no"
3,9,"male","no"
2,10,"female","no"
10,8,"male","no"
15,14,"male","no"
16,13,"male","no"
10,18,"male","no"
8,9,"male","no"
7,10,"male","no"
14,8,"female","no"
9,10,"female","no"
8,12,"male","no"
11,11,"female","no"
10,10,"female","no"
4,11,"female","no"
17,5,"female","no"
7,12,"male","no"
8,16,"male","no"
3,13,"male","no"
5,8,"male","no"
12,17,"male","no"
12,9,"male","no"
6,9,"male","no"
1,10,"female","no"
5,14,"male","no"
14,16,"female","no"
3,14,"female","no"
10,15,"female","no"
12,14,"female","no"
14,5,"male","no"
10,11,"male","no"
10,15,"female","no"
10,17,"female","no"
19,13,"male","no"
9,9,"male","no"
18,16,"female","no"
12,17,"female","no"
7,18,"male","no"
15,10,"male","no"
13,7,"male","no"
8,15,"female","no"
17,9,"female","no"
10,13,"male","no"
16,8,"female","no"
7,17,"female","no"
12,11,"male","no"
9,10,"male","no"
7,16,"male","no"
6,17,"male","no"
1,13,"female","no"
18,10,"female","no"
8,9,"female","no"
15,12,"female","no"
19,11,"male","no"
12,15,"male","no"
14,12,"male","no"
13,12,"female","no"
8,14,"male","no"
8,12,"female","no"
18,6,"female","no"
10,12,"female","no"
9,8,"female","no"
7,7,"male","no"
3,11,"male","no"
6,12,"male","no"
16,16,"female","no"
18,8,"male","no"
10,14,"male","no"
9,15,"female","no"
17,15,"male","no"
9,14,"male","no"
12,12,"female","no"
6,10,"male","no"
8,9,"female","no"
5,16,"male","no"
13,20,"female","no"
14,13,"female","no"
8,19,"male","no"
15,10,"female","no"
7,5,"male","no"
4,11,"female","no"
16,7,"male","no"
15,5,"male","no"
2,7,"male","no"
20,10,"female","no"
12,10,"male","no"
17,8,"female","no"
6,12,"female","no"
10,7,"male","no"
17,14,"female","no"
4,16,"male","no"
12,15,"male","no"
12,14,"male","no"
20,13,"male","no"
5,9,"male","no"
13,9,"male","no"
21,17,"male","no"
18,14,"female","no"
12,11,"female","no"
12,15,"male","no"
18,6,"male","no"
2,17,"female","no"
14,11,"male","no"
5,7,"female","no"
9,13,"female","no"
10,10,"female","no"
12,7,"male","no"
17,10,"female","no"
18,5,"female","no"
11,7,"male","no"
6,11,"male","no"
11,16,"female","no"
11,10,"male","no"
6,11,"female","no"
18,11,"male","no"
10,8,"male","no"
13,14,"female","no"
20,10,"female","no"
16,6,"male","no"
14,11,"female","no"
17,18,"female","yes"
17,19,"male","yes"
17,22,"female","yes"
17,17,"female","yes"
16,19,"female","yes"
16,17,"female","yes"
16,11,"male","no"
5,14,"female","no"
6,16,"male","no"
15,8,"male","no"
16,4,"male","no"
15,9,"female","no"
6,15,"male","no"
10,13,"male","no"
1,8,"female","no"
9,12,"male","no"
13,11,"male","no"
11,13,"male","no"
17,3,"male","no"
1,14,"male","no"
11,7,"male","no"
19,9,"male","no"
4,7,"male","no"
5,8,"male","no"
14,8,"female","no"
4,10,"male","no"
16,9,"male","no"
8,8,"male","no"
16,10,"male","no"
2,17,"male","no"
9,12,"male","no"
5,11,"female","no"
4,17,"male","no"
9,11,"female","no"
13,6,"male","no"
6,15,"male","no"
11,10,"male","no"
10,14,"male","no"
12,15,"male","no"
19,11,"female","no"
18,9,"female","no"
3,13,"female","no"
5,8,"male","no"
12,17,"male","no"
19,3,"male","no"
16,14,"male","no"
19,13,"male","no"
9,19,"male","no"
6,15,"male","no"
10,13,"female","no"
11,9,"female","no"
13,11,"female","no"
4,14,"male","no"
13,10,"male","no"
12,12,"male","no"
4,13,"male","no"
10,16,"male","no"
10,8,"male","no"
9,21,"female","no"
17,9,"male","no"
4,8,"female","no"
10,7,"male","no"
14,12,"female","no"
16,12,"female","no"
10,12,"female","no"
11,15,"female","no"
7,10,"female","no"
5,10,"male","no"
11,13,"female","no"
14,13,"male","no"
5,9,"male","no"
11,17,"female","no"
2,12,"female","no"
13,8,"female","no"
3,16,"male","no"
9,3,"male","no"
6,13,"male","no"
11,16,"male","no"
9,10,"male","no"
5,7,"male","no"
10,14,"male","no"
8,12,"male","no"
18,9,"female","no"
15,11,"female","no"
18,20,"male","no"
9,17,"female","no"
12,14,"female","no"
10,18,"male","no"
12,4,"female","no"
14,8,"male","no"
6,14,"male","no"
8,13,"female","no"
5,16,"male","no"
10,9,"male","no"
11,16,"male","no"
5,15,"male","no"
10,12,"male","no"
13,8,"female","no"
16,13,"female","no"
11,12,"female","no"
12,16,"male","no"
12,13,"male","no"
3,3,"male","no"
14,9,"female","no"
5,11,"female","no"
11,11,"male","no"
7,4,"male","no"
9,15,"female","no"
11,9,"female","no"
8,12,"male","no"
18,14,"female","no"
8,12,"male","no"
9,10,"male","no"
6,6,"female","no"
11,14,"male","no"
20,14,"female","no"
16,6,"male","no"
9,13,"female","no"
18,4,"male","no"
12,9,"female","no"
9,11,"male","no"
3,5,"female","no"
20,2,"female","no"
17,12,"female","no"
18,5,"female","no"
9,14,"male","no"
7,10,"female","no"
10,15,"female","no"
14,14,"female","no"
11,12,"female","no"
4,9,"male","no"
11,10,"male","no"
15,11,"male","no"
14,13,"male","no"
5,13,"female","no"
15,13,"female","no"
22,13,"male","no"
6,14,"female","no"
5,6,"male","no"
2,20,"male","no"
7,10,"male","no"
15,8,"male","no"
14,6,"male","no"
13,9,"male","no"
13,9,"male","no"
6,14,"female","no"
16,8,"female","no"
6,6,"female","no"
20,10,"male","no"
7,11,"male","no"
4,12,"male","no"
8,20,"male","no"
7,15,"female","no"
12,10,"male","no"
3,9,"male","no"
9,17,"male","no"
12,15,"male","no"
7,8,"female","no"
18,10,"female","no"
11,13,"female","no"
17,10,"female","no"
20,10,"female","no"
16,13,"male","no"
16,19,"female","no"
15,9,"male","no"
10,15,"male","no"
10,19,"male","no"
9,15,"female","no"
9,13,"male","no"
10,3,"female","no"
3,8,"male","no"
15,18,"female","no"
7,8,"male","no"
13,17,"female","no"
14,9,"female","no"
10,10,"male","no"
9,14,"female","no"
13,16,"female","no"
3,11,"male","no"
7,13,"male","no"
14,14,"female","no"
15,19,"male","no"
18,13,"female","no"
2,16,"male","no"
6,5,"male","no"
11,11,"male","no"
3,15,"male","no"
10,15,"male","no"
11,9,"male","no"
13,11,"male","no"
13,10,"female","no"
6,11,"female","no"
8,11,"male","no"
20,20,"male","no"
20,16,"female","no"
10,13,"female","no"
12,12,"male","no"
12,17,"female","no"
11,16,"female","no"
9,15,"female","no"
7,15,"female","no"
7,16,"male","no"
7,13,"female","no"
6,14,"male","no"
10,12,"female","no"
13,13,"male","no"
13,12,"female","no"
16,13,"female","no"
12,5,"female","no"
19,9,"female","no"
13,17,"female","no"
12,13,"female","no"
10,18,"male","no"
10,14,"male","no"
5,14,"male","no"
8,14,"male","no"
15,16,"female","yes"
12,13,"female","yes"
9,10,"female","yes"
7,13,"female","yes"
7,15,"male","yes"
17,12,"male","yes"
16,13,"female","yes"
6,13,"male","yes"
14,10,"female","yes"
9,14,"female","yes"
8,9,"male","yes"
5,16,"male","yes"
7,12,"female","yes"
6,14,"female","yes"
9,15,"male","yes"
6,9,"male","yes"
8,16,"male","yes"
14,14,"male","yes"
6,21,"male","yes"
7,16,"female","yes"
16,8,"female","yes"
19,10,"female","yes"
13,7,"female","yes"
13,13,"female","yes"
15,12,"male","yes"
17,11,"male","yes"
9,18,"female","yes"
20,13,"male","yes"
7,14,"female","yes"
19,14,"female","yes"
6,15,"male","yes"
4,12,"female","yes"
14,11,"male","yes"
9,15,"female","yes"
4,13,"female","yes"
2,15,"male","yes"
21,13,"male","yes"
11,9,"male","yes"
11,13,"male","yes"
9,12,"male","yes"
