"sex","white","age","play","round","season","cash","sex1","white1","age1","play1","win","win1"
"male","yes",20,"foe","1","1",1.2,"male","yes",32,"friend",1.2,0
"male","yes",40,"foe","3","1",7.7,"female","yes",31,"foe",0,0
"female","no",35,"foe","2","1",3.2,"female","no",24,"foe",0,0
"male","yes",26,"friend","1","1",1.2,"male","yes",40,"friend",0.6,0.6
"female","yes",40,"friend","3","1",5.7,"male","yes",26,"foe",0,5.7
"female","yes",28,"foe","2","1",3.7,"female","yes",23,"friend",3.7,0
"female","yes",26,"friend","1","1",1.2,"female","yes",48,"friend",0.6,0.6
"male","no",30,"foe","3","1",7.2,"male","no",27,"friend",7.2,0
"female","yes",30,"friend","2","1",3.7,"male","yes",22,"foe",0,3.7
"female","yes",25,"friend","1","1",0.7,"male","yes",61,"friend",0.35,0.35
"male","yes",24,"foe","2","1",2.2,"male","yes",32,"foe",0,0
"female","yes",31,"foe","3","1",5.2,"female","yes",41,"friend",5.2,0
"female","yes",55,"foe","1","1",0.7,"male","yes",25,"friend",0.7,0
"male","yes",37,"friend","3","1",5.7,"male","yes",19,"foe",0,5.7
"female","yes",24,"foe","2","1",1.7,"female","yes",36,"foe",0,0
"female","no",31,"foe","1","1",1.2,"male","no",37,"friend",1.2,0
"male","yes",24,"foe","3","1",9.2,"female","yes",49,"foe",0,0
"female","yes",27,"foe","2","1",2.7,"male","yes",22,"foe",0,0
"male","yes",22,"foe","1","1",0.7,"female","yes",21,"foe",0,0
"male","yes",40,"friend","3","1",4.2,"male","yes",23,"foe",0,4.2
"male","yes",26,"friend","2","1",3.2,"male","yes",27,"foe",0,3.2
"female","yes",27,"friend","3","1",5.2,"male","yes",26,"foe",0,5.2
"female","yes",40,"friend","1","1",1.2,"female","yes",24,"friend",0.6,0.6
"male","yes",22,"foe","2","1",2.7,"male","yes",31,"friend",2.7,0
"female","yes",31,"foe","3","1",5.7,"female","yes",31,"friend",5.7,0
"male","yes",20,"foe","1","1",0.7,"female","yes",30,"friend",0.7,0
"male","no",39,"friend","2","1",1.2,"female","no",35,"friend",0.6,0.6
"female","no",30,"friend","1","1",3.2,"male","no",36,"foe",0,3.2
"female","yes",25,"friend","3","1",6.2,"male","yes",29,"friend",3.1,3.1
"male","no",44,"friend","2","1",5.2,"female","no",24,"friend",2.6,2.6
"female","yes",43,"foe","2","1",3.2,"male","yes",39,"foe",0,0
"female","yes",31,"foe","1","1",1.2,"male","yes",30,"foe",0,0
"male","yes",30,"friend","3","1",8.2,"male","yes",46,"friend",4.1,4.1
"female","no",25,"friend","3","1",3.7,"male","no",24,"foe",0,3.7
"female","yes",29,"friend","1","1",1.2,"female","yes",40,"foe",0,1.2
"female","yes",44,"foe","1","1",1.2,"female","yes",26,"friend",1.2,0
"male","yes",37,"foe","3","1",8.7,"male","yes",29,"foe",0,0
"female","yes",24,"friend","2","1",4.2,"male","yes",24,"friend",2.1,2.1
"female","yes",18,"friend","1","1",0.7,"male","yes",38,"friend",0.35,0.35
"male","yes",34,"friend","3","1",16.4,"male","yes",26,"foe",0,16.4
"female","yes",34,"friend","1","1",0.2,"female","yes",29,"foe",0,0.2
"female","yes",33,"friend","2","1",8.2,"male","yes",19,"friend",4.1,4.1
"male","yes",29,"friend","3","1",2.2,"female","yes",22,"foe",0,2.2
"female","yes",42,"foe","1","1",1.2,"male","yes",35,"foe",0,0
"female","yes",25,"friend","1","1",1.2,"male","yes",26,"friend",0.6,0.6
"male","yes",32,"foe","3","1",6.7,"male","yes",40,"friend",6.7,0
"female","no",29,"foe","1","1",3.2,"female","no",49,"friend",3.2,0
"male","yes",28,"foe","2","2",5.5,"female","yes",23,"foe",0,0
"female","yes",22,"friend","1","2",0.5,"male","yes",37,"friend",0.25,0.25
"male","yes",22,"friend","2","2",2,"female","yes",32,"foe",0,2
"female","yes",24,"friend","3","1",7.2,"male","yes",37,"foe",0,7.2
"male","yes",30,"foe","3","1",2.2,"male","yes",27,"foe",0,0
"female","yes",42,"friend","2","1",1.2,"female","yes",29,"friend",0.6,0.6
"male","no",41,"friend","1","1",0.7,"female","no",31,"foe",0,0.7
"female","yes",20,"foe","2","1",3.7,"female","yes",36,"friend",3.7,0
"male","yes",31,"friend","3","1",8.7,"male","yes",31,"friend",4.35,4.35
"female","yes",33,"friend","1","1",2.2,"female","yes",28,"friend",1.1,1.1
"male","yes",37,"friend","3","1",9.2,"male","yes",27,"foe",0,9.2
"female","no",28,"friend","1","1",0.7,"male","no",20,"foe",0,0.7
"male","yes",22,"foe","1","1",0.7,"male","yes",34,"foe",0,0
"female","yes",18,"friend","1","1",4.7,"female","yes",25,"foe",0,4.7
"male","yes",57,"friend","3","1",9.2,"female","yes",44,"foe",0,9.2
"female","yes",23,"friend","2","1",6.2,"male","yes",28,"foe",0,6.2
"male","yes",27,"foe","1","1",1.7,"female","yes",50,"friend",1.7,0
"female","yes",32,"foe","1","1",1.7,"male","yes",38,"friend",1.7,0
"female","yes",33,"foe","3","2",6,"male","yes",21,"foe",0,0
"male","yes",22,"foe","2","2",0.5,"female","yes",22,"foe",0,0
"female","no",22,"foe","3","2",3,"male","no",40,"friend",3,0
"female","no",19,"foe","1","2",0.2,"female","no",21,"friend",0.2,0
"male","yes",48,"foe","1","2",2.5,"male","yes",22,"foe",0,0
"male","yes",25,"friend","3","2",7.5,"female","yes",31,"foe",0,7.5
"female","yes",23,"foe","2","2",4.5,"male","yes",25,"foe",0,0
"male","yes",23,"friend","3","2",10,"female","yes",31,"foe",0,10
"female","yes",18,"foe","1","2",1.5,"male","yes",37,"friend",1.5,0
"male","yes",21,"friend","2","1",7.7,"female","yes",33,"friend",3.85,3.85
"female","yes",27,"friend","1","1",0.2,"female","yes",50,"foe",0,0.2
"female","yes",23,"foe","2","1",3.2,"male","yes",30,"foe",0,0
"female","yes",47,"friend","3","1",3.7,"male","yes",41,"friend",1.85,1.85
"male","no",21,"foe","1","1",1.2,"female","no",20,"foe",0,0
"female","no",28,"friend","3","1",5.2,"male","no",29,"friend",2.6,2.6
"female","yes",27,"foe","2","1",2.7,"female","yes",43,"friend",2.7,0
"male","yes",23,"friend","3","1",6.2,"male","yes",33,"friend",3.1,3.1
"female","yes",19,"foe","1","1",0.2,"male","yes",39,"friend",0.2,0
"female","yes",32,"foe","2","1",2.7,"female","yes",25,"foe",0,0
"male","yes",30,"friend","1","1",0.7,"male","yes",28,"foe",0,0.7
"female","yes",39,"friend","3","1",7.7,"male","yes",30,"friend",3.85,3.85
"female","yes",22,"foe","2","1",3.7,"female","yes",33,"friend",3.7,0
"male","yes",20,"foe","2","1",5.7,"male","yes",41,"friend",5.7,0
"female","yes",41,"friend","1","1",0.2,"female","yes",35,"friend",0.1,0.1
"male","yes",25,"foe","3","1",7.7,"male","yes",28,"friend",7.7,0
"female","yes",20,"foe","1","1",1.2,"female","yes",27,"foe",0,0
"male","yes",42,"friend","3","1",4.7,"female","yes",20,"foe",0,4.7
"female","yes",29,"friend","2","1",2.2,"male","yes",40,"friend",1.1,1.1
"male","yes",29,"foe","1","1",1.2,"female","yes",43,"foe",0,0
"female","no",21,"friend","3","1",7.7,"male","no",25,"friend",3.85,3.85
"female","yes",18,"foe","2","2",2.5,"male","yes",23,"foe",0,0
"male","no",23,"friend","2","2",3.5,"female","no",23,"foe",0,3.5
"female","yes",31,"friend","1","2",1,"male","yes",50,"friend",0.5,0.5
"female","yes",30,"friend","3","2",4,"male","yes",20,"friend",2,2
"female","yes",20,"friend","3","2",9,"female","yes",24,"foe",0,9
"male","yes",20,"foe","1","2",0.5,"male","yes",41,"foe",0,0
"male","no",31,"foe","1","2",0.5,"female","no",18,"foe",0,0
"female","yes",27,"foe","2","2",3.5,"male","yes",23,"friend",3.5,0
"male","yes",34,"friend","3","2",6,"female","yes",21,"foe",0,6
"female","yes",51,"friend","1","2",0.2,"male","yes",22,"foe",0,0.2
"female","yes",28,"friend","2","2",4,"female","yes",20,"friend",2,2
"male","no",34,"friend","3","2",8,"male","no",20,"foe",0,8
"male","yes",29,"foe","1","2",1,"male","yes",34,"friend",1,0
"male","no",29,"foe","3","2",5,"female","no",26,"foe",0,0
"female","yes",26,"friend","1","2",0.2,"male","yes",27,"foe",0,0.2
"male","yes",35,"foe","2","2",0.5,"female","yes",19,"foe",0,0
"male","no",29,"foe","2","2",2.5,"male","no",19,"friend",2.5,0
"female","yes",32,"friend","3","2",6,"female","yes",20,"friend",3,3
"female","yes",29,"foe","1","2",0.5,"female","yes",31,"friend",0.5,0
"male","yes",23,"foe","3","2",7.5,"male","yes",26,"friend",7.5,0
"male","yes",25,"foe","2","2",2,"female","yes",44,"friend",2,0
"female","yes",42,"friend","1","2",0.5,"female","yes",19,"foe",0,0.5
"male","yes",24,"friend","2","2",3.5,"male","yes",29,"foe",0,3.5
"female","yes",24,"foe","3","2",6,"female","yes",29,"foe",0,0
"male","yes",32,"friend","1","2",3,"female","yes",22,"foe",0,3
"female","yes",31,"foe","3","2",7.5,"male","yes",25,"friend",7.5,0
"male","no",36,"friend","1","2",0.5,"female","no",36,"friend",0.25,0.25
"female","yes",35,"friend","2","2",3,"female","yes",21,"friend",1.5,1.5
"male","yes",33,"foe","3","2",4,"male","yes",21,"foe",0,0
"female","no",24,"friend","1","2",0.2,"male","no",20,"foe",0,0.2
"male","no",31,"friend","2","2",0.5,"female","no",19,"foe",0,0.5
"female","yes",20,"foe","2","2",3.5,"male","yes",42,"friend",3.5,0
"male","yes",25,"friend","3","2",8,"female","yes",23,"friend",4,4
"male","no",28,"foe","1","2",0.5,"female","no",30,"foe",0,0
"female","yes",24,"friend","3","2",3.5,"male","yes",26,"friend",1.75,1.75
"male","yes",29,"friend","2","2",2,"female","yes",22,"foe",0,2
"female","yes",30,"foe","1","2",0.5,"female","yes",22,"foe",0,0
"male","yes",24,"friend","2","2",6.5,"male","yes",23,"foe",0,6.5
"male","yes",42,"friend","1","2",3,"female","yes",27,"friend",1.5,1.5
"female","yes",23,"foe","3","2",8,"male","yes",19,"foe",0,0
"male","yes",27,"friend","2","2",2,"male","yes",38,"friend",1,1
"female","no",40,"foe","1","2",0.5,"female","no",23,"foe",0,0
"male","yes",44,"friend","3","2",7.5,"male","yes",22,"foe",0,7.5
"female","yes",18,"foe","1","2",0.5,"female","yes",20,"friend",0.5,0
"female","yes",18,"friend","2","2",2,"male","yes",30,"foe",0,2
"male","yes",18,"foe","3","2",6,"female","yes",29,"foe",0,0
"female","yes",26,"foe","3","2",3,"male","yes",29,"foe",0,0
"male","yes",47,"foe","1","2",1,"female","yes",36,"foe",0,0
"female","no",34,"foe","2","2",2,"male","no",23,"foe",0,0
"female","yes",29,"friend","2","2",5.5,"female","yes",19,"friend",2.75,2.75
"male","yes",43,"foe","1","2",0.5,"male","yes",26,"foe",0,0
"male","yes",27,"foe","1","2",0.5,"female","yes",26,"foe",0,0
"female","yes",23,"friend","2","2",6,"male","yes",25,"foe",0,6
"male","yes",20,"friend","1","2",3.5,"female","yes",22,"friend",1.75,1.75
"male","yes",39,"foe","3","2",9,"female","yes",33,"foe",0,0
"female","yes",23,"friend","1","2",1,"male","yes",20,"friend",0.5,0.5
"male","yes",31,"foe","2","2",4,"female","yes",29,"foe",0,0
"female","yes",30,"friend","3","2",4.5,"male","yes",28,"foe",0,4.5
"male","yes",25,"foe","2","2",1.5,"female","yes",40,"foe",0,0
"female","yes",28,"friend","1","2",0.2,"male","yes",27,"foe",0,0.2
"male","yes",21,"foe","3","2",4,"female","yes",19,"foe",0,0
"female","yes",23,"friend","3","2",8.5,"male","yes",22,"friend",4.25,4.25
"male","yes",25,"foe","1","2",1.5,"female","yes",27,"friend",1.5,0
"male","yes",18,"friend","2","2",6,"female","yes",22,"foe",0,6
"female","yes",26,"foe","3","2",2.5,"male","yes",22,"foe",0,0
"male","yes",34,"friend","1","2",1.5,"female","yes",28,"foe",0,1.5
"male","yes",23,"foe","1","2",1.5,"female","yes",20,"foe",0,0
"female","yes",41,"friend","1","2",0.5,"male","yes",65,"foe",0,0.5
"male","no",22,"foe","2","2",5,"female","no",27,"foe",0,0
"male","no",27,"foe","3","2",5,"female","no",23,"foe",0,0
"female","yes",22,"friend","3","2",1.5,"male","yes",30,"foe",0,1.5
"male","yes",27,"foe","1","2",1,"female","yes",27,"friend",1,0
"female","yes",31,"foe","1","2",1,"female","yes",26,"foe",0,0
"male","no",21,"foe","3","2",7,"male","no",37,"foe",0,0
"female","yes",43,"foe","1","2",0.5,"female","yes",22,"foe",0,0
"male","yes",26,"friend","2","2",6,"female","yes",20,"friend",3,3
"male","yes",36,"friend","1","2",0.5,"male","yes",24,"friend",0.25,0.25
"female","yes",32,"foe","3","2",2,"female","yes",29,"friend",2,0
"male","yes",21,"friend","2","2",0.5,"female","yes",21,"friend",0.25,0.25
"male","yes",22,"foe","3","2",6,"male","yes",29,"foe",0,0
"female","yes",24,"friend","1","2",1.5,"female","yes",19,"foe",0,1.5
"male","yes",23,"foe","1","2",1.5,"female","yes",25,"friend",1.5,0
"male","yes",32,"friend","1","2",0.5,"male","yes",33,"friend",0.25,0.25
"female","no",39,"foe","3","2",5,"female","no",24,"foe",0,0
"female","yes",41,"friend","2","2",3,"female","yes",32,"friend",1.5,1.5
"male","yes",28,"foe","3","2",5.5,"male","yes",23,"friend",5.5,0
"female","yes",24,"foe","1","2",0.2,"male","yes",22,"foe",0,0
"female","yes",25,"friend","1","2",0.2,"male","yes",23,"friend",0.1,0.1
"female","no",29,"foe","3","2",6.5,"female","no",28,"foe",0,0
"male","yes",30,"friend","1","2",2,"male","yes",22,"foe",0,2
"female","yes",32,"friend","1","2",2,"male","yes",35,"friend",1,1
"female","yes",51,"friend","1","2",0.5,"female","yes",29,"friend",0.25,0.25
