"mathlevel","sat","language","sex","major","mathcourse","physiccourse","chemistcourse"
"170",670,"no","male","ns",1,2,1
"170",660,"no","male","other",1,1,1
"170",610,"no","female","eco",1,0,1
"170",620,"yes","male","eco",1,0,1
"170",430,"no","male","eco",0,1,1
"170",580,"no","female","oss",2,1,1
"170",550,"yes","female","other",1,0,1
"170",510,"no","female","eco",1,1,1
"170",560,"yes","male","hum",1,0,0
"170",670,"no","male","oss",1,0,1
"170",600,"no","male","hum",0,1,1
"170",540,"yes","female","eco",2,0,1
"170",570,"no","male","oss",2,0,0
"170",610,"no","female","oss",1,0,1
"170",600,"no","male","hum",0,1,1
"170",660,"no","male","eco",1,1,1
"170",540,"no","female","other",2,1,1
"170",590,"no","female","hum",1,0,1
"170",550,"no","female","other",1,0,1
"170",590,"no","female","oss",1,1,1
"170",650,"no","female","oss",1,1,1
"170",640,"no","male","hum",1,1,1
"170",660,"no","male","other",2,1,1
"170",660,"no","female","oss",1,0,1
"170",710,"no","female","eco",2,0,1
"170",690,"no","male","eco",2,0,1
"170",560,"no","female","oss",1,0,0
"170",670,"no","male","eco",2,0,1
"170",630,"no","female","other",2,0,1
"170",600,"no","male","eco",1,1,1
"170",570,"yes","female","oss",1,1,1
"170",510,"no","male","ns",2,0,1
"170",570,"yes","female","ns",1,1,1
"170",680,"no","male","ns",3,1,1
"170",540,"no","female","hum",1,2,0
"170",460,"no","male","ns",1,1,1
"170",620,"yes","male","other",1,1,1
"170",710,"yes","male","hum",1,1,1
"170",620,"no","female","other",2,1,1
"170",590,"yes","female","ns",2,1,1
"170",610,"no","male","eco",2,0,1
"170",580,"no","female","eco",2,1,1
"170",670,"no","male","eco",1,0,1
"170",590,"no","male","eco",2,0,2
"170",650,"no","male","other",1,1,1
"170",560,"no","male","hum",1,0,1
"170",600,"no","female","oss",1,0,1
"170",640,"no","male","hum",1,1,1
"170",600,"no","male","other",1,1,1
"170",610,"no","male","eco",1,1,1
"170",520,"no","male","oss",1,1,0
"170",630,"no","female","oss",0,1,1
"170",490,"no","male","eco",1,1,1
"170",610,"no","male","eco",0,1,1
"170",560,"no","male","eco",1,1,1
"170",560,"no","female","eco",2,1,1
"170",670,"no","male","hum",1,0,0
"170",580,"no","female","eco",2,0,1
"170",540,"no","female","oss",1,0,1
"170",670,"no","male","oss",2,1,2
"170",670,"no","female","eco",2,0,1
"170",730,"no","male","ns",2,1,1
"170",530,"no","female","oss",1,0,1
"170",650,"no","female","oss",2,0,1
"170",720,"no","male","oss",1,0,1
"170",560,"yes","female","oss",2,1,1
"170",550,"no","female","hum",1,1,1
"170",580,"no","male","eco",1,1,1
"170",510,"no","male","eco",0,1,1
"170",590,"no","male","other",1,1,1
"170",580,"no","female","eco",1,1,1
"170",540,"no","male","eco",1,1,1
"170",600,"no","female","eco",1,1,1
"170",640,"no","female","eco",1,1,1
"170",580,"no","female","other",1,1,1
"170",550,"no","male","eco",1,1,1
"170",490,"no","male","eco",1,1,1
"170",670,"no","male","hum",2,1,1
"170",530,"no","male","eco",2,1,1
"170",580,"no","male","eco",0,1,1
"170",740,"no","male","oss",2,1,1
"170",640,"yes","female","other",1,1,1
"170",620,"yes","female","eco",1,0,1
"170",590,"no","female","eco",1,1,2
"170",580,"no","male","oss",1,1,1
"170",610,"no","male","eco",1,1,1
"170",480,"no","male","eco",1,1,1
"170",600,"no","male","other",1,0,1
"170",590,"no","male","other",2,1,1
"170",640,"no","male","other",2,1,2
"170",730,"no","male","oss",1,0,1
"170",520,"no","female","oss",1,1,2
"170",680,"no","male","eco",2,1,2
"170",620,"no","male","eco",2,0,1
"170",560,"no","female","oss",1,1,1
"170",620,"no","male","eco",1,0,1
"170",570,"no","female","ns",1,1,0
"170",640,"yes","female","other",1,0,1
"170",640,"yes","female","other",1,0,1
"170",710,"no","female","oss",1,1,1
"170",620,"yes","female","other",1,1,1
