"strikes","output","time"
5,0.01517,1
4,0.00997,2
6,0.0117,3
16,0.00473,4
5,0.01277,5
8,0.01138,6
8,0.00424,7
9,-0.00687,8
10,-0.00023,9
10,0.00791,10
7,0.02538,11
1,0.02939,12
6,0.03927,13
5,0.0371,14
6,0.04186,15
5,0.03156,16
13,0.0218,17
6,0.0229,18
10,0.02057,19
13,0.02191,20
4,0.02094,21
8,0.02171,22
5,0.01298,23
0,0.00515,24
2,-0.00268,25
2,-0.00987,26
2,-0.01491,27
8,-0.02361,28
4,-0.03252,29
11,-0.03957,30
4,-0.04163,31
8,-0.05107,32
9,-0.06215,33
9,-0.08626,34
4,-0.09308,35
0,-0.07042,36
9,-0.04777,37
8,-0.05161,38
5,-0.05473,39
5,-0.05417,40
10,-0.05196,41
3,-0.05467,42
5,-0.06169,43
4,-0.06945,44
6,-0.05824,45
6,-0.04592,46
5,-0.0461,47
1,-0.03983,48
2,-0.01353,49
2,-0.00784,50
2,-0.00354,51
2,0.01303,52
4,0.00513,53
3,0.00535,54
2,-0.00426,55
3,0.01355,56
1,0.02125,57
2,0.03531,58
0,0.04591,59
1,0.0565,60
1,0.06344,61
1,0.07687,62
1,0.07902,63
5,0.07602,64
7,0.07744,65
2,0.07427,66
9,0.07816,67
3,0.07036,68
6,0.07217,69
9,0.07773,70
3,0.08554,71
3,0.07418,72
5,0.07053,73
9,0.06554,74
10,0.06753,75
9,0.06072,76
15,0.06508,77
18,0.0645,78
13,0.06319,79
10,0.05579,80
9,0.05197,81
7,0.03458,82
7,-0.00225,83
0,-0.04998,84
3,-0.09771,85
3,-0.12124,86
4,-0.13996,87
2,-0.1259,88
1,-0.12224,89
2,-0.10443,90
2,-0.08656,91
3,-0.06279,92
0,-0.06034,93
5,-0.0579,94
5,-0.04919,95
1,-0.04494,96
1,-0.027,97
1,-0.00601,98
1,-0.00693,99
8,-0.00528,100
5,-0.00155,101
9,-0.007,102
6,-0.00157,103
3,0.00134,104
4,-0.1281,105
6,-0.01538,106
2,-0.00703,107
3,-3e-05,108
