"birth","death"
36.4,14.6
37.3,8
42.1,15.3
55.8,25.6
56.1,33.1
41.8,15.8
46.1,18.7
41.7,10.1
41.4,19.7
35.8,8.5
34,11
36.3,6.1
32.1,5.5
20.9,8.8
27.7,10.2
20.5,3.9
25,6.2
17.3,7
46.3,6.4
14.8,5.7
33.5,6.4
39.2,11.2
28.4,7.1
26.2,4.3
34.8,7.9
23.4,5.1
24.8,7.8
49.9,8.5
33,8.4
47.7,17.3
46.6,9.7
45.1,10.5
42.9,7.1
40.1,8
21.7,9.6
21.8,8.1
17.4,5.8
45,13.5
33.6,11.8
44,11.7
44.2,13.5
27.7,8.2
22.5,7.8
42.8,6.7
18.8,12.8
17.1,12.7
18.2,12.2
16.4,8.2
16.9,9.5
17.6,19.8
18.1,9.2
18.2,11.7
18,12.5
17.4,7.8
13.1,9.9
22.3,11.9
19,10.2
20.9,8
17.5,10
19,7.5
23.5,10.8
15.7,8.3
21.5,9.1
14.8,10.1
18.9,9.6
21.2,7.2
21.4,8.9
21.6,8.7
25.5,8.8
