"mass","period","eccen"
0.12,4.95,0
0.197,3.971,0
0.21,44.28,0.34
0.22,75.8,0.28
0.23,6.403,0.08
0.25,3.024,0.02
0.34,2.985,0.08
0.4,10.901,0.498
0.42,3.5097,0
0.47,4.229,0
0.48,3.487,0.05
0.48,22.09,0.3
0.54,3.097,0.01
0.56,30.12,0.27
0.68,4.617,0.02
0.685,3.52433,0
0.76,2594,0.1
0.77,14.31,0.27
0.81,828.95,0.04
0.88,221.6,0.54
0.88,2518,0.6
0.89,64.62,0.13
0.9,1136,0.33
0.93,3.092,0
0.93,14.66,0.03
0.99,39.81,0.07
0.99,500.73,0.1
0.99,872.3,0.28
1,337.11,0.38
1,264.9,0.38
1.01,540.4,0.52
1.01,1942,0.4
1.02,10.72,0.044
1.05,119.6,0.35
1.12,500,0.23
1.13,154.8,0.31
1.15,2614,0
1.23,1326,0.14
1.24,391,0.4
1.24,435.6,0.45
1.282,7.1262,0.134
1.42,426,0.02
1.55,51.61,0.649
1.56,1444.5,0.2
1.58,260,0.24
1.63,444.6,0.41
1.64,406,0.53
1.65,401.1,0.36
1.68,796.7,0.68
1.76,903,0.2
1.83,454,0.2
1.89,61.02,0.1
1.9,6.276,0.15
1.99,743,0.62
2.05,241.3,0.24
0.05,1119,0.17
2.08,228.52,0.304
2.24,311.3,0.22
2.54,1089,0.06
2.54,627.34,0.06
2.55,2185,0.18
2.63,414,0.21
2.84,250.5,0.19
2.94,229.9,0.35
3.03,186.9,0.41
3.32,267.2,0.23
3.36,1098,0.22
3.37,133.71,0.511
3.44,1112,0.52
3.55,18.2,0.01
3.81,340,0.36
3.9,111.81,0.927
4,15.78,0.046
4,5360,0.16
4.12,1209.9,0.65
4.14,3.313,0.02
4.27,1764,0.353
4.29,1308.5,0.31
4.5,951,0.45
4.8,1237,0.515
5.18,576,0.71
5.7,383,0.07
6.08,1074,0.011
6.292,71.487,0.1243
7.17,256,0.7
7.39,1582,0.478
7.42,116.7,0.4
7.5,2300,0.395
7.7,58.116,0.529
7.95,1620,0.22
8,1558,0.314
8.64,550.65,0.71
9.7,653.22,0.41
10,3030,0.56
10.37,2115.2,0.62
10.96,84.03,0.33
11.3,2189,0.34
11.98,1209,0.37
14.4,8.428198,0.277
16.9,1739.5,0.228
17.5,256.03,0.429
