"date","time","observed"
"25/11/63",656,1
"29/10/63",659,1
"5/11/63",720,1
"12/2/64",721,1
"29/3/64",743,1
"14/2/64",747,1
"18/2/64",750,1
"1/4/64",751,1
"8/2/64",754,1
"26/5/64",758,1
"19/2/64",805,1
"7/6/64",808,1
"22/6/64",810,1
"24/5/64",811,1
"21/2/64",815,1
"13/2/64",815,1
"11/6/64",820,1
"21/6/64",820,1
"13/3/64",825,1
"12/7/64",827,1
"30/6/64",828,1
"5/5/64",831,1
"12/5/64",832,1
"25/4/64",832,1
"26/3/64",833,1
"18/3/64",836,1
"15/3/64",840,1
"6/3/64",842,1
"11/5/64",844,1
"5/6/64",844,1
"17/7/64",845,1
"12/6/64",846,1
"28/2/64",848,1
"14/5/64",850,1
"7/7/64",855,1
"6/7/64",858,1
"2/7/64",858,1
"17/3/64",859,1
"10/6/64",859,1
"11/3/64",900,1
"23/7/64",904,1
"27/2/64",905,1
"31/3/64",905,1
"10/4/64",907,1
"22/4/64",908,1
"7/3/64",910,1
"29/2/64",910,1
"13/5/64",915,1
"20/4/64",920,1
"27/4/64",930,1
"28/4/64",930,1
"23/4/64",932,1
"4/3/64",935,1
"6/5/64",935,1
"26/6/64",945,1
"25/3/64",948,1
"8/7/64",952,1
"21/4/64",1027,1
"1/12/63",705,0
"6/11/63",710,0
"24/10/63",715,0
"26/11/63",720,0
"18/10/63",720,0
"7/5/64",730,0
"7/11/63",740,0
"23/11/63",750,0
"28/11/63",750,0
"27/11/63",753,0
"28/5/64",755,0
"5/7/64",757,0
"28/3/64",800,0
"23/3/64",805,0
"26/10/63",805,0
"11/7/64",805,0
"27/7/64",807,0
"9/6/64",810,0
"24/6/64",812,0
"16/10/63",812,0
"25/2/64",813,0
"6/6/64",814,0
"22/11/63",815,0
"10/10/63",815,0
"2/11/63",815,0
"23/6/64",817,0
"24/4/64",823,0
"3/7/64",830,0
"29/4/64",831,0
"4/8/63",838,0
"7/10/63",840,0
"13/10/63",840,0
"4/7/64",845,0
"3/5/64",850,0
"25/5/64",851,0
"24/11/63",853,0
"15/7/64",855,0
"16/2/64",856,0
"10/3/64",857,0
"28/7/64",858,0
"18/6/64",858,0
"20/2/64",858,0
"2/8/64",859,0
"27/5/64",900,0
"28/10/64",905,0
"15/5/64",907,0
"10/5/64",908,0
"27/6/64",915,0
"11/10/63",915,0
"17/2/64",920,0
"22/10/63",920,0
"10/7/64",925,0
"14/7/64",926,0
"11/4/64",931,0
"23/5/64",933,0
"30/7/64",943,0
"18/7/64",945,0
"29/7/64",946,0
"16/7/64",950,0
"22/7/64",955,0
"15/10/63",955,0
"19/10/63",1005,0
"2/5/64",1012,0
"1/3/64",1018,0
"17/10/63",1020,0
"23/10/63",1020,0
"25/7/64",1020,0
"13/7/64",1031,0
"8/6/64",1050,0
"9/3/64",1050,0
"26/4/64",1100,0
"14/10/63",1205,0
"18/11/63",1245,0
"2/3/64",1250,0
"8/5/64",1405,0
"1/7/64",1407,0
"12/10/63",1500,0
"31/7/64",1531,0
"6/10/63",1535,0
"19/6/64",1556,0
"29/6/64",1603,0
"9/5/64",1605,0
"9/10/63",1625,0
"8/3/64",1625,0
"11/2/64",1653,0
"30/5/64",1705,0
"5/3/64",1708,0
"26/2/64",1722,0
"4/5/64",1728,0
"12/3/64",1730,0
"25/10/63",1730,0
"29/11/63",1750,0
"22/2/64",1801,0
"22/3/64",1829,0
