"intnum","persnum","age","educatn","earnings","hours","kids","married"
4,4,39,12,77250,2940,2,"married"
4,6,35,12,12000,2040,2,"divorced"
4,7,33,12,8000,693,1,"married"
4,173,39,10,15000,1904,2,"married"
5,2,47,9,6500,1683,5,"married"
6,4,44,12,6500,2024,2,"married"
6,172,38,16,7000,1144,3,"married"
7,4,38,9,5000,2080,4,"divorced"
7,170,39,12,21000,2575,3,"married"
7,171,37,11,0,0,5,"married"
10,3,48,13,13201,2080,98,"divorced"
10,171,47,12,22000,1920,3,"married"
10,178,40,12,0,0,0,"separated"
11,171,38,16,12143,585,0,"married"
13,3,41,12,0,0,2,"married"
13,4,43,15,30000,1504,0,"never married"
14,2,41,16,13000,1560,0,"never married"
14,3,36,14,24000,1701,1,"married"
16,3,31,10,0,0,2,"married"
18,170,38,12,0,0,2,"married"
18,172,39,12,11250,968,3,"married"
18,173,45,12,0,0,3,"married"
18,177,44,17,8500,972,2,"married"
22,3,36,12,22883,1523,1,"married"
23,3,43,17,34500,2125,2,"divorced"
23,172,39,12,5100,425,4,"married"
39,2,45,16,8000,1736,2,"married"
40,4,31,12,4000,260,3,"married"
40,5,31,12,31000,2925,0,"widowed"
40,170,32,12,12000,1175,3,"married"
41,5,34,10,0,0,2,"married"
41,7,32,14,12000,1624,2,"married"
41,170,38,12,12000,1916,2,"married"
41,179,34,12,6800,800,2,"married"
45,3,37,8,13000,2040,2,"married"
47,4,32,15,12000,2064,2,"married"
50,5,31,17,44000,1960,1,"married"
50,171,32,16,17000,1864,2,"married"
50,172,31,13,3218,480,3,"divorced"
51,2,50,12,8000,1610,1,"married"
53,4,34,12,15000,2040,3,"married"
53,6,33,12,9000,1440,1,"married"
53,170,33,12,0,0,3,"married"
53,183,41,0,0,0,1,"divorced"
53,187,34,99,19814,1785,4,"divorced"
53,190,43,12,10000,1700,2,"married"
57,3,35,10,0,0,2,"widowed"
60,2,46,12,2500,520,2,"married"
60,170,44,12,30000,2024,3,"divorced"
60,174,49,15,30000,2286,2,"married"
60,177,42,12,20600,1976,2,"married"
61,5,36,17,8100,474,3,"married"
61,170,41,17,33059,1495,2,"married"
63,3,44,15,15000,1120,0,"divorced"
75,5,31,14,12700,1510,0,"never married"
79,3,39,15,19000,2256,3,"divorced"
80,3,37,17,50000,2331,0,"never married"
84,4,35,12,0,0,0,"married"
84,170,35,12,0,0,3,"married"
84,172,42,16,40000,1880,1,"married"
84,177,30,13,0,0,3,"married"
85,170,42,14,0,0,2,"married"
87,3,31,11,0,0,3,"divorced"
88,3,41,16,0,0,3,"divorced"
89,3,39,12,30000,1821,2,"married"
89,4,38,12,17000,2080,2,"married"
89,5,35,12,21200,2068,2,"divorced"
89,6,30,12,21645,1945,0,"never married"
90,3,31,16,24000,1560,0,"married"
90,173,48,16,26000,1680,2,"married"
96,3,34,12,0,0,3,"married"
96,4,33,99,28000,1040,0,"never married"
98,1,45,16,25000,1871,0,"never married"
99,1,46,16,29000,1533,2,"married"
100,1,45,14,10040,2048,0,"married"
105,4,34,10,3678,466,4,"divorced"
105,5,33,8,410,52,0,"never married"
113,2,47,13,2700,1092,2,"married"
114,170,39,13,19000,1750,3,"married"
114,173,37,12,6000,939,3,"married"
117,2,43,17,10415,2805,2,"married"
121,7,33,17,0,0,3,"married"
121,170,36,16,26331,1800,2,"married"
121,173,31,16,100000,3500,1,"married"
122,170,44,15,14000,1093,2,"married"
122,171,32,12,20000,2040,1,"married"
126,2,48,12,15000,2080,1,"divorced"
127,3,44,12,32600,1349,3,"married"
127,4,38,12,18000,1882,2,"married"
128,172,30,16,20000,1260,2,"married"
129,4,42,8,0,0,4,"never married"
129,5,39,99,0,0,2,"married"
129,6,34,9,0,0,3,"separated"
129,187,38,15,2250,1170,6,"married"
131,172,35,12,2000,2080,0,"married"
134,2,35,15,10000,1588,0,"never married"
151,5,37,16,10000,1300,0,"never married"
151,21,46,16,0,0,4,"married"
151,171,39,16,0,0,3,"married"
156,2,50,12,20000,2044,2,"married"
165,4,43,17,0,0,2,"married"
165,170,49,12,40000,3120,5,"married"
166,170,42,16,0,0,4,"married"
173,3,40,12,22644,2040,3,"married"
173,4,38,12,0,0,4,"married"
173,5,36,16,25000,2172,3,"married"
174,3,45,17,32000,1648,3,"married"
174,6,37,15,0,0,1,"married"
174,171,36,13,11637,2170,3,"married"
174,175,31,17,28000,2400,1,"married"
176,21,45,17,10000,733,0,"married"
178,3,35,15,35000,1920,3,"married"
180,171,32,12,0,0,3,"married"
181,170,47,12,35227,1560,1,"married"
181,171,33,14,17000,1162,2,"married"
186,3,46,16,52000,2269,1,"divorced"
189,170,32,12,6000,1128,1,"married"
190,3,35,10,0,0,2,"married"
190,4,33,10,0,0,2,"never married"
191,3,44,17,0,0,2,"married"
197,4,42,14,0,0,5,"married"
198,2,41,17,45000,2162,2,"married"
198,173,32,17,26000,1960,0,"married"
200,5,33,16,40000,210,0,"married"
