"MaritalStatus","ExtramaritalSex","PremaritalSex","Gender","Freq"
"Divorced","Yes","Yes","Women",17
"Married","Yes","Yes","Women",4
"Divorced","No","Yes","Women",54
"Married","No","Yes","Women",25
"Divorced","Yes","No","Women",36
"Married","Yes","No","Women",4
"Divorced","No","No","Women",214
"Married","No","No","Women",322
"Divorced","Yes","Yes","Men",28
"Married","Yes","Yes","Men",11
"Divorced","No","Yes","Men",60
"Married","No","Yes","Men",42
"Divorced","Yes","No","Men",17
"Married","Yes","No","Men",4
"Divorced","No","No","Men",68
"Married","No","No","Men",130
