"duration","prod"
7,0.01138
9,0.01138
13,0.01138
14,0.01138
26,0.01138
29,0.01138
52,0.01138
130,0.01138
9,0.02299
37,0.02299
41,0.02299
49,0.02299
52,0.02299
119,0.02299
3,-0.03957
17,-0.03957
19,-0.03957
28,-0.03957
72,-0.03957
99,-0.03957
104,-0.03957
114,-0.03957
152,-0.03957
153,-0.03957
216,-0.03957
15,-0.05467
61,-0.05467
98,-0.05467
2,0.00535
25,0.00535
85,0.00535
3,0.07427
10,0.07427
1,0.0645
2,0.0645
3,0.0645
3,0.0645
3,0.0645
4,0.0645
8,0.0645
11,0.0645
22,0.0645
23,0.0645
27,0.0645
32,0.0645
33,0.0645
35,0.0645
43,0.0645
43,0.0645
44,0.0645
100,0.0645
5,-0.10443
49,-0.10443
2,-0.007
12,-0.007
12,-0.007
21,-0.007
21,-0.007
27,-0.007
38,-0.007
42,-0.007
117,-0.007
