"Freq","period","collision","parked","light"
712,"before","back","yes","daylight"
613,"after","back","yes","daylight"
192,"before","forward","yes","daylight"
179,"after","forward","yes","daylight"
2557,"before","back","no","daylight"
2373,"after","back","no","daylight"
10749,"before","forward","no","daylight"
9768,"after","forward","no","daylight"
634,"before","back","yes","night, illuminate"
411,"after","back","yes","night, illuminate"
95,"before","forward","yes","night, illuminate"
55,"after","forward","yes","night, illuminate"
325,"before","back","no","night, illuminate"
283,"after","back","no","night, illuminate"
1256,"before","forward","no","night, illuminate"
987,"after","forward","no","night, illuminate"
345,"before","back","yes","night, dark"
179,"after","back","yes","night, dark"
46,"before","forward","yes","night, dark"
39,"after","forward","yes","night, dark"
579,"before","back","no","night, dark"
494,"after","back","no","night, dark"
1018,"before","forward","no","night, dark"
885,"after","forward","no","night, dark"
