"CONT","INTG","DMNR","DILG","CFMG","DECI","PREP","FAMI","ORAL","WRIT","PHYS","RTEN"
L.H.",5.7,7.9,7.7,7.3,7.1,7.4,7.1,7.1,7.1,7,8.3,7.8
J.M.",6.8,8.9,8.8,8.5,7.8,8.1,8,8,7.8,7.9,8.5,8.7
A.J.",7.2,8.1,7.8,7.8,7.5,7.6,7.5,7.5,7.3,7.4,7.9,7.8
R.I.",6.8,8.8,8.5,8.8,8.3,8.5,8.7,8.7,8.4,8.5,8.8,8.7
J.J.",7.3,6.4,4.3,6.5,6,6.2,5.7,5.7,5.1,5.3,5.5,4.8
E.B.",6.2,8.8,8.7,8.5,7.9,8,8.1,8,8,8,8.6,8.6
R.J.",10.6,9,8.9,8.7,8.5,8.5,8.5,8.5,8.6,8.4,9.1,9
S.S.",7,5.9,4.9,5.1,5.4,5.9,4.8,5.1,4.7,4.9,6.8,5
J.J.",7.3,8.9,8.9,8.7,8.6,8.5,8.4,8.4,8.4,8.5,8.8,8.8
J.F.",8.2,7.9,6.7,8.1,7.9,8,7.9,8.1,7.7,7.8,8.5,7.9
H.H.",7,8,7.6,7.4,7.3,7.5,7.1,7.2,7.1,7.2,8.4,7.7
H.J.",6.5,8,7.6,7.2,7,7.1,6.9,7,7,7.1,6.9,7.2
P.J.",6.7,8.6,8.2,6.8,6.9,6.6,7.1,7.3,7.2,7.2,8.1,7.7
A.E.",7,7.5,6.4,6.8,6.5,7,6.6,6.8,6.3,6.6,6.2,6.5
W.L.JR.",6.5,8.1,8,8,7.9,8,7.9,7.8,7.8,7.8,8.4,8
E.C.",7.3,8,7.4,7.7,7.3,7.3,7.3,7.2,7.1,7.2,8,7.6
8,7.6,6.6,7.2,6.5,6.5,6.8,6.7,6.4,6.5,6.9,6.7
T.C.",7.7,7.7,6.7,7.5,7.4,7.5,7.1,7.3,7.1,7.3,8.1,7.4
I.",8.3,8.2,7.4,7.8,7.7,7.7,7.7,7.8,7.5,7.6,8,8
R.L.",9.6,6.9,5.7,6.6,6.9,6.6,6.2,6,5.8,5.8,7.2,6
L.F.",7.1,8.2,7.7,7.1,6.6,6.6,6.7,6.7,6.8,6.8,7.5,7.3
J.F.",7.6,7.3,6.9,6.8,6.7,6.8,6.4,6.3,6.3,6.3,7.4,6.6
A.F.",6.6,7.4,6.2,6.2,5.4,5.7,5.8,5.9,5.2,5.8,4.7,5.2
H.M.",6.2,8.3,8.1,7.7,7.4,7.3,7.3,7.3,7.2,7.3,7.8,7.6
H.M.",7.5,8.7,8.5,8.6,8.5,8.4,8.5,8.5,8.4,8.4,8.7,8.7
H.J.",7.8,8.9,8.7,8.9,8.7,8.8,8.9,9,8.8,8.9,9,9
F.J.",7.1,8.5,8.3,8,7.9,7.9,7.8,7.8,7.8,7.7,8.3,8.2
T.J.",7.5,9,8.9,8.7,8.4,8.5,8.4,8.3,8.3,8.3,8.8,8.7
L.",7.5,8.1,7.7,8.2,8,8.1,8.2,8.4,8,8.1,8.4,8.1
J.E.",7.1,9.2,9,9,8.4,8.6,9.1,9.1,8.9,9,8.9,9.2
6.6,7.4,6.9,8.4,8,7.9,8.2,8.4,7.7,7.9,8.4,7.5
A.G.",8.4,8,7.9,7.9,7.8,7.8,7.6,7.4,7.4,7.4,8.1,7.9
D.M.",6.9,8.5,7.8,8.5,8.1,8.2,8.4,8.5,8.1,8.3,8.7,8.3
J.F.JR.",7.3,8.9,8.8,8.7,8.4,8.5,8.5,8.5,8.4,8.4,8.8,8.8
W.J.",7.7,6.2,5.1,5.6,5.6,5.9,5.6,5.6,5.3,5.5,6.3,5.3
J.A.",8.5,8.3,8.1,8.3,8.4,8.2,8.2,8.1,7.9,8,8,8.2
M.J.",6.9,8.3,8,8.1,7.9,7.9,7.9,7.7,7.6,7.7,8.1,8
J.F.",6.5,8.2,7.7,7.8,7.6,7.7,7.7,7.7,7.5,7.6,8.5,7.7
R.J.",8.3,7.3,7,6.8,7,7.1,6.7,6.7,6.7,6.7,8,7
W.L.JR.",8.3,8.2,7.8,8.3,8.4,8.3,7.7,7.6,7.5,7.7,8.1,7.9
R.A.",9,7,5.9,7,7,7.2,6.9,6.9,6.5,6.6,7.6,6.6
D.B.",7.1,8.4,8.4,7.7,7.5,7.7,7.8,8.2,8,8.1,8.3,8.1
K.J.",8.6,7.4,7,7.5,7.5,7.7,7.4,7.2,6.9,7,7.8,7.1
