"spell","censor1","censor2","censor3","censor4","age","ui","reprate","disrate","logwage","tenure"
5,1,0,0,0,41,"no",0.179,0.045,6.89568,3
13,1,0,0,0,30,"yes",0.52,0.13,5.28827,6
21,1,0,0,0,36,"yes",0.204,0.051,6.76734,1
3,1,0,0,0,26,"yes",0.448,0.112,5.97889,3
9,0,0,1,0,22,"yes",0.32,0.08,6.31536,0
11,0,0,0,1,43,"yes",0.187,0.047,6.85435,9
1,0,0,0,0,24,"no",0.52,0.13,5.60947,1
3,1,0,0,0,32,"no",0.373,0.093,6.16121,0
7,1,0,0,0,35,"yes",0.52,0.13,5.28827,2
5,0,0,0,1,31,"yes",0.52,0.13,5.28827,1
7,0,0,0,1,26,"yes",0.52,0.13,5.75574,2
15,0,0,0,1,49,"yes",0.224,0.056,6.67203,21
2,1,0,0,0,39,"no",0.52,0.13,5.06259,0
3,0,0,0,1,40,"yes",0.52,0.13,4.95583,0
1,1,0,0,0,20,"no",0.52,0.13,5.28827,0
2,1,0,0,0,39,"no",0.498,0.124,5.87493,14
14,0,1,0,0,38,"yes",0.32,0.08,6.31536,10
1,1,0,0,0,38,"no",0.373,0.093,6.16121,10
1,0,0,1,0,20,"no",0.52,0.13,4.7362,0
5,0,0,0,1,26,"no",0.52,0.13,5.46806,2
7,0,0,0,1,44,"yes",0.52,0.13,5.64897,8
5,0,0,0,1,52,"yes",0.52,0.13,5.15906,7
5,1,0,0,0,30,"yes",0.52,0.13,5.64897,10
2,0,1,0,0,47,"no",0.52,0.13,4.77912,0
15,0,0,0,0,43,"yes",0.299,0.075,6.38519,2
15,1,0,0,0,30,"no",0.52,0.13,5.28827,1
3,0,0,0,0,25,"no",0.52,0.13,5.53339,1
6,0,0,1,0,33,"yes",0.373,0.093,6.16121,3
2,1,0,0,0,45,"no",0.52,0.13,5.53339,7
1,1,0,0,0,37,"no",0.52,0.13,5.62402,4
5,0,0,0,1,47,"yes",0.224,0.056,6.67203,12
2,1,0,0,0,27,"yes",0.498,0.124,5.87493,2
1,1,0,0,0,42,"no",0.52,0.13,5.62402,0
7,1,0,0,0,44,"no",0.112,0.028,7.36455,3
5,0,0,0,1,31,"yes",0.32,0.08,6.31536,11
6,0,0,0,1,29,"no",0.52,0.13,5.75574,2
4,0,0,0,1,24,"no",0.52,0.13,5.28827,1
6,1,0,0,0,36,"yes",0.52,0.13,5.55683,9
1,1,0,0,0,39,"no",0.52,0.13,5.46806,0
3,1,0,0,0,44,"no",0.277,0.069,6.45834,2
3,1,0,0,0,29,"no",0.509,0.127,5.8522,8
2,0,0,0,1,33,"no",0.448,0.112,5.97889,2
5,1,0,0,0,35,"yes",0.52,0.13,5.46806,0
14,0,0,0,1,43,"yes",0.407,0.102,6.07535,20
7,0,0,1,0,43,"no",0.448,0.112,5.97889,2
5,1,0,0,0,27,"yes",0.385,0.096,6.13123,1
14,0,0,0,0,28,"yes",0.52,0.13,5.22575,1
1,1,0,0,0,34,"no",0.52,0.13,5.53339,2
4,0,0,0,1,29,"yes",0.448,0.112,5.97889,5
14,1,0,0,0,21,"yes",0.52,0.13,5.36129,0
1,0,0,1,0,22,"no",0.52,0.13,5.46806,2
1,0,0,0,0,27,"yes",0.498,0.124,5.87493,3
19,0,0,0,1,46,"yes",0.492,0.123,5.88332,3
5,1,0,0,0,26,"yes",0.52,0.13,5.75574,2
4,1,0,0,0,27,"yes",0.345,0.086,6.24222,2
1,1,0,0,0,29,"no",0.498,0.124,5.87493,5
13,0,0,0,1,48,"yes",0.52,0.13,5.56452,3
1,0,0,0,0,30,"no",0.52,0.13,5.06259,0
2,0,0,0,1,40,"no",0.52,0.13,5.69036,3
1,0,1,0,0,44,"no",0.52,0.13,5.39816,0
7,1,0,0,0,42,"yes",0.52,0.13,5.66296,2
1,0,1,0,0,52,"no",0.52,0.13,5.46806,2
6,1,0,0,0,23,"yes",0.52,0.13,4.91265,3
4,0,0,1,0,23,"no",0.52,0.13,5.53339,0
3,0,0,0,1,25,"yes",0.52,0.13,5.11199,0
7,1,0,0,0,50,"yes",0.201,0.05,6.78106,2
2,1,0,0,0,28,"yes",0.329,0.082,6.286,0
2,0,1,0,0,30,"no",0.52,0.13,5.28827,0
27,0,0,0,1,27,"yes",0.52,0.13,5.46806,1
4,1,0,0,0,48,"no",0.52,0.13,5.81711,3
5,1,0,0,0,22,"no",0.52,0.13,5.53339,1
2,0,0,1,0,21,"no",0.52,0.13,4.89784,1
3,0,0,0,0,23,"no",0.415,0.104,6.05678,3
1,0,1,0,0,26,"no",0.52,0.13,5.75574,1
4,1,0,0,0,24,"yes",0.52,0.13,5.51745,1
9,0,0,0,1,38,"no",0.52,0.13,4.83628,0
1,0,0,1,0,28,"yes",0.52,0.208,5.28827,2
3,0,0,0,1,20,"no",0.52,0.208,5.46806,0
14,0,0,0,1,36,"yes",0.52,0.208,5.62402,0
9,0,0,0,1,30,"yes",0.166,0.067,7.23201,5
5,0,0,0,0,58,"yes",0.52,0.208,4.89784,6
5,0,0,0,1,28,"no",0.52,0.208,5.97889,10
5,1,0,0,0,20,"yes",0.52,0.208,5.75574,1
15,1,0,0,0,47,"yes",0.52,0.208,5.97889,7
20,0,0,0,1,41,"no",0.52,0.208,5.46806,1
3,1,0,0,0,41,"yes",0.52,0.208,5.18178,5
4,0,0,0,1,46,"yes",0.153,0.061,7.31389,14
1,1,0,0,0,54,"no",0.189,0.076,7.1025,23
7,0,0,0,1,32,"yes",0.52,0.208,5.81711,13
10,0,0,0,1,44,"yes",0.52,0.208,5.75574,0
10,0,0,0,1,47,"yes",0.52,0.208,5.75574,0
13,1,0,0,0,34,"yes",0.52,0.208,5.97889,5
11,0,0,1,0,34,"no",0.52,0.208,5.75574,3
21,0,0,0,1,21,"no",0.52,0.208,5.28827,1
9,0,0,0,1,52,"yes",0.52,0.208,5.32301,0
2,0,0,0,1,25,"yes",0.52,0.208,5.75574,2
3,1,0,0,0,58,"yes",0.52,0.208,5.8522,28
2,1,0,0,0,49,"yes",0.323,0.129,6.56667,5
1,0,1,0,0,49,"yes",0.52,0.208,5.66296,2
1,1,0,0,0,25,"no",0.52,0.208,5.70378,1
14,1,0,0,0,29,"yes",0.485,0.194,6.16121,11
14,0,0,0,1,56,"yes",0.291,0.116,6.67203,3
7,0,0,0,0,28,"yes",0.52,0.208,5.06259,1
2,1,0,0,0,37,"no",0.52,0.208,6.07535,3
18,0,0,0,1,38,"yes",0.52,0.208,5.75574,0
7,1,0,0,0,27,"yes",0.52,0.208,5.46806,3
11,0,1,0,0,31,"yes",0.52,0.208,5.83773,1
4,0,0,0,1,51,"yes",0.52,0.208,5.53339,0
2,0,0,0,1,21,"yes",0.52,0.208,5.46806,0
16,0,0,0,1,24,"no",0.52,0.208,5.93754,3
4,0,0,0,1,22,"no",0.52,0.208,5.28827,0
5,0,0,0,1,24,"yes",0.485,0.194,6.16121,0
14,1,0,0,0,33,"yes",0.52,0.208,5.39816,13
6,0,0,0,1,44,"yes",0.52,0.208,5.56068,2
7,0,0,0,1,36,"no",0.52,0.208,5.46806,1
3,0,0,1,0,37,"yes",0.466,0.186,6.20254,2
7,0,0,0,1,30,"yes",0.52,0.208,5.53339,2
9,0,0,0,1,21,"yes",0.52,0.208,5.31321,1
15,1,0,0,0,45,"yes",0.52,0.208,5.71373,3
7,0,0,0,1,36,"no",0.52,0.208,4.77912,1
7,0,0,0,1,31,"yes",0.52,0.208,5.39816,0
3,0,0,0,1,29,"yes",0.52,0.208,5.46806,5
2,0,0,1,0,38,"yes",0.52,0.208,5.69036,17
12,1,0,0,0,37,"yes",0.425,0.17,6.29342,5
5,0,0,0,1,20,"yes",0.52,0.208,5.28827,1
4,1,0,0,0,25,"no",0.52,0.208,5.18178,1
13,1,0,0,0,23,"yes",0.52,0.208,5.64897,4
2,0,1,0,0,21,"yes",0.52,0.208,5.87493,3
11,0,0,0,1,26,"yes",0.52,0.208,5.97889,7
8,0,0,0,0,43,"yes",0.52,0.208,5.81711,17
24,0,0,0,1,36,"yes",0.52,0.208,5.79606,9
6,0,0,0,1,25,"yes",0.52,0.208,5.39816,3
4,0,1,0,0,45,"yes",0.49,0.245,5.28827,0
7,0,0,0,1,60,"yes",0.447,0.223,5.89715,26
7,0,0,1,0,25,"yes",0.415,0.208,5.97126,8
2,1,0,0,0,44,"no",0.229,0.114,6.56667,12
7,0,0,0,1,52,"yes",0.343,0.172,6.16121,8
5,0,0,0,1,34,"yes",0.468,0.234,5.8522,2
5,0,0,1,0,55,"yes",0.317,0.158,6.24222,1
4,0,0,0,1,33,"yes",0.468,0.234,5.8522,14
15,0,0,0,1,58,"yes",0.49,0.245,5.20401,6
7,0,0,0,1,23,"yes",0.49,0.245,5.28827,2
5,1,0,0,0,34,"no",0.49,0.245,5.75574,0
3,0,0,1,0,21,"yes",0.49,0.245,5.75574,0
4,0,0,0,1,56,"yes",0.404,0.202,5.99894,20
7,1,0,0,0,36,"yes",0.49,0.245,5.62402,12
3,0,0,1,0,21,"no",0.49,0.245,5.54908,0
4,0,0,0,1,32,"yes",0.343,0.172,6.16121,11
2,0,0,0,1,53,"no",0.49,0.245,5.06259,22
6,0,0,1,0,32,"yes",0.383,0.191,6.05209,5
11,0,0,0,1,38,"yes",0.49,0.245,5.06259,1
1,1,0,0,0,23,"no",0.49,0.245,5.20401,0
3,0,0,0,1,44,"no",0.49,0.245,5.06259,0
16,0,0,0,1,52,"yes",0.429,0.215,5.93754,8
15,0,0,0,1,29,"yes",0.49,0.245,5.75574,8
26,0,0,0,1,29,"yes",0.49,0.245,5.28827,6
14,0,0,0,1,37,"yes",0.392,0.196,6.02828,8
1,0,0,1,0,43,"no",0.361,0.181,6.10925,5
5,0,0,0,1,41,"yes",0.458,0.229,5.87493,10
4,0,0,0,1,40,"yes",0.355,0.178,6.12687,13
28,0,0,0,1,30,"yes",0.49,0.245,5.75574,3
2,0,0,1,0,21,"no",0.49,0.245,5.53339,0
7,0,1,0,0,60,"yes",0.258,0.129,6.44889,2
7,0,0,0,1,26,"yes",0.343,0.172,6.16121,2
7,1,0,0,0,32,"no",0.428,0.214,5.94017,6
2,0,0,1,0,35,"no",0.137,0.069,7.0775,8
13,0,0,0,1,40,"yes",0.107,0.054,7.32581,12
3,0,0,0,1,26,"no",0.49,0.245,5.18178,0
7,1,0,0,0,31,"yes",0.49,0.245,5.75574,6
6,0,1,0,0,45,"yes",0.458,0.229,5.87493,6
1,0,0,1,0,31,"yes",0.49,0.245,5.59471,10
13,0,0,0,0,42,"yes",0.49,0.245,5.20401,2
8,0,0,0,1,42,"yes",0.481,0.241,5.82305,13
9,0,0,0,1,37,"yes",0.296,0.148,6.3081,2
4,0,0,0,1,28,"no",0.49,0.245,5.46806,0
9,0,0,0,1,36,"yes",0.49,0.245,5.62402,5
5,0,1,0,0,27,"yes",0.357,0.179,6.12249,4
5,0,0,0,1,27,"yes",0.294,0.147,6.31536,4
7,0,0,0,1,53,"yes",0.242,0.121,6.51026,1
3,1,0,0,0,25,"yes",0.49,0.245,5.76205,1
6,0,0,0,1,30,"yes",0.49,0.245,5.46806,3
1,0,1,0,0,29,"yes",0.49,0.245,5.46806,6
1,1,0,0,0,27,"no",0.49,0.245,5.67675,0
9,0,0,0,1,27,"yes",0.265,0.132,6.42162,3
11,0,0,0,0,36,"yes",0.429,0.215,5.93754,0
7,0,0,0,1,28,"yes",0.343,0.172,6.16121,5
9,0,0,0,1,29,"no",0.458,0.229,5.87493,5
3,0,0,0,1,41,"no",0.49,0.245,4.82831,0
4,0,0,0,1,31,"no",0.49,0.245,5.75574,0
4,0,0,0,1,58,"yes",0.343,0.172,6.16121,28
3,0,0,0,1,24,"yes",0.412,0.206,5.97889,0
2,1,0,0,0,49,"yes",0.49,0.245,5.46806,5
10,0,0,1,0,47,"yes",0.294,0.147,6.31716,5
3,0,0,0,1,22,"no",0.49,0.245,5.39816,0
4,0,0,0,1,54,"yes",0.368,0.184,6.09131,4
2,0,0,0,1,38,"no",0.343,0.172,6.16121,3
7,1,0,0,0,26,"no",0.487,0.243,5.81114,2
2,0,0,1,0,20,"no",0.49,0.245,5.06259,0
2,0,0,1,0,43,"no",0.49,0.245,4.74493,1
2,1,0,0,0,28,"yes",0.49,0.245,5.43372,3
5,0,0,0,0,31,"yes",0.49,0.245,5.17615,1
5,1,0,0,0,34,"no",0.44,0.22,5.9135,1
11,0,0,0,1,21,"yes",0.5,0.1,5.39816,1
5,1,0,0,0,53,"yes",0.5,0.1,5.28827,0
11,0,0,0,1,22,"yes",0.306,0.061,6.22654,2
19,0,0,0,1,50,"yes",0.5,0.1,5.34233,5
13,0,0,0,0,49,"yes",0.5,0.1,4.63473,8
8,0,0,0,1,60,"yes",0.408,0.082,5.93754,27
11,0,0,0,1,42,"no",0.327,0.065,6.16121,0
3,0,0,0,1,44,"yes",0.451,0.09,5.84064,21
3,1,0,0,0,20,"no",0.5,0.1,5.28827,0
1,1,0,0,0,25,"no",0.5,0.1,5.04986,1
5,0,0,0,1,41,"yes",0.392,0.078,5.97889,7
19,0,0,0,1,26,"yes",0.413,0.083,5.92693,3
2,0,1,0,0,23,"no",0.5,0.1,5.39816,1
3,0,0,1,0,27,"yes",0.494,0.099,5.74939,0
3,0,0,1,0,29,"yes",0.49,0.098,5.75574,2
8,0,0,0,1,30,"no",0.5,0.1,4.77912,0
1,0,0,1,0,25,"no",0.5,0.1,5.39816,0
3,0,0,1,0,30,"yes",0.5,0.1,5.64897,2
6,0,0,0,1,60,"yes",0.5,0.1,4.91265,0
1,0,1,0,0,56,"yes",0.445,0.089,5.8522,40
2,0,0,0,0,22,"no",0.5,0.1,4.92725,0
4,0,0,0,1,45,"no",0.5,0.1,4.91265,6
3,1,0,0,0,33,"yes",0.261,0.052,6.38519,3
27,0,0,0,1,60,"yes",0.392,0.078,5.97889,27
6,0,0,0,1,21,"yes",0.5,0.1,5.06259,0
3,0,1,0,0,30,"yes",0.5,0.1,5.36129,3
14,0,0,0,1,44,"yes",0.243,0.049,6.45834,5
