"duration","spell","race","sex","reason","search","pubemp","ftp1","ftp2","ftp3","ftp4","nobs"
4,1,"white","male","reentr","yes","yes",1,0,0,0,1
7,0,"white","male","lose","no","no",1,1,1,1,2
1,0,"nonwhite","male","lose","no","no",0,0,0,0,1
1,1,"nonwhite","male","reentr","no","no",0,1,0,0,1
3,1,"nonwhite","female","reentr","no","no",0,0,0,0,1
1,1,"white","female","reentr","no","no",0,0,0,0,1
65,0,"white","male","lose","yes","yes",1,1,1,1,4
4,0,"white","female","reentr","no","no",0,0,0,0,1
113,0,"white","female","reentr","no","no",0,0,0,0,3
9,1,"white","male","leave","yes","no",1,0,0,1,1
9,1,"white","male","leave","yes","no",1,1,0,0,2
104,0,"white","male","leave","yes","no",1,0,0,1,1
21,0,"white","female","reentr","no","yes",1,1,1,1,4
20,0,"white","female","lose","no","no",1,1,1,1,4
8,1,"white","male","reentr","no","no",1,0,0,0,1
104,1,"white","female","lose","yes","no",1,0,1,0,1
20,1,"white","male","lose","no","no",1,1,0,0,2
56,1,"nonwhite","female","reentr","no","no",0,0,0,0,2
61,0,"white","female","lose","no","yes",1,1,1,1,4
3,0,"white","female","leave","no","no",1,0,0,1,1
2,0,"white","female","reentr","yes","no",1,0,0,1,1
1,1,"white","female","lose","no","no",0,0,0,0,1
22,1,"white","female","leave","no","yes",1,1,1,0,3
12,1,"nonwhite","male","reentr","no","no",0,1,0,0,1
7,1,"nonwhite","female","reentr","no","no",0,0,0,0,1
104,1,"nonwhite","male","reentr","yes","yes",0,1,0,0,1
12,0,"white","female","new","no","no",0,0,0,0,1
17,0,"white","female","lose","yes","no",1,1,1,1,3
17,0,"white","male","reentr","no","no",1,0,0,0,1
1,1,"white","male","reentr","no","no",0,0,0,0,1
12,1,"white","male","lose","no","no",1,1,1,0,3
10,0,"white","male","lose","no","no",1,1,1,1,3
1,0,"white","male","leave","no","no",1,0,0,1,1
10,1,"nonwhite","female","lose","no","yes",1,1,1,0,3
108,1,"white","male","lose","no","no",1,1,0,1,2
104,1,"white","female","lose","yes","no",0,1,0,0,1
11,0,"nonwhite","female","new","no","no",0,0,0,0,3
56,1,"white","female","leave","yes","no",1,1,0,0,2
65,0,"white","male","reentr","no","no",1,1,1,1,4
7,1,"white","male","reentr","no","yes",1,0,1,0,1
35,1,"nonwhite","female","lose","no","no",0,0,0,0,1
61,0,"white","female","lose","no","no",1,1,1,1,4
56,1,"nonwhite","female","leave","no","no",1,1,0,0,2
3,1,"nonwhite","male","reentr","yes","no",0,0,0,0,1
