"hours","income","age","education","child5","child13","child17","nonwhite","owned","mortgage","occupation","unemp"
2000,350,26,12,0,1,0,0,1,1,"swcc",7
390,241,29,8,0,1,1,0,1,1,"other",4
1900,160,33,10,0,2,0,0,1,0,"swcc",7
0,80,20,9,2,0,0,0,1,1,"other",7
3177,456,33,12,0,2,0,0,1,1,"swcc",7
0,390,22,12,2,0,0,0,1,1,"other",7
0,181,41,9,0,0,1,0,1,0,"swcc",7
1040,726,31,16,2,1,0,0,1,1,"mp",3
2040,-5,33,12,0,3,0,0,0,0,"fr",4
0,78,30,11,1,1,0,0,0,0,"other",5
1432,195,41,12,0,1,0,1,1,1,"other",7
1544,95,23,14,0,0,0,1,0,0,"swcc",3
877,351,32,16,0,0,0,0,1,1,"other",7
0,303,56,12,0,0,0,0,1,0,"other",12
0,513,35,12,1,1,0,0,1,1,"swcc",12
1204,133,30,14,0,0,0,0,1,1,"mp",7
336,185,20,12,1,0,0,0,1,1,"other",7
2500,270,26,10,1,1,0,0,0,0,"other",6
0,100,24,12,1,0,0,1,0,0,"other",7
1250,131,20,12,0,0,0,0,0,0,"swcc",4
632,325,33,12,0,2,1,0,1,1,"mp",5
1062,226,30,12,1,1,0,0,1,1,"swcc",5
2104,246,37,17,0,2,1,0,0,0,"other",5
352,364,39,12,0,1,1,0,1,1,"swcc",5
2008,142,54,12,0,0,0,0,1,0,"other",5
0,114,34,12,2,0,0,0,1,1,"other",5
1780,96,29,12,0,0,0,1,0,0,"other",5
2244,510,37,15,0,0,2,0,0,0,"swcc",5
1009,453,40,16,0,1,1,0,1,1,"mp",3
2420,70,19,12,0,0,0,0,0,0,"fr",4
764,303,26,12,3,0,0,0,1,1,"other",7
1676,141,25,8,2,1,0,0,1,1,"other",7
2026,679,33,12,0,2,0,0,1,1,"mp",6
2060,50,31,8,0,2,0,0,0,0,"other",6
2750,172,26,15,0,0,0,0,1,1,"other",3
1464,127,25,16,0,0,0,0,0,0,"mp",3
1632,410,25,17,0,0,0,0,1,1,"swcc",6
1932,260,46,12,0,2,0,0,1,1,"other",4
1680,175,44,12,0,0,1,0,1,1,"other",4
0,120,28,12,1,2,0,0,0,0,"swcc",4
0,159,32,12,0,1,0,0,0,0,"swcc",8
2290,80,48,13,0,0,0,0,0,0,"other",8
444,60,23,13,0,0,0,0,0,0,"other",5
3050,103,35,16,0,1,1,0,1,1,"swcc",4
1850,180,27,12,1,1,0,0,0,0,"other",10
1293,290,20,12,0,0,0,0,0,0,"other",8
543,146,27,12,1,0,0,0,0,0,"swcc",9
1225,169,20,11,0,0,0,0,1,1,"swcc",5
0,156,50,11,0,0,0,0,1,1,"other",3
2056,210,22,12,0,0,0,0,0,0,"other",4
1952,485,35,12,0,0,3,0,1,1,"mp",6
0,190,40,12,0,2,0,0,1,1,"swcc",6
1980,483,43,15,0,0,0,0,1,1,"mp",3
870,119,61,12,0,0,0,0,1,0,"mp",3
1495,230,30,17,0,0,0,0,0,0,"mp",9
2133,290,35,17,1,1,0,0,1,1,"mp",3
