"Rehnquist","Stevens","OConnor","Scalia","Kennedy","Souter","Thomas","Ginsburg","Breyer"
0,1,1,0,1,1,0,1,1
0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,1
1,1,0,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,1,1
0,1,0,0,0,0,0,0,0
0,1,0,0,1,1,0,1,1
1,1,1,0,1,1,0,1,1
0,1,1,0,1,1,0,1,1
0,1,0,0,0,1,0,1,1
1,0,1,1,1,1,1,1,0
0,1,0,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
0,1,0,0,0,1,0,1,1
0,1,1,0,0,0,0,1,1
0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,1,1
0,0,0,0,0,0,0,1,0
0,1,0,1,0,0,1,0,1
0,1,1,0,1,1,0,1,1
1,NA,NA,0,1,1,0,1,1
0,1,0,0,0,1,0,1,1
1,1,1,0,1,1,0,1,1
0,1,0,0,0,1,0,1,1
0,1,1,0,1,1,0,1,1
0,1,0,0,0,0,0,0,0
0,0,0,1,0,1,1,1,1
0,0,1,0,0,1,0,1,1
0,1,0,0,0,1,0,1,0
0,0,0,0,0,0,0,1,1
1,1,1,0,1,1,1,1,1
0,1,1,0,0,1,0,1,1
0,1,0,0,1,1,0,1,1
0,1,0,0,1,1,0,1,1
1,1,0,1,1,1,1,0,0
0,1,1,0,0,1,0,1,1
1,0,1,1,1,1,1,1,0
1,0,1,1,1,0,1,0,0
0,1,0,0,0,1,0,1,1
0,1,0,0,0,1,0,1,1
0,1,1,0,0,1,0,1,1
