"race","age","educate","income","vote"
"white",60,14,3.3458,1
"white",51,10,1.8561,0
"white",24,12,0.6304,0
"white",38,8,3.4183,1
"white",25,12,2.7852,1
"white",67,12,2.3866,1
"white",40,12,4.2857,0
"white",56,10,9.3205,1
"white",32,12,3.8797,1
"white",75,16,2.7031,1
"white",46,15,11.2307,1
"white",52,12,8.6696,1
"white",22,12,1.7443,0
"white",60,12,0.2253,0
"white",24,14,4.3348,1
"white",30,10,0.7953,1
"white",46,12,2.9072,1
"white",69,9,1.1893,1
"others",60,12,1.1277,1
"white",34,12,0.5523,1
"white",76,14,0.7294,1
"white",29,12,4.3348,1
"white",49,13,7.7751,1
"white",29,14,3.1356,0
"white",47,16,5.2331,1
"white",39,16,10.0376,1
"white",58,8,4.6408,1
"white",44,12,3.7972,1
"white",22,8,0.2071,0
"white",31,12,11.2307,1
"white",74,12,0.8236,1
"white",40,12,4.4578,1
"others",27,12,3.58,1
"white",65,8,2.917,1
"others",70,5,4.0702,1
"white",34,12,3.3834,1
"white",54,12,4.9624,1
"white",23,7,3.2949,0
"white",84,8,0.7294,0
"white",37,16,5.9111,1
"white",67,14,1.838,1
"others",33,12,1.7443,1
"white",22,12,3.7972,0
"white",57,12,4.9624,1
"white",26,11,4.669,1
"white",23,12,3.3834,1
"white",79,10,1.864,1
"white",53,8,0.7953,1
"white",25,12,5.8684,0
"others",38,9,0.6765,0
"others",68,8,2.7068,1
"white",28,16,3.4183,1
"white",43,15,2.8311,1
"white",80,12,0.1727,0
"white",31,12,2.3866,0
"white",29,12,3.1676,1
"white",37,13,4.3754,1
"white",68,14,1.8429,0
"white",50,12,13.3041,1
"white",50,14,7.8949,0
"white",37,13,0.6304,0
"white",59,12,3.4183,1
"white",35,16,3.58,1
"white",35,15,7.0036,0
"white",49,8,2.4811,1
"others",44,16,9.3205,1
"white",77,12,3.7435,1
"white",22,10,1.4498,0
"white",80,14,0.5813,1
"white",48,11,7.0036,1
"white",24,15,2.7722,1
"white",42,16,7.5945,1
"white",67,19,6.0903,1
"others",42,10,1.2659,0
"white",54,10,4.6408,1
"white",45,12,5.2331,1
"white",57,9,1.1277,1
"others",46,12,0.4607,0
"white",58,12,3.7972,1
"white",76,4,2.5196,0
"white",28,16,0.1936,1
"white",41,10,5.2331,1
"white",83,8,1.3131,0
"others",47,12,5.2331,1
"white",81,12,1.4498,1
"white",59,8,3.3102,1
"others",20,16,1.2094,1
"white",45,8,1.8561,1
"white",76,6,0.5813,0
"white",53,9,4.9624,1
"others",40,16,5.2331,1
"white",38,12,4.6408,1
"white",30,15,7.7751,1
"white",29,19,2.522,1
"white",72,12,0.4607,1
"white",78,6,0.7568,1
"white",65,13,3.7042,1
"white",31,12,3.3558,1
"white",21,12,4.8901,1
"white",50,12,4.6408,1
"white",25,12,4.4876,1
"others",71,11,0.7294,1
"white",49,14,7.7751,1
"white",47,9,3.3458,1
"others",37,13,2.2706,1
"others",31,16,6.274,1
"white",54,12,4.0702,1
"white",40,16,6.7838,1
"white",29,12,3.4183,1
"white",42,12,7.0036,1
"white",67,16,5.9469,1
"white",69,12,4.2313,1
"white",54,12,2.917,1
"white",63,8,1.3566,1
"white",45,8,8.7517,1
"white",38,12,6.9491,1
"white",64,10,4.3754,1
"white",45,12,2.917,1
"white",40,11,4.8901,0
"white",27,14,3.58,1
"white",31,11,6.3304,1
"white",25,15,3.8606,1
"white",35,12,2.5545,1
"white",21,12,4.0702,1
"white",55,12,8.3565,1
"white",48,10,2.917,1
"white",41,15,4.4876,1
"white",43,6,1.4055,1
"white",56,12,5.8684,1
"white",44,12,5.8684,1
"white",24,12,2.7722,0
"others",58,6,0.6911,1
"white",48,6,1.9045,1
"white",35,12,5.9469,1
"white",37,16,3.9394,0
"white",31,13,5.3986,1
"white",27,9,2.2092,0
"white",28,13,10.0376,1
"white",62,10,2.1885,0
"white",66,12,2.7031,1
"white",23,12,4.0006,0
"white",44,19,11.8939,1
"white",31,12,1.261,1
"white",32,8,2.9072,1
"white",23,12,2.1279,1
"others",29,12,3.4183,0
"white",59,12,2.5196,1
"white",35,15,6.5589,1
"white",38,5,1.4498,1
"white",95,14,0.7594,1
"others",22,12,0.253,0
"white",48,10,1.4974,0
"white",29,12,2.5196,1
"white",62,8,2.9072,0
"others",26,16,5.19,1
"white",46,19,4.9624,1
"white",36,12,2.7068,1
"white",35,8,1.4055,1
"white",40,15,13.6702,1
"white",55,14,5.9111,1
"others",27,12,1.8127,1
"white",53,10,3.58,1
"white",72,14,3.2949,1
"white",38,12,3.46,0
"white",83,8,0.7294,1
"white",26,6,2.2788,1
"white",30,12,4.0702,0
"white",45,13,3.3102,1
"white",27,14,6.6992,1
"white",29,12,4.3348,0
