"population","nonwhite","density","crime"
675,7.3,746,2602
713,2.6,322,1388
NA,3.3,NA,5018
534,0.8,491,1182
1261,1.4,1612,3341
1330,22.8,770,2805
331,7,41,3306
1981,21.6,877,4256
315,20.7,240,2117
305,0.6,147,1063
739,32.1,272,2285
3239,3.4,1831,2835
785,5.3,1252,2630
1324,6.8,832,2171
363,5.4,630,1764
NA,38.5,NA,2482
NA,5.8,NA,1434
388,24.2,328,3447
306,17.6,308,2643
6815,14.8,1832,2680
1376,10.4,640,1780
2068,13.7,1361,3162
NA,29,NA,2884
870,11,583,3037
297,4.2,194,3077
1459,15,320,3701
366,2.1,215,1877
836,9.7,489,2392
1129,4.2,308,4095
NA,4.1,NA,2415
4127,13.1,2114,4283
271,0.8,37,1736
351,3.3,332,2430
NA,2.8,NA,1181
487,9,374,3164
526,16.6,431,3688
680,10.7,423,2927
415,7.5,70,3863
608,15.3,649,3310
514,3.4,362,2188
592,19.9,268,1987
NA,16.3,NA,2602
398,6.3,245,1339
802,5.4,1085,2390
628,64.3,1053,3283
1867,19.8,297,3511
NA,3,NA,1413
1062,10.8,345,2798
513,23.4,670,4035
615,6.9,13087,2301
270,1.3,151,458
1231,10.9,445,3748
399,7.5,281,1597
302,1.3,319,627
361,2.8,212,2991
323,19.9,217,3420
6860,9.7,1686,4852
802,11.6,883,3758
770,38,565,2691
1150,14.9,563,4460
1344,5.3,923,1929
1677,1.8,796,3231
382,30.8,135,2433
536,18.4,329,3185
726,7.7,1200,2726
1064,30.9,539,3467
11551,12,5408,4732
1881,13.4,2683,3261
653,26.4,963,3160
605,9.4,283,2343
525,6,342,2663
390,16.6,321,2560
1353,3.8,3170,1922
336,3.3,186,2125
4829,15.7,1359,1753
872,5.5,94,3962
2387,6.8,783,2127
957,3,262,3627
749,1.9,1221,2903
292,1.8,338,1052
515,26.3,430,3183
853,4,368,1820
765,6.8,222,3793
2327,14.2,565,3302
534,1.4,504,2977
850,7.1,434,3459
1086,4.7,40,3743
1221,5.5,286,2587
2999,12.5,1210,5441
985,3.2,758,3000
1340,4.8,317,4329
299,34.1,171,1864
275,5.3,302,1973
273,2,155,2130
554,3.1,481,2467
625,2.6,259,1577
401,5.1,239,2843
924,11.5,709,3247
678,7.3,446,2050
NA,12.9,NA,3098
NA,6.3,NA,2705
466,9.2,123,2840
350,1.6,132,869
2751,24.5,1170,4019
406,5.8,166,2532
340,0.3,383,613
488,11.7,419,2393
612,0.9,405,2874
316,2,220,1062
528,9.2,513,1698
