"region","tfr","contraceptors"
"Africa",4.8,35
"Africa",6.5,9
"Africa",5.9,16
"Africa",6.1,13
"Africa",6.5,27
"Africa",6.4,6
"Africa",6.8,5
"Africa",2.2,75
"Africa",7.3,4
"Africa",5.7,6
"Africa",6.4,12
"Africa",4.8,9
"Africa",5,21
"Africa",6.1,10
"Africa",6.1,12
"Africa",7.2,5
"Africa",6.3,15
"Africa",5.3,45
"Asia",5.5,40
"Asia",2.5,72
"Asia",4.3,45
"Asia",3,50
"Asia",1.7,77
"Asia",5.2,12
"Asia",4.3,34
"Asia",2.7,62
"Asia",2.3,68
"Asia",3.9,53
"Latin.Amer",4.5,47
"Latin.Amer",4.9,32
"Latin.Amer",3.6,66
"Latin.Amer",2.8,66
"Latin.Amer",3.6,70
"Latin.Amer",3.3,56
"Latin.Amer",3.8,53
"Latin.Amer",4.6,47
"Latin.Amer",5.6,23
"Latin.Amer",6,10
"Latin.Amer",2.9,55
"Latin.Amer",4,55
"Latin.Amer",4,58
"Latin.Amer",4.6,48
"Latin.Amer",3.5,59
"Latin.Amer",3.1,54
"Near.East",4.6,40
"Near.East",5.5,35
"Near.East",4,42
"Near.East",4.3,51
"Near.East",3.4,60
"Near.East",7,7
