"duration","ciep12","invest","fract","polar","numst2","crisis"
0.5,1,1,656,11,0,24
3,1,1,656,11,1,10
7,1,1,656,11,1,24
20,1,1,656,11,1,7
6,1,1,656,11,1,7
7,1,1,634,6,1,45
2,1,1,599,3,1,51
17,1,1,599,3,1,4
27,1,1,599,3,1,6
49,0,1,620,2,1,10
4,1,1,592,1,0,23
29,1,1,592,1,1,2
49,0,1,628,5,1,29
6,1,1,719,11,1,65
23,1,1,719,11,1,38
41,0,1,757,18,1,132
10,1,1,775,24,1,73
12,1,1,775,24,1,61
2,1,1,762,24,0,65
33,1,1,762,24,1,0
1,1,1,762,24,0,0
16,1,1,735,17,1,46
2,1,1,753,17,1,9
9,1,1,850,17,1,106
3,1,1,850,17,1,7
5,1,1,850,17,1,39
5,1,1,850,17,1,18
6,1,1,850,17,1,6
45,0,1,868,15,1,87
23,1,1,857,9,1,46
41,1,0,648,1,0,0
7,1,0,648,1,1,0
49,0,0,428,0,1,0
46,1,0,536,0,1,0
9,1,0,650,0,0,4
51,0,0,349,0,1,0
10,1,0,648,0,0,0
32,1,0,622,0,0,5
28,1,0,614,0,0,0
3,1,0,614,0,0,0
53,0,0,571,0,1,1
17,1,0,648,0,0,0
59,0,0,583,0,1,62
9,1,0,602,0,0,0
52,0,0,582,0,1,0
3,1,0,582,0,1,0
23,1,0,777,12,0,14
33,1,0,719,6,0,40
1,1,0,749,5,0,36
30,1,0,749,5,0,1
5,1,0,740,5,0,0
16,1,0,725,5,0,3
27,1,0,725,5,0,3
33,1,0,735,3,1,12
9,1,0,735,3,1,2
22,1,0,722,6,0,2
25,1,0,722,6,0,0
25,1,0,715,6,0,3
14,1,0,748,11,0,26
44,0,0,764,9,1,8
12,1,0,746,10,0,14
14,1,0,746,10,0,2
13,1,0,855,26,0,14
24,1,0,815,25,0,15
18,1,0,811,26,0,0
13,1,0,811,26,0,0
29,1,0,791,21,0,28
8,1,0,817,21,0,48
16,1,0,817,24,0,7
43,0,0,802,18,0,14
28,1,0,791,25,1,20
19,1,0,780,19,0,7
10,1,0,780,19,0,16
2,1,0,780,19,1,0
21,1,0,791,22,1,183
4,1,0,791,22,0,12
5,1,0,788,22,1,148
16,1,0,788,22,1,6
15,1,0,788,22,1,14
1,1,0,788,22,0,5
2,1,0,788,22,0,0
2,1,0,788,22,0,0
3,1,0,795,25,1,0
30,1,0,795,25,0,40
8,1,0,795,25,0,16
20,1,0,803,24,1,44
19,1,0,803,24,1,1
21,1,0,799,21,1,43
24,1,0,799,21,1,21
8,1,0,821,27,1,0
7,1,0,821,27,1,9
5,1,0,818,28,0,0
33,1,0,818,28,1,47
10,1,0,812,21,1,0
7,1,0,812,21,0,12
9,1,0,812,21,1,4
13,1,0,812,21,1,13
32,1,0,808,21,1,69
11,1,0,808,21,1,16
3,1,0,808,21,0,1
47,0,0,805,22,1,25
5,1,1,788,28,1,11
1,1,1,788,31,0,18
3,1,1,788,31,1,2
5,1,1,788,31,1,5
1,1,1,788,31,1,0
8,1,1,788,31,1,5
1,1,1,788,31,1,7
0.5,1,1,788,31,1,9
13,1,1,788,31,1,4
3,1,1,788,31,1,23
5,1,1,788,31,0,3
0.5,1,1,788,31,0,8
7,1,1,788,31,1,8
4,1,1,788,31,1,10
5,1,1,842,27,0,41
1,1,1,842,27,0,13
10,1,1,842,27,0,8
4,1,1,842,27,0,16
11,1,1,842,27,1,38
7,1,1,842,27,1,7
0.5,1,1,842,27,0,14
11,1,1,842,27,1,4
16,1,1,839,38,0,8
4,1,1,839,38,0,22
0.5,1,1,839,38,0,18
0.5,1,1,839,38,0,10
5,1,1,839,38,1,7
0.5,1,1,839,38,1,28
4,1,1,839,38,1,0
33,1,0,722,19,1,117
40,0,0,712,17,1,11
34,1,0,709,14,1,77
28,1,0,712,15,1,0
11,1,0,712,15,0,19
5,1,0,687,14,0,0
43,0,0,710,17,1,1
5,1,0,699,15,1,0
43,0,0,699,15,1,0
37,0,0,718,15,1,0
8,1,0,718,15,1,62
36,1,0,740,17,1,30
46,0,0,704,18,1,58
13,1,0,761,23,1,65
2,1,0,761,23,0,3
39,0,0,736,18,1,67
48,0,0,754,17,1,28
40,1,1,724,0,0,0
35,1,1,692,0,0,0
34,1,1,671,0,1,13
27,1,1,636,3,1,0
28,1,1,636,3,1,0
42,1,1,645,0,0,0
19,1,1,620,0,1,0
32,1,1,620,0,1,2
44,1,1,593,0,1,0
52,0,1,612,0,1,0
29,1,1,580,0,1,0
18,1,1,580,0,1,6
7,1,1,582,0,0,0
8,1,1,609,0,0,19
48,1,1,608,0,1,20
11,1,1,802,11,1,71
3,1,1,802,11,1,0
12,1,1,802,11,1,4
18,1,1,802,11,1,28
4,1,1,802,11,1,0
6,1,1,834,18,1,7
16,1,1,834,18,1,0
13,1,1,797,16,1,44
17,1,1,814,18,1,274
18,1,1,814,18,1,10
10,1,1,814,18,1,8
17,1,1,789,5,1,70
21,1,1,789,5,1,0
8,1,1,789,5,1,19
8,1,1,721,5,1,31
41,0,1,721,5,1,0
1,1,1,702,8,1,68
5,1,1,702,8,1,53
26,1,1,702,8,1,0
4,1,1,771,11,0,183
44,0,1,771,11,1,0
25,1,1,680,5,0,36
9,1,1,680,5,0,35
25,1,1,741,6,1,52
2,1,1,652,36,1,7
14,1,1,652,36,1,15
3,1,1,652,36,1,1
23,1,1,652,36,1,10
0.5,1,1,718,36,0,17
5,1,1,718,36,0,20
0.5,1,1,718,36,0,13
16,1,1,718,36,1,11
22,1,1,718,36,1,14
13,1,1,718,36,0,13
7,1,1,710,32,0,12
12,1,1,710,32,0,20
4,1,1,710,32,0,30
19,1,1,710,32,0,7
15,1,1,710,32,1,19
5,1,1,733,32,0,36
7,1,1,733,32,1,29
18,1,1,733,32,1,26
27,1,1,733,32,1,33
5,1,1,717,37,0,19
7,1,1,717,37,1,23
6,1,1,717,37,0,31
3,1,1,717,37,1,48
7,1,1,717,37,1,31
10,1,1,717,37,1,0
0.5,1,1,717,37,0,33
12,1,1,719,37,1,121
8,1,1,719,37,1,25
7,1,1,719,37,1,12
14,1,1,719,37,0,51
3,1,1,719,37,0,36
18,1,1,683,43,0,90
11,1,1,683,43,0,55
0.5,1,1,683,43,0,47
8,1,1,710,38,0,126
6,1,1,710,38,1,15
7,1,1,710,38,1,22
13,1,1,710,38,1,33
