"duration","ciep12","invest","fract","polar","numst2","crisis","country"
0.5,1,1,656,11,0,24,"belgium"
3,1,1,656,11,1,10,"belgium"
7,1,1,656,11,1,24,"belgium"
20,1,1,656,11,1,7,"belgium"
6,1,1,656,11,1,7,"belgium"
7,1,1,634,6,1,45,"belgium"
2,1,1,599,3,1,51,"belgium"
17,1,1,599,3,1,4,"belgium"
27,1,1,599,3,1,6,"belgium"
49,0,1,620,2,1,10,"belgium"
4,1,1,592,1,0,23,"belgium"
29,1,1,592,1,1,2,"belgium"
49,0,1,628,5,1,29,"belgium"
6,1,1,719,11,1,65,"belgium"
23,1,1,719,11,1,38,"belgium"
41,0,1,757,18,1,132,"belgium"
10,1,1,775,24,1,73,"belgium"
12,1,1,775,24,1,61,"belgium"
2,1,1,762,24,0,65,"belgium"
33,1,1,762,24,1,0,"belgium"
1,1,1,762,24,0,0,"belgium"
16,1,1,735,17,1,46,"belgium"
2,1,1,753,17,1,9,"belgium"
9,1,1,850,17,1,106,"belgium"
3,1,1,850,17,1,7,"belgium"
5,1,1,850,17,1,39,"belgium"
5,1,1,850,17,1,18,"belgium"
6,1,1,850,17,1,6,"belgium"
45,0,1,868,15,1,87,"belgium"
23,1,1,857,9,1,46,"belgium"
41,1,0,648,1,0,0,"canada"
7,1,0,648,1,1,0,"canada"
49,0,0,428,0,1,0,"canada"
46,1,0,536,0,1,0,"canada"
9,1,0,650,0,0,4,"canada"
51,0,0,349,0,1,0,"canada"
10,1,0,648,0,0,0,"canada"
32,1,0,622,0,0,5,"canada"
28,1,0,614,0,0,0,"canada"
3,1,0,614,0,0,0,"canada"
53,0,0,571,0,1,1,"canada"
17,1,0,648,0,0,0,"canada"
59,0,0,583,0,1,62,"canada"
9,1,0,602,0,0,0,"canada"
52,0,0,582,0,1,0,"canada"
3,1,0,582,0,1,0,"canada"
23,1,0,777,12,0,14,"denmark"
33,1,0,719,6,0,40,"denmark"
1,1,0,749,5,0,36,"denmark"
30,1,0,749,5,0,1,"denmark"
5,1,0,740,5,0,0,"denmark"
16,1,0,725,5,0,3,"denmark"
27,1,0,725,5,0,3,"denmark"
33,1,0,735,3,1,12,"denmark"
9,1,0,735,3,1,2,"denmark"
22,1,0,722,6,0,2,"denmark"
25,1,0,722,6,0,0,"denmark"
25,1,0,715,6,0,3,"denmark"
14,1,0,748,11,0,26,"denmark"
44,0,0,764,9,1,8,"denmark"
12,1,0,746,10,0,14,"denmark"
14,1,0,746,10,0,2,"denmark"
13,1,0,855,26,0,14,"denmark"
24,1,0,815,25,0,15,"denmark"
18,1,0,811,26,0,0,"denmark"
13,1,0,811,26,0,0,"denmark"
29,1,0,791,21,0,28,"denmark"
8,1,0,817,21,0,48,"denmark"
16,1,0,817,24,0,7,"denmark"
43,0,0,802,18,0,14,"denmark"
28,1,0,791,25,1,20,"finland"
19,1,0,780,19,0,7,"finland"
10,1,0,780,19,0,16,"finland"
2,1,0,780,19,1,0,"finland"
21,1,0,791,22,1,183,"finland"
4,1,0,791,22,0,12,"finland"
5,1,0,788,22,1,148,"finland"
16,1,0,788,22,1,6,"finland"
15,1,0,788,22,1,14,"finland"
1,1,0,788,22,0,5,"finland"
2,1,0,788,22,0,0,"finland"
2,1,0,788,22,0,0,"finland"
3,1,0,795,25,1,0,"finland"
30,1,0,795,25,0,40,"finland"
8,1,0,795,25,0,16,"finland"
20,1,0,803,24,1,44,"finland"
19,1,0,803,24,1,1,"finland"
21,1,0,799,21,1,43,"finland"
24,1,0,799,21,1,21,"finland"
8,1,0,821,27,1,0,"finland"
7,1,0,821,27,1,9,"finland"
5,1,0,818,28,0,0,"finland"
33,1,0,818,28,1,47,"finland"
10,1,0,812,21,1,0,"finland"
7,1,0,812,21,0,12,"finland"
9,1,0,812,21,1,4,"finland"
13,1,0,812,21,1,13,"finland"
32,1,0,808,21,1,69,"finland"
11,1,0,808,21,1,16,"finland"
3,1,0,808,21,0,1,"finland"
47,0,0,805,22,1,25,"finland"
5,1,1,788,28,1,11,"france"
1,1,1,788,31,0,18,"france"
3,1,1,788,31,1,2,"france"
5,1,1,788,31,1,5,"france"
1,1,1,788,31,1,0,"france"
8,1,1,788,31,1,5,"france"
1,1,1,788,31,1,7,"france"
0.5,1,1,788,31,1,9,"france"
13,1,1,788,31,1,4,"france"
3,1,1,788,31,1,23,"france"
5,1,1,788,31,0,3,"france"
0.5,1,1,788,31,0,8,"france"
7,1,1,788,31,1,8,"france"
4,1,1,788,31,1,10,"france"
5,1,1,842,27,0,41,"france"
1,1,1,842,27,0,13,"france"
10,1,1,842,27,0,8,"france"
4,1,1,842,27,0,16,"france"
11,1,1,842,27,1,38,"france"
7,1,1,842,27,1,7,"france"
0.5,1,1,842,27,0,14,"france"
11,1,1,842,27,1,4,"france"
16,1,1,839,38,0,8,"france"
4,1,1,839,38,0,22,"france"
0.5,1,1,839,38,0,18,"france"
0.5,1,1,839,38,0,10,"france"
5,1,1,839,38,1,7,"france"
0.5,1,1,839,38,1,28,"france"
4,1,1,839,38,1,0,"france"
33,1,0,722,19,1,117,"iceland"
40,0,0,712,17,1,11,"iceland"
34,1,0,709,14,1,77,"iceland"
28,1,0,712,15,1,0,"iceland"
11,1,0,712,15,0,19,"iceland"
5,1,0,687,14,0,0,"iceland"
43,0,0,710,17,1,1,"iceland"
5,1,0,699,15,1,0,"iceland"
43,0,0,699,15,1,0,"iceland"
37,0,0,718,15,1,0,"iceland"
8,1,0,718,15,1,62,"iceland"
36,1,0,740,17,1,30,"iceland"
46,0,0,704,18,1,58,"iceland"
13,1,0,761,23,1,65,"iceland"
2,1,0,761,23,0,3,"iceland"
39,0,0,736,18,1,67,"iceland"
48,0,0,754,17,1,28,"iceland"
40,1,1,724,0,0,0,"ireland"
35,1,1,692,0,0,0,"ireland"
34,1,1,671,0,1,13,"ireland"
27,1,1,636,3,1,0,"ireland"
28,1,1,636,3,1,0,"ireland"
42,1,1,645,0,0,0,"ireland"
19,1,1,620,0,1,0,"ireland"
32,1,1,620,0,1,2,"ireland"
44,1,1,593,0,1,0,"ireland"
52,0,1,612,0,1,0,"ireland"
29,1,1,580,0,1,0,"ireland"
18,1,1,580,0,1,6,"ireland"
7,1,1,582,0,0,0,"ireland"
8,1,1,609,0,0,19,"ireland"
48,1,1,608,0,1,20,"ireland"
11,1,1,802,11,1,71,"israel"
3,1,1,802,11,1,0,"israel"
12,1,1,802,11,1,4,"israel"
18,1,1,802,11,1,28,"israel"
4,1,1,802,11,1,0,"israel"
6,1,1,834,18,1,7,"israel"
16,1,1,834,18,1,0,"israel"
13,1,1,797,16,1,44,"israel"
17,1,1,814,18,1,274,"israel"
18,1,1,814,18,1,10,"israel"
10,1,1,814,18,1,8,"israel"
17,1,1,789,5,1,70,"israel"
21,1,1,789,5,1,0,"israel"
8,1,1,789,5,1,19,"israel"
8,1,1,721,5,1,31,"israel"
41,0,1,721,5,1,0,"israel"
1,1,1,702,8,1,68,"israel"
5,1,1,702,8,1,53,"israel"
26,1,1,702,8,1,0,"israel"
4,1,1,771,11,0,183,"israel"
44,0,1,771,11,1,0,"israel"
25,1,1,680,5,0,36,"israel"
9,1,1,680,5,0,35,"israel"
25,1,1,741,6,1,52,"israel"
2,1,1,652,36,1,7,"italy"
14,1,1,652,36,1,15,"italy"
3,1,1,652,36,1,1,"italy"
23,1,1,652,36,1,10,"italy"
0.5,1,1,718,36,0,17,"italy"
5,1,1,718,36,0,20,"italy"
0.5,1,1,718,36,0,13,"italy"
16,1,1,718,36,1,11,"italy"
22,1,1,718,36,1,14,"italy"
13,1,1,718,36,0,13,"italy"
7,1,1,710,32,0,12,"italy"
12,1,1,710,32,0,20,"italy"
4,1,1,710,32,0,30,"italy"
19,1,1,710,32,0,7,"italy"
15,1,1,710,32,1,19,"italy"
5,1,1,733,32,0,36,"italy"
7,1,1,733,32,1,29,"italy"
18,1,1,733,32,1,26,"italy"
27,1,1,733,32,1,33,"italy"
5,1,1,717,37,0,19,"italy"
7,1,1,717,37,1,23,"italy"
6,1,1,717,37,0,31,"italy"
3,1,1,717,37,1,48,"italy"
7,1,1,717,37,1,31,"italy"
10,1,1,717,37,1,0,"italy"
0.5,1,1,717,37,0,33,"italy"
12,1,1,719,37,1,121,"italy"
8,1,1,719,37,1,25,"italy"
7,1,1,719,37,1,12,"italy"
14,1,1,719,37,0,51,"italy"
3,1,1,719,37,0,36,"italy"
18,1,1,683,43,0,90,"italy"
11,1,1,683,43,0,55,"italy"
0.5,1,1,683,43,0,47,"italy"
8,1,1,710,38,0,126,"italy"
6,1,1,710,38,1,15,"italy"
7,1,1,710,38,1,22,"italy"
13,1,1,710,38,1,33,"italy"
3,1,1,710,38,1,16,"italy"
5,1,1,710,38,1,17,"italy"
45,1,1,751,39,1,98,"italy"
30,1,0,786,8,1,30,"netherlands"
15,1,0,786,8,1,50,"netherlands"
46,0,0,785,6,1,69,"netherlands"
26,1,0,754,5,1,12,"netherlands"
3,1,0,754,5,1,12,"netherlands"
48,0,0,759,3,1,63,"netherlands"
19,1,0,778,8,1,70,"netherlands"
18,1,0,778,8,1,46,"netherlands"
3,1,0,778,8,0,39,"netherlands"
49,0,0,825,16,1,49,"netherlands"
13,1,0,844,15,1,69,"netherlands"
4,1,0,844,15,0,23,"netherlands"
46,0,0,844,9,1,163,"netherlands"
41,0,0,730,3,1,270,"netherlands"
8,1,0,767,5,1,108,"netherlands"
3,1,0,767,5,0,17,"netherlands"
43,0,0,751,5,1,57,"netherlands"
47,0,0,685,7,1,0,"norway"
25,1,0,626,0,1,0,"norway"
23,1,0,626,0,1,2,"norway"
15,1,0,677,2,1,0,"norway"
33,1,0,677,2,1,7,"norway"
47,0,0,666,1,1,0,"norway"
23,1,0,689,1,0,0,"norway"
1,1,0,689,1,0,4,"norway"
25,1,0,689,1,0,4,"norway"
47,0,0,715,1,1,1,"norway"
18,1,0,680,0,1,0,"norway"
19,1,0,680,0,0,11,"norway"
12,1,0,680,0,0,11,"norway"
27,1,0,758,13,0,4,"norway"
20,1,0,758,13,0,3,"norway"
41,0,0,663,1,0,0,"norway"
8,1,0,663,1,0,5,"norway"
19,1,0,687,5,0,2,"norway"
28,1,0,687,5,1,0,"norway"
7,1,0,676,5,0,0,"norway"
3,1,0,709,16,1,0,NA
17,1,0,709,16,0,9,NA
6,1,0,709,16,1,46,NA
9,1,0,762,19,1,7,NA
2,1,0,763,16,1,0,NA
23,1,0,763,16,1,36,NA
3,1,0,763,16,1,35,NA
24,1,0,701,18,1,47,NA
3,1,0,701,18,1,9,NA
17,1,0,761,15,0,30,NA
22,1,1,644,13,0,3,"spain"
22,1,1,644,13,0,28,"spain"
43,0,1,575,5,1,35,"spain"
14,1,0,648,7,1,0,"sweden"
23,1,0,648,7,1,5,"sweden"
36,1,0,673,3,0,0,"sweden"
12,1,0,673,3,1,1,"sweden"
48,0,0,677,2,1,0,"sweden"
13,1,0,686,3,1,0,"sweden"
7,1,0,686,3,0,4,"sweden"
28,1,0,684,2,0,0,"sweden"
48,0,0,679,2,0,0,"sweden"
48,0,0,692,3,0,0,"sweden"
12,1,0,653,1,1,0,"sweden"
11,1,0,653,1,1,18,"sweden"
36,0,0,698,5,0,0,"sweden"
36,0,0,702,5,0,0,"sweden"
24,1,0,710,5,1,18,"sweden"
12,1,0,710,5,0,8,"sweden"
19,1,0,713,6,1,1,"sweden"
16,1,0,713,6,0,14,"sweden"
37,0,0,681,6,0,18,"sweden"
5,1,0,705,5,0,19,"sweden"
55,0,0,511,0,1,21,"uk"
20,1,0,518,0,1,0,"uk"
41,1,0,513,0,1,1,"uk"
2,1,0,513,0,1,1,"uk"
19,1,0,508,0,1,1,"uk"
33,1,0,508,0,1,1,"uk"
48,1,0,497,0,1,0,"uk"
12,1,0,497,0,1,5,"uk"
16,1,0,514,0,1,0,"uk"
51,0,0,506,0,1,0,"uk"
44,1,0,518,0,1,0,"uk"
7,1,0,556,3,0,4,"uk"
18,1,0,556,2,1,0,"uk"
7,1,0,556,2,1,0,"uk"
30,1,0,556,2,0,0,"uk"
50,0,0,536,1,1,0,"uk"
49,0,0,522,1,1,6,"uk"
