"y","loci1","loci2","loci3","loci4","loci5","loci6","loci7","loci8","loci9","loci10","loci11","loci12"
1,2,7,8,2,5,9,2,2,2,2,6,3
1,3,7,8,2,5,9,2,2,2,2,6,3
1,3,1,8,2,5,9,2,2,2,2,14,5
1,2,5,7,2,5,9,2,2,2,2,14,3
1,14,7,8,5,6,2,3,2,2,2,14,9
1,8,4,7,7,3,2,3,4,2,2,14,9
1,8,4,8,2,5,9,2,1,3,1,14,11
1,8,4,8,2,5,9,2,1,3,1,14,11
1,3,2,8,2,5,9,2,2,2,2,6,3
1,8,4,8,2,5,9,2,2,2,2,10,6
1,1,7,8,2,14,9,2,2,2,2,14,3
1,3,5,8,5,14,2,3,2,2,2,14,9
1,8,7,8,2,5,9,2,2,2,2,6,3
1,2,7,8,2,5,9,2,2,2,2,6,14
1,3,5,8,2,5,9,2,2,2,2,6,3
1,2,7,8,8,1,3,3,2,4,5,9,10
1,3,5,8,5,6,2,2,1,4,2,14,5
1,8,5,8,5,6,2,3,2,2,5,14,5
1,8,4,7,7,3,3,3,4,2,2,7,5
1,7,7,7,7,3,3,3,4,2,2,7,5
1,9,2,8,14,5,9,3,4,14,14,14,5
1,3,7,8,7,6,2,3,4,14,14,14,11
1,4,14,8,3,14,9,2,4,4,5,14,14
1,14,7,8,3,5,2,2,2,2,5,14,5
1,14,7,8,7,6,9,3,4,4,5,14,5
1,2,14,8,2,14,9,2,2,2,2,6,14
1,2,7,8,2,5,9,2,2,2,2,6,3
1,1,7,8,2,5,9,2,2,2,2,6,3
1,2,7,8,2,5,9,2,2,2,2,6,3
1,2,7,8,2,5,9,2,2,2,2,6,14
1,14,7,8,6,2,2,3,2,3,2,6,11
1,14,7,8,7,6,2,3,2,3,3,5,5
1,4,5,5,10,3,8,3,4,2,5,14,5
1,7,7,8,2,5,9,2,2,2,2,14,3
1,2,1,8,2,5,9,2,2,2,2,14,5
1,8,5,8,2,5,9,2,2,2,2,14,3
1,1,7,8,2,5,9,2,2,2,2,14,3
1,2,7,8,2,5,9,2,2,2,2,14,1
1,3,2,8,2,5,9,2,2,2,2,6,3
1,1,5,8,5,6,3,3,2,2,2,1,5
1,1,6,8,5,6,3,3,2,2,2,1,9
1,8,3,8,4,5,9,3,2,2,2,9,10
1,2,7,8,7,6,3,3,2,3,3,5,14
1,8,5,8,2,5,9,2,2,2,2,6,14
1,2,1,8,2,5,14,2,2,2,2,14,5
1,3,5,8,2,5,14,2,2,2,2,14,3
1,14,7,8,2,5,9,2,2,2,14,6,10
1,14,4,7,7,3,3,3,4,4,2,7,5
1,14,8,7,7,3,3,3,4,4,2,7,9
1,8,7,3,6,3,14,2,2,3,2,13,3
1,2,7,8,2,5,14,2,2,2,2,9,5
1,2,7,8,2,5,9,2,2,2,2,6,3
1,2,7,8,2,5,9,2,2,2,2,6,5
1,8,7,8,7,6,3,3,2,3,2,14,9
1,2,7,8,2,5,9,2,2,2,2,14,3
1,2,7,8,7,6,9,3,4,5,4,14,14
1,14,5,8,2,5,9,14,2,2,2,14,11
1,14,6,8,5,6,3,14,2,2,2,14,5
0,2,7,5,3,5,9,2,2,5,3,7,6
0,3,4,7,7,6,3,2,4,3,2,13,9
0,4,7,6,3,5,3,2,2,4,5,14,10
0,3,7,6,6,6,9,3,2,4,2,14,14
0,8,14,9,5,14,9,3,4,2,2,14,14
0,8,14,7,7,14,2,3,4,2,2,14,14
0,8,14,7,5,14,3,3,2,4,5,14,14
0,2,7,8,7,8,2,3,4,4,5,14,11
0,8,6,3,6,5,12,3,2,2,2,14,11
0,2,6,8,3,5,4,3,2,4,5,13,9
0,8,4,8,7,6,9,3,4,5,4,13,11
0,14,14,8,8,14,12,2,1,4,2,6,14
0,8,7,9,7,5,9,1,2,2,2,14,10
0,2,7,8,3,6,9,2,2,2,2,14,9
0,8,8,8,2,5,10,2,4,4,4,9,11
0,2,7,8,3,6,9,2,2,2,2,14,9
0,8,8,8,2,5,10,2,4,4,4,9,11
0,2,7,8,2,5,3,3,1,2,2,7,9
0,8,7,8,1,5,7,2,4,2,4,7,10
0,1,7,4,9,2,3,3,1,3,1,9,4
0,3,5,7,7,2,0,3,1,3,6,14,10
0,3,6,2,5,4,4,3,1,3,0,14,5
0,3,4,8,4,5,6,2,2,4,4,9,11
0,8,7,3,6,3,5,2,4,4,4,5,9
0,3,14,8,1,14,2,2,14,14,14,14,14
0,4,14,3,4,6,2,4,2,14,2,14,14
0,2,14,7,7,14,3,1,5,4,14,14,14
0,8,4,5,6,3,6,2,2,4,2,14,9
0,9,4,5,8,2,8,3,4,3,5,14,5
0,14,7,9,8,1,9,3,2,4,5,9,4
