"gameno","month","homeruns","playerstatus","player"
1,"March",1,0,"McGwire"
2,"April",1,0,"McGwire"
3,"April",1,0,"McGwire"
4,"April",1,0,"McGwire"
5,"April",0,0,"McGwire"
6,"April",0,0,"McGwire"
7,"April",0,0,"McGwire"
8,"April",0,0,"McGwire"
9,"April",0,0,"McGwire"
10,"April",0,0,"McGwire"
11,"April",0,0,"McGwire"
12,"April",0,0,"McGwire"
13,"April",3,0,"McGwire"
14,"April",0,0,"McGwire"
16,"April",1,0,"McGwire"
17,"April",0,0,"McGwire"
18,"April",0,0,"McGwire"
19,"April",1,0,"McGwire"
20,"April",0,0,"McGwire"
22,"April",0,0,"McGwire"
23,"April",1,0,"McGwire"
24,"April",0,0,"McGwire"
25,"April",0,0,"McGwire"
26,"April",0,0,"McGwire"
27,"April",1,0,"McGwire"
28,"May",1,0,"McGwire"
29,"May",0,0,"McGwire"
30,"May",0,0,"McGwire"
31,"May",0,0,"McGwire"
32,"May",0,0,"McGwire"
33,"May",0,0,"McGwire"
34,"May",1,0,"McGwire"
35,"May",0,0,"McGwire"
36,"May",1,0,"McGwire"
37,"May",0,0,"McGwire"
38,"May",1,0,"McGwire"
39,"May",0,0,"McGwire"
40,"May",1,0,"McGwire"
41,"May",0,0,"McGwire"
42,"May",1,0,"McGwire"
43,"May",3,0,"McGwire"
45,"May",0,0,"McGwire"
46,"May",1,0,"McGwire"
47,"May",2,0,"McGwire"
48,"May",1,0,"McGwire"
49,"May",1,0,"McGwire"
50,"May",0,0,"McGwire"
51,"May",0,0,"McGwire"
52,"May",1,0,"McGwire"
53,"May",1,0,"McGwire"
54,"May",0,0,"McGwire"
55,"June",0,0,"McGwire"
59,"June",1,0,"McGwire"
60,"June",0,0,"McGwire"
61,"June",0,0,"McGwire"
62,"June",1,0,"McGwire"
63,"June",0,0,"McGwire"
64,"June",1,0,"McGwire"
65,"June",1,0,"McGwire"
66,"June",0,0,"McGwire"
67,"June",0,0,"McGwire"
68,"June",0,0,"McGwire"
69,"June",1,0,"McGwire"
70,"June",1,0,"McGwire"
71,"June",0,0,"McGwire"
72,"June",0,0,"McGwire"
73,"June",0,0,"McGwire"
74,"June",0,0,"McGwire"
75,"June",0,0,"McGwire"
76,"June",1,0,"McGwire"
77,"June",1,0,"McGwire"
78,"June",0,0,"McGwire"
79,"June",1,0,"McGwire"
80,"June",0,0,"McGwire"
81,"June",1,0,"McGwire"
82,"July",0,0,"McGwire"
83,"July",0,0,"McGwire"
84,"July",0,0,"McGwire"
85,"July",0,0,"McGwire"
86,"July",0,0,"McGwire"
87,"July",0,0,"McGwire"
88,"July",0,0,"McGwire"
89,"July",1,0,"McGwire"
90,"July",2,0,"McGwire"
91,"July",0,0,"McGwire"
92,"July",0,0,"McGwire"
93,"July",0,0,"McGwire"
94,"July",0,0,"McGwire"
95,"July",2,0,"McGwire"
96,"July",0,0,"McGwire"
97,"July",0,0,"McGwire"
98,"July",1,0,"McGwire"
99,"July",0,0,"McGwire"
100,"July",0,0,"McGwire"
101,"July",0,0,"McGwire"
102,"July",0,0,"McGwire"
103,"July",0,0,"McGwire"
104,"July",1,0,"McGwire"
105,"July",1,0,"McGwire"
106,"July",0,0,"McGwire"
107,"July",0,0,"McGwire"
108,"July",0,0,"McGwire"
109,"August",0,0,"McGwire"
110,"August",0,0,"McGwire"
111,"August",0,0,"McGwire"
112,"August",0,0,"McGwire"
114,"August",0,0,"McGwire"
115,"August",1,0,"McGwire"
116,"August",0,0,"McGwire"
117,"August",0,0,"McGwire"
118,"August",1,0,"McGwire"
119,"August",0,0,"McGwire"
120,"August",0,0,"McGwire"
121,"August",0,0,"McGwire"
122,"August",0,0,"McGwire"
123,"August",0,0,"McGwire"
124,"August",2,0,"McGwire"
125,"August",1,0,"McGwire"
126,"August",1,0,"McGwire"
