"ipip","wage1992","prtyid","ideol","gender"
3,0.614226460456848,7,5,1
4,0.596963346004486,5,5,1
4,0.267989993095398,7,6,1
1,0.261489987373352,1,4,1
3,0.437947690486908,2,3.31290054321289,1
4,0.464700013399124,5,3,0
3,0.673849999904633,3,5,1
5,0.612436830997467,4,2,1
2,0.600469946861267,1,1,1
4,0.785520017147064,2,3,1
3,0.367390006780624,5,2,0
3,0.387620002031326,7,4,0
4,0.394959986209869,2.62966799736023,3.67877650260925,1
3,0.312420010566711,5,4.42300605773926,1
5,1.13774001598358,4,4,0
3,0.600469946861267,7,6,1
3,0.461620002985001,6,4,0
2,0.785520017147064,1,3.9916307926178,0
3,0.408399999141693,5,3,1
5,0.518409967422485,7,4,1
5,0.267989993095398,3,2,0
3,0.265219986438751,3,2.46880722045898,1
4,0.614226460456848,3,5,1
3,0.284888297319412,4,3,0
5,0.452622711658478,7,6,1
3,0.318247318267822,3,6,1
2,0.581430017948151,5,5.4493613243103,1
3,0.408399999141693,2,4.05274391174316,1
5,0.261489987373352,4,5.65098285675049,1
3,0.631883382797241,5,4.88335466384888,1
5,0.267989993095398,1,2.0560417175293,1
5,0.408399999141693,6,5.21073722839355,0
4,0.440597921609879,6,4,1
3,0.394959986209869,2,4,1
3,0.511519968509674,1,3.23466920852661,0
3,0.785520017147064,6,3.4414975643158,0
5,0.785520017147064,5,6,0
3,0.614226460456848,4,5.21029710769653,0
3,0.673849999904633,5,6,0
2,0.65021002292633,2,3,1
3,0.592509984970093,5,5,0
3,0.644749999046326,6,3,1
4,0.267989993095398,6,5,0
5,0.614226460456848,2,5,0
3,0.445836186408997,1,4,1
3,0.701979994773865,2,3,1
5,0.427269995212555,6,6,1
3,0.189989998936653,6,4,1
3,0.511519968509674,2,3.98858666419983,0
4,0.518409967422485,7,7,0
5,0.335929989814758,5,4,1
2,0.65021002292633,1,2,0
3,0.592509984970093,7,4,0
4,0.367390006780624,4,4,0
3,0.387620002031326,5,6.17189264297485,0
3,0.785520017147064,6,3,0
3,0.320780009031296,1,6,1
3,0.394959986209869,7,6,1
5,0.785520017147064,7,6,1
5,0.267989993095398,2,2,0
3,0.414970010519028,7,6,0
4,0.309140026569366,4,3,0
4,0.406390011310577,1,2,1
3,0.673849999904633,7,6,1
5,0.511519968509674,1,2,0
3,0.614226460456848,2,2,0
3,0.261489987373352,2,3.54713201522827,1
4,0.600469946861267,1,5,1
5,0.785520017147064,7,7,0
5,0.516614854335785,1,5,1
3,0.364969998598099,5,5,0
3,0.320780009031296,6.27468061447144,7,1
3,0.336679995059967,2,5.34947633743286,0
5,0.390350013971329,3,4,0
3,0.785520017147064,7,4,0
3,0.446730017662048,5,4,0
3,0.727735817432404,7,6,1
1,0.309140026569366,7,4,0
2,0.408399999141693,7,4,1
3,0.592509984970093,7,2,0
3,0.662460029125214,1,2,0
5,0.267989993095398,2,4.54243183135986,1
5,0.592509984970093,3,5,0
3,0.903599977493286,2,2,0
5,0.477019995450974,5,1.52099096775055,0
