"y","site","variety"
5e-04,"A","1"
0,"A","2"
0,"A","3"
0.001,"A","4"
0.0025,"A","5"
5e-04,"A","6"
0.005,"A","7"
0.013,"A","8"
0.015,"A","9"
0.015,"A","X"
0,"B","1"
5e-04,"B","2"
5e-04,"B","3"
0.003,"B","4"
0.0075,"B","5"
0.003,"B","6"
0.03,"B","7"
0.075,"B","8"
0.01,"B","9"
0.127,"B","X"
0.0125,"C","1"
0.0125,"C","2"
0.025,"C","3"
0.166,"C","4"
0.025,"C","5"
0.025,"C","6"
0,"C","7"
0.2,"C","8"
0.375,"C","9"
0.2625,"C","X"
0.025,"D","1"
0.005,"D","2"
1e-04,"D","3"
0.03,"D","4"
0.025,"D","5"
1e-04,"D","6"
0.25,"D","7"
0.55,"D","8"
0.05,"D","9"
0.4,"D","X"
0.055,"E","1"
0.01,"E","2"
0.06,"E","3"
0.011,"E","4"
0.025,"E","5"
0.08,"E","6"
0.165,"E","7"
0.295,"E","8"
0.2,"E","9"
0.435,"E","X"
0.01,"F","1"
0.05,"F","2"
0.05,"F","3"
0.05,"F","4"
0.05,"F","5"
0.05,"F","6"
0.1,"F","7"
0.05,"F","8"
0.5,"F","9"
0.75,"F","X"
0.05,"G","1"
0.001,"G","2"
0.05,"G","3"
0.05,"G","4"
0.5,"G","5"
0.1,"G","6"
0.5,"G","7"
0.25,"G","8"
0.5,"G","9"
0.75,"G","X"
0.05,"H","1"
0.1,"H","2"
0.05,"H","3"
0.05,"H","4"
0.25,"H","5"
0.75,"H","6"
0.5,"H","7"
0.75,"H","8"
0.75,"H","9"
0.75,"H","X"
0.175,"I","1"
0.25,"I","2"
0.425,"I","3"
0.5,"I","4"
0.375,"I","5"
0.95,"I","6"
0.625,"I","7"
0.95,"I","8"
0.95,"I","9"
0.95,"I","X"
