"occupation","focc","education","race"
"sales","professional",14,"non-black"
"craftsmen","sales",13,"non-black"
"sales","professional",16,"non-black"
"craftsmen","sales",16,"non-black"
"operatives","professional",14,"non-black"
"professional","operatives",14,"non-black"
"craftsmen","craftsmen",12,"non-black"
"sales","professional",16,"non-black"
"professional","professional",17,"non-black"
"craftsmen","professional",16,"non-black"
"professional","operatives",15,"non-black"
"farm","farm",15,"non-black"
"operatives","farm",8,"black"
"operatives","operatives",14,"non-black"
"craftsmen","craftsmen",12,"non-black"
"professional","professional",18,"non-black"
"professional","sales",16,"non-black"
"craftsmen","professional",14,"non-black"
"professional","professional",18,"non-black"
"sales","operatives",13,"non-black"
"craftsmen","craftsmen",10,"non-black"
"professional","craftsmen",14,"non-black"
"operatives","farm",12,"black"
"professional","professional",16,"black"
"sales","operatives",13,"black"
"farm","farm",12,"non-black"
"operatives","operatives",12,"non-black"
"sales","craftsmen",12,"non-black"
"operatives","operatives",14,"black"
"sales","operatives",7,"black"
"professional","professional",16,"non-black"
"craftsmen","operatives",12,"non-black"
"professional","professional",16,"non-black"
"craftsmen","craftsmen",12,"non-black"
"professional","professional",14,"non-black"
"professional","operatives",4,"non-black"
"operatives","operatives",2,"non-black"
"operatives","operatives",9,"non-black"
"professional","operatives",15,"non-black"
"operatives","operatives",10,"non-black"
"sales","operatives",13,"black"
"professional","sales",19,"non-black"
"professional","craftsmen",16,"non-black"
"professional","professional",17,"non-black"
"operatives","operatives",12,"non-black"
"craftsmen","sales",12,"non-black"
"professional","sales",16,"non-black"
"craftsmen","craftsmen",12,"non-black"
"sales","craftsmen",14,"non-black"
"craftsmen","craftsmen",12,"non-black"
"craftsmen","craftsmen",12,"non-black"
"operatives","craftsmen",12,"non-black"
"professional","operatives",16,"non-black"
"craftsmen","operatives",12,"non-black"
"professional","sales",16,"non-black"
"professional","sales",13,"non-black"
"sales","operatives",16,"non-black"
"operatives","craftsmen",12,"non-black"
"operatives","farm",13,"non-black"
"farm","farm",12,"non-black"
"craftsmen","sales",12,"non-black"
"professional","sales",18,"non-black"
"operatives","sales",9,"non-black"
"professional","sales",16,"non-black"
"professional","craftsmen",13,"non-black"
"sales","professional",16,"non-black"
"sales","craftsmen",16,"non-black"
"craftsmen","operatives",8,"non-black"
"operatives","craftsmen",12,"non-black"
"operatives","craftsmen",12,"non-black"
"operatives","professional",14,"non-black"
"sales","craftsmen",12,"non-black"
"professional","operatives",12,"non-black"
"craftsmen","sales",15,"non-black"
"craftsmen","professional",16,"non-black"
"craftsmen","craftsmen",16,"non-black"
"professional","farm",19,"non-black"
"craftsmen","professional",16,"non-black"
"craftsmen","operatives",14,"black"
"craftsmen","operatives",12,"black"
"craftsmen","craftsmen",10,"non-black"
"professional","professional",17,"non-black"
"operatives","operatives",10,"non-black"
"operatives","operatives",10,"non-black"
"craftsmen","operatives",12,"non-black"
"craftsmen","craftsmen",12,"non-black"
"operatives","craftsmen",12,"black"
"craftsmen","farm",10,"non-black"
"professional","operatives",16,"non-black"
"craftsmen","craftsmen",16,"non-black"
"sales","craftsmen",14,"non-black"
"operatives","operatives",12,"non-black"
"craftsmen","operatives",11,"non-black"
"professional","operatives",13,"non-black"
"operatives","farm",10,"non-black"
"professional","operatives",12,"non-black"
"professional","sales",13,"non-black"
"craftsmen","professional",14,"non-black"
"sales","craftsmen",12,"non-black"
"operatives","farm",12,"non-black"
"craftsmen","craftsmen",12,"non-black"
"professional","professional",15,"non-black"
"sales","professional",16,"non-black"
"professional","sales",17,"non-black"
"professional","professional",12,"non-black"
"sales","craftsmen",11,"non-black"
"operatives","sales",13,"non-black"
"craftsmen","craftsmen",12,"non-black"
"professional","craftsmen",12,"non-black"
"sales","craftsmen",15,"non-black"
