"anvisits","gender","income","income1","income2","income3","income4","travel","travel1","travel2","travel3"
NA,1,4,0,0,0,1,NA,NA,NA,NA
NA,1,2,0,1,0,0,NA,NA,NA,NA
NA,1,4,0,0,0,1,NA,NA,NA,NA
NA,2,2,0,1,0,0,NA,NA,NA,NA
NA,1,4,0,0,0,1,NA,NA,NA,NA
NA,2,2,0,1,0,0,NA,NA,NA,NA
NA,2,4,0,0,0,1,NA,NA,NA,NA
NA,2,4,0,0,0,1,NA,NA,NA,NA
NA,1,4,0,0,0,1,NA,NA,NA,NA
NA,1,4,0,0,0,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,1,1,0,0,0,NA,NA,NA,NA
12,2,3,0,0,1,0,NA,NA,NA,NA
100,2,4,0,0,0,1,NA,NA,NA,NA
35,1,1,1,0,0,0,NA,NA,NA,NA
1,2,3,0,0,1,0,NA,NA,NA,NA
6,1,4,0,0,0,1,NA,NA,NA,NA
2,2,4,0,0,0,1,3,0,0,1
1,2,4,0,0,0,1,3,0,0,1
1,1,4,0,0,0,1,2,0,1,0
1,2,1,1,0,0,0,NA,NA,NA,NA
1,1,4,0,0,0,1,3,0,0,1
1,2,3,0,0,1,0,3,0,0,1
1,1,1,1,0,0,0,1,1,0,0
100,1,NA,NA,NA,NA,NA,2,0,1,0
80,2,1,1,0,0,0,1,1,0,0
104,2,4,0,0,0,1,1,1,0,0
55,1,2,0,1,0,0,2,0,1,0
350,2,2,0,1,0,0,1,1,0,0
20,2,2,0,1,0,0,1,1,0,0
60,2,4,0,0,0,1,1,1,0,0
250,2,4,0,0,0,1,1,1,0,0
100,1,1,1,0,0,0,1,1,0,0
50,2,4,0,0,0,1,1,1,0,0
40,1,4,0,0,0,1,1,1,0,0
9,2,2,0,1,0,0,1,1,0,0
200,1,1,1,0,0,0,1,1,0,0
200,1,2,0,1,0,0,1,1,0,0
100,1,4,0,0,0,1,2,0,1,0
8,1,NA,NA,NA,NA,NA,1,1,0,0
6,2,4,0,0,0,1,1,1,0,0
2,2,3,0,0,1,0,1,1,0,0
15,1,2,0,1,0,0,1,1,0,0
12,2,3,0,0,1,0,1,1,0,0
30,1,3,0,0,1,0,2,0,1,0
120,2,4,0,0,0,1,1,1,0,0
52,2,3,0,0,1,0,1,1,0,0
35,2,1,1,0,0,0,1,1,0,0
30,1,2,0,1,0,0,1,1,0,0
75,1,2,0,1,0,0,1,1,0,0
10,2,2,0,1,0,0,1,1,0,0
250,1,3,0,0,1,0,1,1,0,0
15,1,4,0,0,0,1,1,1,0,0
4,1,2,0,1,0,0,2,0,1,0
25,1,4,0,0,0,1,2,0,1,0
50,2,1,1,0,0,0,1,1,0,0
114,1,1,1,0,0,0,2,0,1,0
50,2,2,0,1,0,0,2,0,1,0
100,2,3,0,0,1,0,1,1,0,0
15,1,4,0,0,0,1,2,0,1,0
30,2,3,0,0,1,0,1,1,0,0
120,2,2,0,1,0,0,1,1,0,0
30,1,3,0,0,1,0,2,0,1,0
NA,1,3,0,0,1,0,2,0,1,0
160,2,2,0,1,0,0,1,1,0,0
12,2,3,0,0,1,0,1,1,0,0
25,2,2,0,1,0,0,2,0,1,0
3,1,4,0,0,0,1,2,0,1,0
15,1,3,0,0,1,0,1,1,0,0
14,1,2,0,1,0,0,2,0,1,0
15,2,2,0,1,0,0,2,0,1,0
8,1,2,0,1,0,0,1,1,0,0
125,2,1,1,0,0,0,1,1,0,0
96,2,2,0,1,0,0,1,1,0,0
260,2,1,1,0,0,0,2,0,1,0
25,1,2,0,1,0,0,3,0,0,1
30,2,2,0,1,0,0,1,1,0,0
30,1,1,1,0,0,0,1,1,0,0
1,1,3,0,0,1,0,2,0,1,0
50,2,2,0,1,0,0,2,0,1,0
6,2,1,1,0,0,0,2,0,1,0
12,2,1,1,0,0,0,2,0,1,0
72,1,1,1,0,0,0,2,0,1,0
20,2,4,0,0,0,1,2,0,1,0
25,1,4,0,0,0,1,2,0,1,0
50,2,2,0,1,0,0,2,0,1,0
30,1,2,0,1,0,0,2,0,1,0
1,1,2,0,1,0,0,2,0,1,0
1,1,4,0,0,0,1,2,0,1,0
5,2,3,0,0,1,0,2,0,1,0
1,2,3,0,0,1,0,2,0,1,0
3,1,4,0,0,0,1,2,0,1,0
6,1,4,0,0,0,1,2,0,1,0
50,2,1,1,0,0,0,2,0,1,0
10,1,4,0,0,0,1,2,0,1,0
9,1,NA,NA,NA,NA,NA,2,0,1,0
4,2,4,0,0,0,1,2,0,1,0
12,2,2,0,1,0,0,2,0,1,0
2,1,2,0,1,0,0,2,0,1,0
15,1,1,1,0,0,0,2,0,1,0
50,2,2,0,1,0,0,2,0,1,0
7,1,2,0,1,0,0,2,0,1,0
100,2,NA,NA,NA,NA,NA,2,0,1,0
10,1,NA,NA,NA,NA,NA,2,0,1,0
50,1,2,0,1,0,0,2,0,1,0
2,1,1,1,0,0,0,2,0,1,0
50,1,2,0,1,0,0,2,0,1,0
2,1,NA,NA,NA,NA,NA,2,0,1,0
100,1,2,0,1,0,0,2,0,1,0
30,2,1,1,0,0,0,2,0,1,0
1,2,2,0,1,0,0,2,0,1,0
1,2,2,0,1,0,0,2,0,1,0
1,1,4,0,0,0,1,3,0,0,1
1,2,2,0,1,0,0,3,0,0,1
2,1,3,0,0,1,0,3,0,0,1
1,1,4,0,0,0,1,3,0,0,1
1,1,3,0,0,1,0,3,0,0,1
1,2,1,1,0,0,0,3,0,0,1
1,1,3,0,0,1,0,3,0,0,1
1,1,4,0,0,0,1,3,0,0,1
1,1,NA,NA,NA,NA,NA,3,0,0,1
4,1,4,0,0,0,1,3,0,0,1
1,2,2,0,1,0,0,NA,NA,NA,NA
1,1,1,1,0,0,0,3,0,0,1
2,1,1,1,0,0,0,2,0,1,0
2,1,4,0,0,0,1,3,0,0,1
1,1,4,0,0,0,1,3,0,0,1
1,2,3,0,0,1,0,2,0,1,0
2,1,4,0,0,0,1,3,0,0,1
1,1,4,0,0,0,1,3,0,0,1
1,1,4,0,0,0,1,3,0,0,1
1,2,4,0,0,0,1,3,0,0,1
2,1,4,0,0,0,1,3,0,0,1
2,1,4,0,0,0,1,3,0,0,1
10,1,4,0,0,0,1,3,0,0,1
3,1,4,0,0,0,1,3,0,0,1
3,1,4,0,0,0,1,3,0,0,1
4,2,4,0,0,0,1,3,0,0,1
5,1,4,0,0,0,1,3,0,0,1
1,1,4,0,0,0,1,NA,NA,NA,NA
1,1,4,0,0,0,1,3,0,0,1
2,1,4,0,0,0,1,3,0,0,1
1,1,4,0,0,0,1,3,0,0,1
2,1,4,0,0,0,1,1,1,0,0
6,1,4,0,0,0,1,3,0,0,1
1,1,2,0,1,0,0,NA,NA,NA,NA
1,1,3,0,0,1,0,NA,NA,NA,NA
1,1,NA,NA,NA,NA,NA,3,0,0,1
1,NA,NA,NA,NA,NA,NA,3,0,0,1
200,1,2,0,1,0,0,1,1,0,0
13,1,3,0,0,1,0,1,1,0,0
150,2,NA,NA,NA,NA,NA,1,1,0,0
25,2,4,0,0,0,1,1,1,0,0
10,2,2,0,1,0,0,1,1,0,0
40,1,4,0,0,0,1,1,1,0,0
10,1,2,0,1,0,0,2,0,1,0
1,1,3,0,0,1,0,1,1,0,0
30,1,4,0,0,0,1,1,1,0,0
6,1,2,0,1,0,0,1,1,0,0
35,2,2,0,1,0,0,1,1,0,0
24,2,4,0,0,0,1,1,1,0,0
100,1,2,0,1,0,0,1,1,0,0
17,1,2,0,1,0,0,1,1,0,0
20,2,4,0,0,0,1,1,1,0,0
40,1,3,0,0,1,0,1,1,0,0
52,1,3,0,0,1,0,2,0,1,0
15,1,3,0,0,1,0,1,1,0,0
60,1,2,0,1,0,0,1,1,0,0
30,2,4,0,0,0,1,1,1,0,0
20,1,1,1,0,0,0,1,1,0,0
6,1,4,0,0,0,1,2,0,1,0
70,2,3,0,0,1,0,1,1,0,0
35,NA,3,0,0,1,0,2,0,1,0
30,2,3,0,0,1,0,2,0,1,0
24,2,1,1,0,0,0,1,1,0,0
300,2,2,0,1,0,0,1,1,0,0
100,2,1,1,0,0,0,1,1,0,0
NA,1,4,0,0,0,1,NA,NA,NA,NA
30,1,2,0,1,0,0,2,0,1,0
50,2,1,1,0,0,0,2,0,1,0
26,1,2,0,1,0,0,2,0,1,0
17,1,3,0,0,1,0,2,0,1,0
6,2,1,1,0,0,0,3,0,0,1
100,2,3,0,0,1,0,1,1,0,0
30,1,1,1,0,0,0,2,0,1,0
50,2,1,1,0,0,0,2,0,1,0
20,1,2,0,1,0,0,1,1,0,0
150,2,1,1,0,0,0,2,0,1,0
20,2,1,1,0,0,0,1,1,0,0
70,1,3,0,0,1,0,1,1,0,0
20,1,2,0,1,0,0,2,0,1,0
100,1,4,0,0,0,1,2,0,1,0
1,1,3,0,0,1,0,2,0,1,0
20,1,2,0,1,0,0,2,0,1,0
100,2,4,0,0,0,1,2,0,1,0
50,2,4,0,0,0,1,1,1,0,0
NA,1,2,0,1,0,0,2,0,1,0
