"y","year","corp"
0,75,"G"
2,76,"G"
2,77,"G"
1,78,"G"
0,79,"G"
0,80,"G"
1,81,"G"
1,82,"G"
0,83,"G"
3,84,"G"
0,85,"G"
2,86,"G"
1,87,"G"
0,88,"G"
0,89,"G"
1,90,"G"
0,91,"G"
1,92,"G"
0,93,"G"
1,94,"G"
0,75,"I"
0,76,"I"
0,77,"I"
2,78,"I"
0,79,"I"
3,80,"I"
0,81,"I"
2,82,"I"
0,83,"I"
0,84,"I"
0,85,"I"
1,86,"I"
1,87,"I"
1,88,"I"
0,89,"I"
2,90,"I"
0,91,"I"
3,92,"I"
1,93,"I"
0,94,"I"
0,75,"II"
0,76,"II"
0,77,"II"
2,78,"II"
0,79,"II"
2,80,"II"
0,81,"II"
0,82,"II"
1,83,"II"
1,84,"II"
0,85,"II"
0,86,"II"
2,87,"II"
1,88,"II"
1,89,"II"
0,90,"II"
0,91,"II"
2,92,"II"
0,93,"II"
0,94,"II"
0,75,"III"
0,76,"III"
0,77,"III"
1,78,"III"
1,79,"III"
1,80,"III"
2,81,"III"
0,82,"III"
2,83,"III"
0,84,"III"
0,85,"III"
0,86,"III"
1,87,"III"
0,88,"III"
1,89,"III"
2,90,"III"
1,91,"III"
0,92,"III"
0,93,"III"
0,94,"III"
0,75,"IV"
1,76,"IV"
0,77,"IV"
1,78,"IV"
1,79,"IV"
1,80,"IV"
1,81,"IV"
0,82,"IV"
0,83,"IV"
0,84,"IV"
0,85,"IV"
1,86,"IV"
0,87,"IV"
0,88,"IV"
0,89,"IV"
0,90,"IV"
1,91,"IV"
1,92,"IV"
0,93,"IV"
0,94,"IV"
0,75,"V"
0,76,"V"
0,77,"V"
0,78,"V"
2,79,"V"
1,80,"V"
0,81,"V"
0,82,"V"
1,83,"V"
0,84,"V"
0,85,"V"
1,86,"V"
0,87,"V"
1,88,"V"
1,89,"V"
1,90,"V"
1,91,"V"
1,92,"V"
1,93,"V"
0,94,"V"
0,75,"VI"
0,76,"VI"
1,77,"VI"
0,78,"VI"
2,79,"VI"
0,80,"VI"
0,81,"VI"
1,82,"VI"
2,83,"VI"
0,84,"VI"
1,85,"VI"
1,86,"VI"
3,87,"VI"
1,88,"VI"
1,89,"VI"
1,90,"VI"
0,91,"VI"
3,92,"VI"
0,93,"VI"
0,94,"VI"
1,75,"VII"
0,76,"VII"
1,77,"VII"
0,78,"VII"
0,79,"VII"
0,80,"VII"
1,81,"VII"
0,82,"VII"
1,83,"VII"
1,84,"VII"
0,85,"VII"
0,86,"VII"
2,87,"VII"
0,88,"VII"
0,89,"VII"
2,90,"VII"
1,91,"VII"
0,92,"VII"
2,93,"VII"
0,94,"VII"
1,75,"VIII"
0,76,"VIII"
0,77,"VIII"
0,78,"VIII"
1,79,"VIII"
0,80,"VIII"
0,81,"VIII"
1,82,"VIII"
0,83,"VIII"
0,84,"VIII"
0,85,"VIII"
0,86,"VIII"
1,87,"VIII"
0,88,"VIII"
0,89,"VIII"
0,90,"VIII"
1,91,"VIII"
1,92,"VIII"
0,93,"VIII"
1,94,"VIII"
0,75,"IX"
0,76,"IX"
0,77,"IX"
0,78,"IX"
0,79,"IX"
2,80,"IX"
1,81,"IX"
1,82,"IX"
1,83,"IX"
0,84,"IX"
2,85,"IX"
1,86,"IX"
1,87,"IX"
0,88,"IX"
1,89,"IX"
2,90,"IX"
0,91,"IX"
1,92,"IX"
0,93,"IX"
0,94,"IX"
0,75,"X"
0,76,"X"
1,77,"X"
1,78,"X"
0,79,"X"
1,80,"X"
0,81,"X"
2,82,"X"
0,83,"X"
2,84,"X"
0,85,"X"
0,86,"X"
0,87,"X"
0,88,"X"
2,89,"X"
1,90,"X"
3,91,"X"
0,92,"X"
1,93,"X"
1,94,"X"
0,75,"XI"
0,76,"XI"
0,77,"XI"
0,78,"XI"
2,79,"XI"
4,80,"XI"
0,81,"XI"
1,82,"XI"
3,83,"XI"
0,84,"XI"
1,85,"XI"
1,86,"XI"
1,87,"XI"
1,88,"XI"
2,89,"XI"
1,90,"XI"
3,91,"XI"
1,92,"XI"
3,93,"XI"
1,94,"XI"
1,75,"XIV"
1,76,"XIV"
2,77,"XIV"
1,78,"XIV"
1,79,"XIV"
3,80,"XIV"
0,81,"XIV"
4,82,"XIV"
0,83,"XIV"
1,84,"XIV"
0,85,"XIV"
3,86,"XIV"
2,87,"XIV"
1,88,"XIV"
0,89,"XIV"
2,90,"XIV"
1,91,"XIV"
1,92,"XIV"
0,93,"XIV"
0,94,"XIV"
0,75,"XV"
1,76,"XV"
0,77,"XV"
0,78,"XV"
0,79,"XV"
0,80,"XV"
0,81,"XV"
1,82,"XV"
0,83,"XV"
1,84,"XV"
1,85,"XV"
0,86,"XV"
0,87,"XV"
0,88,"XV"
2,89,"XV"
2,90,"XV"
0,91,"XV"
0,92,"XV"
0,93,"XV"
0,94,"XV"
