"Freq","Alcohol","Income","Status","Urban"
1,"<1","0-50","Widow","Copenhagen"
4,"<1","0-50","Widow","SubCopenhagen"
1,"<1","0-50","Widow","LargeCity"
8,"<1","0-50","Widow","City"
6,"<1","0-50","Widow","Country"
14,"<1","0-50","Married","Copenhagen"
8,"<1","0-50","Married","SubCopenhagen"
41,"<1","0-50","Married","LargeCity"
100,"<1","0-50","Married","City"
175,"<1","0-50","Married","Country"
6,"<1","0-50","Unmarried","Copenhagen"
1,"<1","0-50","Unmarried","SubCopenhagen"
2,"<1","0-50","Unmarried","LargeCity"
6,"<1","0-50","Unmarried","City"
9,"<1","0-50","Unmarried","Country"
8,"<1","50-100","Widow","Copenhagen"
2,"<1","50-100","Widow","SubCopenhagen"
7,"<1","50-100","Widow","LargeCity"
14,"<1","50-100","Widow","City"
5,"<1","50-100","Widow","Country"
42,"<1","50-100","Married","Copenhagen"
51,"<1","50-100","Married","SubCopenhagen"
62,"<1","50-100","Married","LargeCity"
234,"<1","50-100","Married","City"
255,"<1","50-100","Married","Country"
7,"<1","50-100","Unmarried","Copenhagen"
5,"<1","50-100","Unmarried","SubCopenhagen"
9,"<1","50-100","Unmarried","LargeCity"
20,"<1","50-100","Unmarried","City"
27,"<1","50-100","Unmarried","Country"
2,"<1","100-150","Widow","Copenhagen"
3,"<1","100-150","Widow","SubCopenhagen"
1,"<1","100-150","Widow","LargeCity"
5,"<1","100-150","Widow","City"
2,"<1","100-150","Widow","Country"
21,"<1","100-150","Married","Copenhagen"
30,"<1","100-150","Married","SubCopenhagen"
23,"<1","100-150","Married","LargeCity"
87,"<1","100-150","Married","City"
77,"<1","100-150","Married","Country"
3,"<1","100-150","Unmarried","Copenhagen"
2,"<1","100-150","Unmarried","SubCopenhagen"
1,"<1","100-150","Unmarried","LargeCity"
12,"<1","100-150","Unmarried","City"
4,"<1","100-150","Unmarried","Country"
42,"<1",">150","Widow","Copenhagen"
29,"<1",">150","Widow","SubCopenhagen"
17,"<1",">150","Widow","LargeCity"
95,"<1",">150","Widow","City"
46,"<1",">150","Widow","Country"
24,"<1",">150","Married","Copenhagen"
30,"<1",">150","Married","SubCopenhagen"
50,"<1",">150","Married","LargeCity"
167,"<1",">150","Married","City"
232,"<1",">150","Married","Country"
33,"<1",">150","Unmarried","Copenhagen"
24,"<1",">150","Unmarried","SubCopenhagen"
15,"<1",">150","Unmarried","LargeCity"
64,"<1",">150","Unmarried","City"
68,"<1",">150","Unmarried","Country"
3,"1-2","0-50","Widow","Copenhagen"
0,"1-2","0-50","Widow","SubCopenhagen"
1,"1-2","0-50","Widow","LargeCity"
4,"1-2","0-50","Widow","City"
2,"1-2","0-50","Widow","Country"
15,"1-2","0-50","Married","Copenhagen"
7,"1-2","0-50","Married","SubCopenhagen"
15,"1-2","0-50","Married","LargeCity"
25,"1-2","0-50","Married","City"
48,"1-2","0-50","Married","Country"
2,"1-2","0-50","Unmarried","Copenhagen"
3,"1-2","0-50","Unmarried","SubCopenhagen"
9,"1-2","0-50","Unmarried","LargeCity"
9,"1-2","0-50","Unmarried","City"
7,"1-2","0-50","Unmarried","Country"
1,"1-2","50-100","Widow","Copenhagen"
1,"1-2","50-100","Widow","SubCopenhagen"
3,"1-2","50-100","Widow","LargeCity"
8,"1-2","50-100","Widow","City"
4,"1-2","50-100","Widow","Country"
39,"1-2","50-100","Married","Copenhagen"
59,"1-2","50-100","Married","SubCopenhagen"
68,"1-2","50-100","Married","LargeCity"
172,"1-2","50-100","Married","City"
143,"1-2","50-100","Married","Country"
12,"1-2","50-100","Unmarried","Copenhagen"
3,"1-2","50-100","Unmarried","SubCopenhagen"
11,"1-2","50-100","Unmarried","LargeCity"
20,"1-2","50-100","Unmarried","City"
23,"1-2","50-100","Unmarried","Country"
5,"1-2","100-150","Widow","Copenhagen"
4,"1-2","100-150","Widow","SubCopenhagen"
1,"1-2","100-150","Widow","LargeCity"
9,"1-2","100-150","Widow","City"
4,"1-2","100-150","Widow","Country"
32,"1-2","100-150","Married","Copenhagen"
68,"1-2","100-150","Married","SubCopenhagen"
43,"1-2","100-150","Married","LargeCity"
128,"1-2","100-150","Married","City"
86,"1-2","100-150","Married","Country"
6,"1-2","100-150","Unmarried","Copenhagen"
10,"1-2","100-150","Unmarried","SubCopenhagen"
5,"1-2","100-150","Unmarried","LargeCity"
21,"1-2","100-150","Unmarried","City"
15,"1-2","100-150","Unmarried","Country"
26,"1-2",">150","Widow","Copenhagen"
34,"1-2",">150","Widow","SubCopenhagen"
14,"1-2",">150","Widow","LargeCity"
48,"1-2",">150","Widow","City"
24,"1-2",">150","Widow","Country"
43,"1-2",">150","Married","Copenhagen"
76,"1-2",">150","Married","SubCopenhagen"
70,"1-2",">150","Married","LargeCity"
198,"1-2",">150","Married","City"
136,"1-2",">150","Married","Country"
36,"1-2",">150","Unmarried","Copenhagen"
23,"1-2",">150","Unmarried","SubCopenhagen"
48,"1-2",">150","Unmarried","LargeCity"
89,"1-2",">150","Unmarried","City"
64,"1-2",">150","Unmarried","Country"
2,">2","0-50","Widow","Copenhagen"
0,">2","0-50","Widow","SubCopenhagen"
2,">2","0-50","Widow","LargeCity"
1,">2","0-50","Widow","City"
0,">2","0-50","Widow","Country"
1,">2","0-50","Married","Copenhagen"
2,">2","0-50","Married","SubCopenhagen"
2,">2","0-50","Married","LargeCity"
7,">2","0-50","Married","City"
7,">2","0-50","Married","Country"
3,">2","0-50","Unmarried","Copenhagen"
