"EmploymentStatus","EmploymentLength","LayoffCause","Freq"
"NewJob","<1Mo","Closure",8
"Unemployed","<1Mo","Closure",10
"NewJob","1-3Mo","Closure",35
"Unemployed","1-3Mo","Closure",42
"NewJob","3-12Mo","Closure",70
"Unemployed","3-12Mo","Closure",86
"NewJob","1-2Yr","Closure",62
"Unemployed","1-2Yr","Closure",80
"NewJob","2-5Yr","Closure",56
"Unemployed","2-5Yr","Closure",67
"NewJob",">5Yr","Closure",38
"Unemployed",">5Yr","Closure",35
"NewJob","<1Mo","Replaced",40
"Unemployed","<1Mo","Replaced",24
"NewJob","1-3Mo","Replaced",85
"Unemployed","1-3Mo","Replaced",42
"NewJob","3-12Mo","Replaced",181
"Unemployed","3-12Mo","Replaced",41
"NewJob","1-2Yr","Replaced",85
"Unemployed","1-2Yr","Replaced",16
"NewJob","2-5Yr","Replaced",118
"Unemployed","2-5Yr","Replaced",27
"NewJob",">5Yr","Replaced",56
"Unemployed",">5Yr","Replaced",10
