"type","constr","operate","months","acc"
"A","C6064","O6074",127,0
"A","C6064","O7579",63,0
"A","C6569","O6074",1095,3
"A","C6569","O7579",1095,4
"A","C7074","O6074",1512,6
"A","C7074","O7579",3353,18
"A","C7579","O6074",NA,NA
"A","C7579","O7579",2244,11
"B","C6064","O6074",44882,39
"B","C6064","O7579",17176,29
"B","C6569","O6074",28609,58
"B","C6569","O7579",20370,53
"B","C7074","O6074",7064,12
"B","C7074","O7579",13099,44
"B","C7579","O6074",NA,NA
"B","C7579","O7579",7117,18
"C","C6064","O6074",1179,1
"C","C6064","O7579",552,1
"C","C6569","O6074",781,0
"C","C6569","O7579",676,1
"C","C7074","O6074",783,6
"C","C7074","O7579",1948,2
"C","C7579","O6074",NA,NA
"C","C7579","O7579",274,1
"D","C6064","O6074",251,0
"D","C6064","O7579",105,0
"D","C6569","O6074",288,0
"D","C6569","O7579",192,0
"D","C7074","O6074",349,2
"D","C7074","O7579",1208,11
"D","C7579","O6074",NA,NA
"D","C7579","O7579",2051,4
"E","C7579","O7579",45,0
"E","C6064","O7579",NA,NA
"E","C6569","O6074",789,7
"E","C6569","O7579",437,7
"E","C7074","O6074",1157,5
"E","C7074","O7579",2161,12
"E","C7579","O6074",NA,NA
"E","C7579","O7579",542,1
