"stateur","statemb","state","age","tenure","joblost","nwhite","school12","sex","bluecol","smsa","married","dkids","dykids","yrdispl","rr","head","ui"
4.5,167,42,49,21,"other","no","no","male","yes","yes","no","no","no",7,0.290631,"yes","yes"
10.5,251,55,26,2,"slack_work","no","no","male","yes","yes","no","yes","yes",10,0.520202,"yes","no"
7.2,260,21,40,19,"other","no","yes","female","yes","yes","yes","no","no",10,0.4324895,"yes","yes"
5.8,245,56,51,17,"slack_work","yes","no","female","yes","yes","yes","no","no",10,0.5,"no","yes"
6.5,125,58,33,1,"slack_work","no","yes","male","yes","yes","yes","yes","yes",4,0.390625,"yes","no"
7.5,188,11,51,3,"other","no","no","male","yes","yes","yes","no","no",10,0.4822007,"yes","yes"
5.8,166,93,30,5,"position_abolished","no","no","male","yes","yes","yes","yes","yes",6,0.3340425,"yes","yes"
5.8,214,84,26,3,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.510989,"yes","yes"
7.7,213,84,54,20,"other","no","no","male","yes","yes","yes","no","no",6,0.3556338,"yes","no"
6,187,33,31,1,"slack_work","no","no","male","yes","yes","yes","no","no",8,0.3732719,"yes","yes"
7.1,206,33,56,20,"slack_work","no","no","male","yes","no","yes","no","no",10,0.4044665,"yes","yes"
10.1,132,12,54,26,"other","no","no","male","yes","no","yes","yes","no",2,0.4132948,"yes","no"
5,279,22,21,1,"slack_work","no","no","male","yes","yes","no","no","no",9,0.5984849,"no","no"
6.6,291,22,35,1,"slack_work","yes","no","male","yes","yes","no","yes","yes",10,0.5991561,"no","no"
7.2,166,93,23,1,"slack_work","no","yes","male","yes","yes","no","no","no",4,0.39375,"no","yes"
7.2,260,21,41,3,"other","no","no","male","yes","yes","yes","yes","no",10,0.5023041,"no","yes"
6.4,213,84,49,12,"other","no","no","male","yes","yes","yes","no","no",7,0.4263736,"no","yes"
8.9,166,56,35,1,"other","yes","no","male","yes","no","yes","no","no",2,0.473545,"yes","no"
5.8,245,56,40,12,"other","no","no","female","yes","yes","yes","yes","no",10,0.4981949,"no","yes"
6.1,138,54,60,30,"slack_work","no","no","male","yes","yes","yes","no","no",2,0.5185185,"yes","no"
7.2,260,21,42,4,"slack_work","yes","no","female","yes","yes","yes","no","no",10,0.5,"no","yes"
18,211,55,48,3,"other","no","no","male","yes","no","yes","no","no",2,0.2558922,"yes","yes"
4.6,168,16,41,3,"other","no","no","male","yes","yes","yes","no","no",3,0.3359073,"yes","yes"
9,192,83,29,5,"position_abolished","no","no","male","yes","no","yes","yes","yes",5,0.2622036,"yes","no"
5.9,185,44,59,5,"slack_work","no","no","male","yes","no","yes","no","no",4,0.5,"yes","yes"
7.4,197,73,32,3,"slack_work","no","no","male","yes","no","yes","yes","yes",6,0.4389671,"yes","yes"
11.4,168,33,22,3,"slack_work","no","no","male","yes","yes","no","yes","no",2,0.504065,"no","no"
5.5,150,43,25,3,"slack_work","yes","no","male","yes","yes","yes","yes","yes",8,0.5752212,"no","no"
4.8,179,44,36,3,"other","no","yes","male","yes","no","yes","yes","yes",7,0.4010989,"yes","yes"
6.3,150,59,41,20,"other","no","no","male","yes","yes","no","yes","no",3,0.3994845,"no","yes"
5,138,54,26,2,"slack_work","no","no","male","yes","yes","no","no","no",3,0.5204461,"no","yes"
11.5,110,62,25,3,"other","no","no","female","yes","yes","no","yes","yes",2,0.4175258,"yes","no"
4.9,194,88,23,1,"slack_work","no","no","male","yes","yes","no","yes","yes",9,0.5194175,"no","yes"
7.7,147,74,24,1,"slack_work","no","no","male","yes","no","yes","no","no",1,0.4593838,"no","no"
8.8,197,34,22,3,"slack_work","no","no","male","yes","yes","yes","yes","yes",5,0.4872611,"yes","yes"
7.9,151,61,38,3,"other","no","no","female","yes","no","no","no","no",7,0.6147541,"yes","yes"
3.9,176,54,37,10,"other","yes","no","female","yes","yes","yes","yes","yes",8,0.5032895,"no","yes"
9.2,276,34,39,3,"other","no","no","male","yes","yes","yes","yes","no",10,0.5253165,"yes","no"
13.1,205,72,30,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",5,0.520362,"yes","no"
6.2,135,86,34,2,"slack_work","no","no","male","yes","yes","yes","yes","no",6,0.4429066,"yes","yes"
4.7,147,57,36,17,"slack_work","no","no","male","yes","no","yes","yes","no",8,0.2456814,"yes","no"
7.3,220,71,22,1,"slack_work","no","yes","male","yes","no","no","yes","no",10,0.4405063,"no","yes"
5.4,165,52,33,1,"other","no","no","female","yes","no","yes","yes","no",3,0.5421687,"no","no"
9,161,33,22,2,"slack_work","no","yes","male","yes","yes","yes","no","no",4,0.4777778,"yes","no"
7.5,210,93,32,2,"slack_work","no","no","male","yes","yes","yes","yes","yes",10,0.3955696,"yes","yes"
11.9,110,62,25,5,"slack_work","no","no","male","yes","no","no","no","no",1,0.4172185,"yes","yes"
7.5,275,34,47,4,"slack_work","no","no","male","yes","yes","no","no","no",9,0.5212121,"yes","yes"
9,282,14,61,27,"slack_work","no","no","male","yes","yes","yes","no","no",10,0.5,"yes","yes"
6,187,33,34,3,"slack_work","no","no","male","yes","no","yes","yes","no",8,0.4884793,"yes","yes"
9.4,136,93,57,2,"slack_work","no","yes","male","yes","yes","no","no","no",1,0.4170403,"no","yes"
10.2,130,64,20,1,"slack_work","yes","no","male","yes","yes","no","yes","no",6,0.5025381,"no","no"
6,272,14,27,6,"position_abolished","no","yes","male","yes","yes","no","no","no",9,0.3929825,"yes","yes"
6.8,176,33,40,5,"slack_work","no","no","female","yes","yes","yes","yes","no",7,0.4889868,"no","no"
5,229,84,26,1,"other","no","no","male","yes","no","no","no","no",10,0.3818565,"no","no"
5.1,172,44,28,2,"other","no","no","male","yes","yes","no","no","no",3,0.4980695,"yes","yes"
6,198,41,33,3,"other","no","yes","male","yes","yes","no","no","no",4,0.5,"no","yes"
7.1,206,33,29,6,"slack_work","no","no","male","yes","yes","yes","no","no",10,0.489899,"yes","yes"
7.5,275,34,44,1,"other","no","no","male","yes","yes","yes","no","no",9,0.5252101,"yes","yes"
7.4,168,33,61,25,"other","no","no","male","yes","yes","yes","no","no",6,0.3051823,"yes","yes"
7.3,225,59,44,7,"slack_work","yes","yes","male","yes","yes","no","no","no",10,0.4981949,"yes","yes"
8.9,115,58,24,2,"slack_work","yes","yes","male","yes","no","no","no","no",1,0.5192308,"no","yes"
5.8,145,62,60,4,"other","no","no","female","yes","no","no","no","no",7,0.390411,"yes","yes"
4.8,255,41,41,18,"other","no","yes","male","yes","no","yes","yes","yes",9,0.5015197,"yes","no"
7.4,199,61,52,17,"seasonal_job_ended","no","no","male","yes","no","yes","no","no",10,0.566787,"yes","yes"
7.9,181,72,30,4,"slack_work","no","no","male","yes","no","yes","yes","yes",8,0.2010243,"yes","no"
6.9,188,94,36,1,"seasonal_job_ended","no","no","male","yes","yes","yes","no","no",9,0.4951456,"yes","yes"
6.4,120,43,27,6,"other","no","no","female","yes","yes","yes","no","no",4,0.5309734,"no","no"
9.8,159,82,33,8,"slack_work","no","no","female","yes","no","yes","yes","yes",2,0.5,"no","no"
3.8,192,16,56,25,"other","no","no","male","yes","yes","yes","no","no",5,0.4983051,"yes","yes"
5.2,245,21,31,2,"slack_work","no","no","male","yes","yes","no","no","no",9,0.4984026,"yes","no"
8.6,225,55,51,13,"other","no","no","female","yes","no","no","no","no",8,0.5207373,"no","yes"
6.5,125,58,26,4,"slack_work","no","no","male","yes","no","yes","yes","yes",4,0.3846154,"yes","yes"
7.6,229,34,51,13,"slack_work","no","no","male","yes","yes","yes","no","no",7,0.3809524,"yes","yes"
5.4,167,56,51,4,"slack_work","no","no","male","yes","yes","yes","yes","yes",4,0.5,"yes","yes"
9,192,83,35,6,"other","no","no","male","yes","no","no","no","no",5,0.4783715,"yes","yes"
7.2,166,93,20,1,"other","no","no","female","yes","yes","no","no","no",4,0.395,"no","no"
7.7,213,84,31,5,"other","no","no","male","yes","yes","yes","yes","yes",6,0.3046757,"yes","no"
6.4,182,13,22,2,"slack_work","no","yes","male","yes","yes","no","no","no",10,0.4044944,"yes","yes"
5.6,200,59,26,2,"other","no","no","male","yes","yes","yes","yes","yes",8,0.3210332,"yes","no"
6.7,210,74,40,5,"other","no","no","female","yes","yes","yes","no","no",8,0.3647295,"no","yes"
14.4,194,55,54,2,"other","no","no","female","yes","no","yes","yes","no",1,0.5165563,"no","yes"
9,192,83,20,1,"other","no","no","male","yes","no","no","yes","no",5,0.5203488,"no","no"
8.6,115,62,49,1,"position_abolished","no","no","male","yes","yes","yes","no","no",3,0.4186046,"yes","no"
5.6,200,59,30,2,"slack_work","no","no","male","yes","yes","no","no","no",8,0.4976959,"no","yes"
7.2,260,21,35,3,"other","no","no","male","yes","yes","yes","yes","yes",10,0.5012658,"yes","no"
10,136,71,23,2,"slack_work","no","yes","male","yes","no","yes","yes","no",1,0.5,"yes","no"
7.4,213,84,61,1,"slack_work","no","no","male","yes","yes","yes","no","no",5,0.3943396,"yes","yes"
5,200,59,22,2,"other","no","no","male","yes","yes","no","no","no",7,0.5022026,"yes","no"
8.8,143,15,41,7,"position_abolished","no","no","male","yes","no","yes","yes","no",1,0.3565022,"yes","yes"
12.9,140,61,31,1,"slack_work","no","no","male","yes","no","yes","no","no",1,0.2795699,"yes","yes"
8.1,147,31,26,1,"slack_work","no","no","male","yes","yes","no","no","no",5,0.5,"no","yes"
9.9,105,43,31,1,"slack_work","no","no","male","yes","no","yes","yes","yes",2,0.2989418,"yes","yes"
9,161,33,32,2,"seasonal_job_ended","no","no","male","yes","yes","yes","yes","no",4,0.48,"yes","no"
4.6,176,73,30,11,"slack_work","no","no","male","yes","no","yes","yes","no",1,0.3820663,"yes","no"
5,279,22,21,1,"other","no","no","female","yes","yes","no","yes","no",9,0.6007605,"no","no"
6.2,217,74,26,1,"position_abolished","no","no","female","yes","no","yes","yes","yes",9,0.5212121,"no","yes"
9.7,152,56,34,1,"slack_work","no","no","female","yes","no","no","yes","no",1,0.502994,"yes","yes"
7.5,275,34,52,25,"other","no","no","female","yes","yes","yes","no","no",9,0.4574899,"no","no"
7.1,206,33,33,14,"other","no","no","female","yes","no","yes","yes","no",10,0.4683908,"no","yes"
3.5,205,51,31,3,"other","no","no","male","yes","yes","no","no","no",8,0.5,"no","no"
7,147,31,22,2,"slack_work","yes","no","male","yes","yes","no","no","no",6,0.5035461,"no","yes"
6.9,146,13,37,3,"slack_work","no","no","female","yes","no","yes","yes","no",2,0.5,"no","yes"
4.9,180,16,30,1,"other","no","no","male","yes","yes","no","no","no",4,0.5018182,"yes","yes"
18,211,55,50,7,"slack_work","no","yes","male","yes","yes","no","no","no",2,0.5208333,"yes","yes"
3.7,234,16,25,5,"slack_work","no","no","male","yes","yes","yes","yes","yes",8,0.2706667,"no","yes"
