"whrswk","hhi","whi","hhi2","education","race","hispanic","experience","kidslt6","kids618","husby","region","wght"
0,"no","no","no","13-15years","white","no",13,2,1,11.96,"northcentral",214986
50,"no","yes","no","13-15years","white","no",24,0,1,1.2,"northcentral",210119
40,"yes","no","yes","12years","white","no",43,0,0,31.275,"northcentral",219955
40,"no","yes","yes","13-15years","white","no",17,0,1,9,"northcentral",210317
0,"yes","no","yes","9-11years","white","no",44.5,0,0,0,"northcentral",219955
40,"yes","yes","yes","12years","white","no",32,0,0,15.69,"northcentral",208148
40,"yes","no","yes","16years","white","no",14,0,0,26,"northcentral",213615
25,"no","no","no","12years","white","no",1,1,0,0.338,"northcentral",181960
45,"no","yes","no","16years","white","no",4,0,0,10,"northcentral",214874
30,"no","no","yes","13-15years","white","no",7,1,0,30,"northcentral",214874
40,"no","no","no","12years","white","no",23,0,3,18,"northcentral",206875
32,"no","no","no","16years","white","no",9,2,0,22,"northcentral",211666
40,"no","yes","no","12years","white","no",31,0,2,19.5,"northcentral",254185
0,"yes","no","yes","12years","white","no",20,0,2,42,"northcentral",260862
40,"yes","no","yes","12years","white","no",35,0,0,32,"northcentral",243750
40,"no","yes","yes","12years","white","no",20,1,0,25,"northcentral",261561
0,"yes","no","yes","12years","white","no",33,0,0,42,"northcentral",244403
20,"yes","no","yes","12years","white","no",9,2,0,16,"northcentral",263103
0,"yes","no","yes","12years","white","no",21,0,2,0,"northcentral",260862
45,"no","yes","yes","13-15years","white","no",16,0,2,36,"northcentral",260862
40,"no","yes","no","12years","white","no",45,0,0,0,"northcentral",272816
30,"yes","no","yes","12years","white","no",47,0,0,28,"northcentral",261116
40,"no","yes","yes","12years","white","no",35,0,0,20,"northcentral",243750
22,"yes","no","yes","12years","white","no",46,0,0,0,"northcentral",261116
17,"yes","no","yes","12years","white","no",47,0,0,2.9,"northcentral",143305
20,"yes","no","yes","13-15years","white","no",13,1,1,50,"northcentral",137675
0,"no","no","no","12years","white","no",47,0,0,0.006,"northcentral",136931
40,"no","yes","no",">16years","white","no",31,0,0,0,"northcentral",132190
45,"no","no","no",">16years","white","no",31,0,0,25.464,"northcentral",128454
50,"no","yes","no","12years","white","no",19,0,2,0,"northcentral",137472
0,"no","no","no","12years","white","no",5,3,0,9,"northcentral",143987
60,"no","yes","yes","16years","white","no",6,1,0,32,"northcentral",132259
0,"no","yes","no","12years","white","no",16,1,1,38.5,"northcentral",83882
40,"no","yes","yes","16years","white","no",13,2,0,28,"northcentral",138354
50,"no","yes","no","12years","white","no",29,0,1,15.875,"northcentral",133953
42,"yes","no","yes","12years","white","no",7,1,0,17.5,"northcentral",143873
10,"yes","no","yes","13-15years","white","no",24,0,3,47,"northcentral",135222
