"dir","hir","lvr","ccs","mcs","pbcr","dmi","self","single","uria","comdominiom","black","deny"
0.221000003814697,0.221000003814697,0.8,5,2,"no","no","no","no",3.90000009536743,0,"no","no"
0.265,0.265,0.921875,2,2,"no","no","no","yes",3.20000004768372,0,"no","no"
0.372000007629395,0.247999992370605,0.920398009950249,1,2,"no","no","no","no",3.20000004768372,0,"no","no"
0.32,0.25,0.86046511627907,1,2,"no","no","no","no",4.30000019073486,0,"no","no"
0.36,0.35,0.6,1,1,"no","no","no","no",3.20000004768372,0,"no","no"
0.24,0.17,0.510526315789474,1,1,"no","no","no","no",3.90000009536743,0,"no","no"
0.35,0.29,0.746666666666667,1,2,"no","no","no","yes",3.90000009536743,1,"no","no"
0.28,0.22,0.85,2,2,"no","no","no","no",1.79999995231628,0,"no","no"
0.31,0.24,0.897260273972603,2,2,"no","yes","no","no",3.09999990463257,0,"no","yes"
0.18,0.17,0.358744394618834,2,1,"no","no","no","yes",3.90000009536743,0,"no","no"
0.28,0.27,0.223880597014925,1,2,"no","no","no","yes",3.09999990463257,1,"no","no"
0.31,0.3,0.688888888888889,1,2,"no","no","no","yes",4.30000019073486,0,"no","no"
0.28,0.27,0.537634408602151,1,2,"no","yes","no","no",4.30000019073486,0,"no","yes"
0.36,0.34,0.649438202247191,1,1,"no","no","no","no",10.6000003814697,0,"no","no"
0.18,0.15,0.3625,1,1,"no","no","no","no",3.20000004768372,0,"no","no"
0.36,0.27,0.833333333333333,2,1,"no","no","no","no",3.20000004768372,0,"no","no"
0.23,0.22,0.642857142857143,1,1,"no","no","no","no",3.20000004768372,0,"no","no"
0.32,0.27,0.4375,2,1,"no","no","no","no",3.20000004768372,0,"no","no"
0.31,0.29,0.794444444444444,2,2,"no","no","no","no",4.30000019073486,0,"no","no"
0.37,0.28,0.8,2,2,"no","no","no","yes",3.09999990463257,0,"no","no"
0.37,0.22,0.896341463414634,6,1,"yes","yes","no","no",3.09999990463257,0,"no","yes"
0.39,0.31,0.878571428571429,3,2,"no","no","no","no",5.30000019073486,0,"no","no"
0.32,0.32,0.772058823529412,1,2,"no","no","no","yes",10.6000003814697,0,"no","no"
0.39,0.33,0.901023890784983,1,2,"no","no","no","no",3.20000004768372,0,"no","no"
0.33,0.31,0.654377880184332,1,2,"no","no","no","yes",3.90000009536743,0,"no","no"
0.28,0.13,0.62962962962963,1,2,"no","no","no","yes",3.20000004768372,1,"no","no"
0.37,0.28,0.894736842105263,1,2,"no","no","no","yes",1.79999995231628,1,"no","no"
0.3,0.25,0.485436893203884,1,2,"no","no","no","yes",3.20000004768372,0,"no","no"
0.31,0.29,0.949367088607595,1,2,"no","no","no","no",3.90000009536743,0,"no","no"
0.26,0.21,0.891089108910891,1,2,"no","no","no","yes",1.79999995231628,0,"yes","no"
0.36,0.29,0.863309352517986,1,2,"no","no","no","yes",4.30000019073486,0,"no","no"
0.37,0.2,0.714285714285714,5,1,"no","no","no","no",4.30000019073486,0,"no","no"
0.35,0.26,0.751219512195122,3,2,"no","no","no","yes",3.59999990463257,0,"no","no"
0.37,0.26,0.902127659574468,1,2,"no","no","no","yes",2,0,"no","no"
0.34,0.28,0.847058823529412,1,2,"no","no","no","no",4.30000019073486,0,"no","no"
0.38,0.28,0.473684210526316,1,2,"no","no","no","no",3.90000009536743,1,"no","no"
