"lower","upper","answer","recparks","jobs","lowrisk","wildlife","future","aboriginal","finben","mineparks","moreparks","gov","envcon","vparks","tvenv","conservation","sex","age","schooling","income","major"
0,2,"nn",3,1,5,5,1,1,1,4,5,1,"yes","yes",1,"no","male",27,3,25,"no"
0,2,"nn",5,5,3,5,5,1,5,1,5,2,"no","yes",3,"no","female",32,4,9,"no"
0,2,"nn",4,4,5,3,5,1,5,3,2,2,"no","yes",2,"no","male",32,4,25,"yes"
0,2,"nn",1,2,4,5,3,4,3,3,5,1,"yes","no",1,"yes","female",70,6,25,"no"
0,2,"nn",2,4,5,3,1,3,4,1,1,1,"no","yes",3,"no","male",32,5,35,"yes"
0,2,"nn",3,3,3,4,5,2,3,4,3,1,"yes","yes",1,"no","male",47,6,27,"no"
0,2,"nn",1,1,5,5,3,1,3,1,1,1,"no","no",3,"no","male",42,5,25,"yes"
0,2,"nn",5,3,5,5,5,2,3,2,3,2,"no","yes",1,"no","female",70,3,25,"no"
0,2,"nn",5,3,5,5,4,2,3,1,1,1,"no","yes",1,"no","male",32,5,35,"yes"
0,2,"nn",2,3,3,4,4,4,2,2,3,1,"no","no",3,"no","female",47,2,25,"no"
0,2,"nn",5,5,2,5,5,4,3,4,4,1,"no","yes",1,"no","male",21,4,9,"yes"
0,2,"nn",1,1,4,5,5,2,2,4,3,1,"yes","yes",2,"yes","male",70,0,35,"no"
0,2,"nn",3,3,4,3,4,2,2,3,4,1,"no","yes",2,"no","male",32,4,9,"yes"
0,2,"nn",5,3,1,5,5,5,2,4,3,1,"yes","yes",2,"no","male",27,5,16,"no"
0,2,"nn",1,1,5,1,5,3,1,1,5,1,"yes","yes",1,"yes","male",70,6,35,"yes"
0,2,"nn",4,3,4,4,3,3,4,3,4,1,"yes","yes",2,"no","female",27,3,25,"no"
0,2,"nn",4,4,3,5,5,3,5,3,4,1,"yes","yes",1,"no","male",70,1,9,"yes"
0,2,"nn",4,1,1,5,4,5,1,5,5,1,"yes","yes",1,"no","male",21,3,9,"no"
0,2,"nn",3,3,1,5,4,5,2,4,4,1,"no","no",1,"no","male",21,2,9,"yes"
0,2,"nn",2,1,3,5,4,4,3,2,3,1,"yes","yes",3,"no","female",42,6,9,"no"
0,2,"nn",3,3,4,5,5,4,4,2,1,1,"no","yes",5,"no","male",21,4,3,"yes"
0,2,"nn",3,2,4,5,2,3,4,2,4,2,"yes","yes",2,"no","female",52,3,16,"no"
0,2,"nn",3,4,5,4,5,3,4,2,3,1,"no","no",1,"yes","male",70,6,85,"no"
0,2,"nn",3,2,4,5,3,4,3,2,2,2,"no","yes",1,"no","male",32,3,16,"yes"
0,2,"nn",5,4,4,5,5,3,4,3,4,2,"yes","no",1,"no","male",47,1,16,"no"
0,2,"nn",3,3,4,5,3,2,3,1,4,1,"no","yes",1,"no","male",70,6,9,"yes"
0,2,"nn",5,5,5,5,5,2,5,2,3,1,"yes","yes",1,"no","male",70,2,25,"no"
0,2,"nn",3,2,3,5,5,2,5,1,3,1,"yes","no",1,"no","male",70,4,12,"yes"
0,2,"nn",4,4,4,2,4,4,4,2,5,1,"no","no",1,"no","female",52,1,3,"no"
0,2,"nn",3,3,5,5,4,3,4,1,2,1,"yes","yes",2,"no","male",47,5,60,"yes"
0,2,"nn",2,5,5,5,5,1,5,4,4,1,"yes","no",2,"no","female",21,4,25,"no"
0,2,"nn",4,1,5,5,3,1,3,3,3,1,"no","yes",1,"no","female",47,4,25,"yes"
0,2,"nn",5,3,3,5,5,5,2,3,3,1,"no","yes",1,"no","male",70,6,25,"no"
0,2,"nn",5,4,1,5,5,5,2,5,5,1,"no","yes",2,"no","male",47,2,25,"yes"
0,2,"nn",3,2,4,5,5,3,5,2,3,1,"yes","no",1,"no","female",70,4,3,"no"
0,2,"nn",5,1,1,5,5,5,1,5,5,1,"yes","no",1,"no","female",70,1,9,"yes"
0,2,"nn",1,3,5,5,5,1,5,5,1,1,"no","yes",1,"no","male",70,0,9,"no"
0,2,"nn",4,4,3,5,4,3,5,3,4,1,"yes","no",1,"no","male",27,5,25,"yes"
0,2,"nn",2,4,4,4,4,2,4,2,3,1,"no","yes",3,"no","male",70,6,16,"no"
0,2,"nn",4,5,5,5,5,3,5,2,1,1,"yes","yes",1,"no","male",70,5,9,"yes"
0,2,"nn",5,4,4,4,3,4,5,3,3,1,"yes","yes",1,"no","female",27,6,25,"no"
0,2,"nn",1,3,5,3,4,1,4,1,1,2,"yes","yes",4,"no","male",21,3,9,"yes"
0,2,"nn",4,3,3,5,4,3,3,1,3,1,"no","no",4,"no","male",21,3,16,"no"
0,2,"nn",4,5,5,4,4,4,5,2,4,2,"no","no",4,"no","male",70,6,3,"yes"
0,2,"nn",3,2,5,4,2,2,5,1,3,2,"no","no",2,"no","female",42,6,35,"no"
0,2,"nn",3,3,5,5,4,3,3,1,3,1,"yes","yes",2,"no","female",32,0,60,"yes"
0,2,"nn",4,5,4,5,3,1,4,4,5,1,"no","no",1,"no","male",70,5,9,"no"
0,2,"nn",3,3,4,4,4,1,3,3,4,1,"no","yes",4,"no","male",32,6,35,"yes"
0,2,"nn",4,5,3,5,4,2,4,3,4,1,"yes","yes",1,"no","male",37,3,9,"no"
0,2,"nn",5,5,1,5,5,5,3,5,5,1,"yes","no",1,"no","female",42,3,9,"yes"
0,2,"nn",5,5,5,5,3,3,5,3,1,1,"no","no",1,"no","female",70,1,9,"no"
0,2,"nn",5,3,4,5,5,2,5,3,5,1,"no","yes",1,"no","male",70,4,9,"yes"
0,2,"nn",3,4,4,5,4,2,4,3,3,1,"no","yes",2,"no","male",21,4,16,"no"
0,2,"nn",5,5,5,5,5,5,5,3,1,1,"no","yes",1,"no","female",70,1,9,"yes"
0,2,"nn",5,4,3,4,5,3,4,3,1,1,"no","no",1,"no","male",70,6,12,"no"
0,2,"nn",3,2,5,5,4,2,2,2,3,2,"no","yes",1,"no","female",32,6,35,"yes"
0,2,"nn",4,5,5,5,4,3,3,5,2,1,"no","no",1,"no","male",70,1,12,"no"
0,2,"nn",2,3,2,4,4,2,4,2,4,1,"no","no",1,"no","male",42,3,45,"yes"
0,2,"nn",2,2,3,5,4,4,3,2,4,1,"no","yes",6,"yes","male",21,6,16,"no"
0,2,"nn",5,5,5,5,5,1,5,3,3,2,"yes","no",2,"no","female",47,3,3,"yes"
0,2,"nn",4,5,4,3,3,2,4,3,4,1,"no","yes",7,"no","male",42,3,35,"no"
0,2,"nn",3,5,5,5,5,4,4,1,3,1,"yes","no",1,"no","male",42,5,3,"yes"
0,2,"nn",4,4,3,4,5,3,3,4,3,1,"no","no",2,"no","female",37,2,3,"no"
0,2,"nn",3,2,4,5,5,3,1,2,3,1,"yes","no",3,"no","female",42,6,25,"yes"
0,2,"nn",5,4,3,5,5,3,4,4,5,1,"no","no",1,"no","male",70,2,16,"no"
0,2,"nn",5,3,5,5,5,5,5,4,2,2,"yes","no",3,"no","female",70,3,16,"yes"
0,2,"nn",3,3,5,4,9,3,4,2,2,2,"no","yes",2,"no","male",70,6,25,"no"
0,2,"nn",4,3,5,2,4,4,3,1,2,1,"yes","yes",1,"no","male",47,4,60,"yes"
0,2,"nn",4,4,4,5,4,3,4,3,4,1,"no","no",4,"no","male",42,1,16,"no"
0,2,"nn",5,5,5,5,4,1,5,1,1,2,"no","no",1,"no","male",70,2,9,"yes"
0,2,"nn",5,5,5,5,5,3,5,1,3,1,"no","no",1,"no","female",52,4,3,"no"
0,2,"nn",4,4,4,3,4,2,5,4,3,2,"no","yes",2,"no","male",21,3,27,"yes"
0,2,"nn",4,4,4,4,5,4,5,2,4,2,"no","yes",4,"no","male",32,3,25,"no"
0,2,"nn",5,5,3,5,5,3,5,4,5,1,"yes","yes",2,"no","female",47,6,25,"yes"
0,2,"nn",3,4,4,4,3,2,4,4,4,1,"no","yes",2,"no","female",27,6,3,"no"
0,2,"nn",3,5,4,4,4,1,3,1,1,1,"no","yes",1,"yes","male",70,5,16,"yes"
0,2,"nn",4,5,3,5,5,1,5,1,3,1,"yes","yes",4,"no","female",70,6,9,"no"
0,2,"nn",1,1,5,5,5,5,1,1,5,1,"no","no",4,"no","female",32,6,16,"yes"
0,2,"nn",2,3,4,5,5,1,4,3,5,1,"yes","yes",2,"no","male",32,5,45,"no"
0,2,"nn",1,5,5,5,3,5,5,1,1,1,"yes","no",4,"no","male",47,2,25,"yes"
0,2,"nn",4,5,4,5,5,3,5,3,4,1,"no","yes",2,"no","female",42,3,16,"no"
0,2,"nn",5,1,5,5,3,1,5,1,3,1,"yes","yes",1,"no","male",47,5,35,"yes"
0,2,"nn",4,4,4,4,4,3,4,3,3,1,"no","no",1,"no","male",70,3,9,"no"
0,2,"nn",3,5,5,5,5,4,5,3,2,1,"no","yes",3,"no","female",27,2,16,"yes"
0,2,"nn",2,4,4,4,5,4,5,2,3,1,"no","yes",3,"no","female",27,6,35,"no"
0,2,"nn",3,4,4,2,3,3,4,2,3,2,"no","no",1,"no","male",70,2,35,"yes"
0,2,"nn",3,1,4,4,4,4,3,2,2,1,"no","yes",2,"no","female",47,6,25,"no"
0,2,"nn",2,3,2,1,1,2,3,3,4,1,"no","no",2,"no","female",37,4,3,"yes"
0,2,"nn",3,3,3,5,4,3,3,3,3,2,"no","no",1,"no","female",32,2,27,"no"
0,2,"nn",4,3,4,3,3,5,4,3,3,1,"no","yes",2,"no","female",70,2,3,"yes"
0,2,"nn",5,4,5,5,5,3,4,2,5,1,"no","no",4,"no","female",21,2,9,"no"
0,2,"nn",3,2,4,5,4,2,2,2,2,2,"no","yes",4,"no","female",37,4,45,"yes"
0,2,"nn",3,5,5,5,5,3,5,1,1,1,"yes","yes",1,"no","male",42,2,35,"no"
0,2,"nn",5,5,5,5,5,4,4,3,1,1,"no","yes",1,"no","male",70,4,16,"yes"
0,2,"nn",5,5,5,5,5,5,5,4,5,1,"yes","no",1,"no","male",70,2,16,"no"
0,2,"nn",3,4,4,4,4,3,4,3,4,1,"no","yes",1,"yes","female",47,4,3,"yes"
0,2,"nn",5,5,5,5,5,3,5,2,2,1,"no","yes",4,"no","male",70,6,25,"no"
0,2,"nn",4,3,4,5,4,5,5,2,5,2,"no","yes",1,"no","female",70,2,3,"yes"
0,2,"nn",4,3,4,4,4,3,4,4,2,1,"no","no",2,"no","female",42,3,25,"no"
0,2,"nn",5,5,5,5,5,5,5,1,1,1,"yes","yes",1,"no","male",70,4,12,"yes"
0,2,"nn",4,2,4,5,5,4,3,2,3,1,"yes","yes",1,"no","male",37,5,35,"no"
0,2,"nn",4,5,5,4,5,2,3,1,5,1,"yes","yes",1,"no","female",70,1,8,"yes"
0,2,"nn",3,4,5,5,5,2,5,2,1,1,"yes","no",2,"no","male",21,3,45,"no"
0,2,"nn",5,3,4,5,5,4,5,3,3,1,"yes","no",1,"no","female",70,1,9,"no"
0,2,"nn",3,3,4,5,5,3,3,4,5,1,"no","no",1,"no","male",70,4,16,"no"
