"Ketchup.hid","Ketchup.id","Ketchup.choice","price.heinz","price.hunts","price.delmonte","price.stb"
1,1,"heinz",1.19,1.39,1.49,0.89
1,2,"heinz",0.99,1.36,1.39,0.95
1,3,"hunts",1.46,1.43,1.49,0.99
1,4,"hunts",1.46,1.43,1.45,0.99
1,5,"stb",1.46,1.36,1.39,0.95
2,1,"heinz",0.99,1.36,1.47,0.95
2,2,"heinz",1.19,1.44,1.47,0.95
2,3,"heinz",1.19,1.53,1.47,0.95
3,1,"stb",1.47,1.43,1.45,0.99
4,1,"heinz",0.79,1.43,1.45,0.99
4,2,"heinz",1.19,1.39,1.49,0.99
4,3,"stb",1.19,1.29,1.39,0.95
5,1,"heinz",1.39,1.39,1.49,0.89
6,1,"delmonte",1.39,0.89,1.39,0.95
7,1,"heinz",1.39,0.89,1.39,0.95
8,1,"heinz",0.99,1.49,1.49,0.89
8,2,"heinz",1.19,1.36,1.39,0.95
9,1,"stb",1.39,0.89,1.49,0.89
10,1,"stb",1.39,1.39,1.49,0.89
10,2,"stb",0.99,1.43,1.46,0.79
11,1,"hunts",1.46,1.49,1.49,0.95
11,2,"hunts",1.39,0.89,1.39,0.89
11,3,"hunts",1.39,0.79,1.39,0.95
11,4,"hunts",1.39,1.36,1.39,0.95
12,1,"heinz",0.99,1.53,1.49,0.95
13,1,"heinz",1.19,1.39,1.49,0.89
14,1,"heinz",0.99,1.53,1.47,0.95
14,2,"delmonte",1.46,1.43,0.89,0.99
14,3,"stb",1.19,1.39,1.49,0.89
15,1,"heinz",0.99,1.39,1.49,0.89
16,1,"hunts",0.99,1.29,1.39,0.95
17,1,"hunts",1.19,0.89,1.49,0.89
18,1,"heinz",1.19,1.29,1.39,0.95
19,1,"heinz",1.19,1.49,1.39,0.89
19,2,"hunts",1.46,1.19,1.39,0.79
20,1,"hunts",1.39,0.89,1.39,0.95
20,2,"delmonte",1.39,1.39,1.49,0.99
21,1,"heinz",1.46,1.43,1.45,0.99
22,1,"heinz",1.19,1.36,1.49,0.95
23,1,"heinz",1.19,1.39,1.49,0.89
23,2,"hunts",1.19,1.49,1.39,0.89
24,1,"heinz",0.99,1.39,1.49,0.89
24,2,"heinz",0.99,1.36,1.39,0.95
25,1,"stb",0.99,1.39,1.49,0.89
26,1,"heinz",1.39,1.39,1.49,0.89
26,2,"heinz",1.39,0.79,1.39,0.95
26,3,"heinz",0.99,1.36,1.39,0.95
26,4,"heinz",1.46,1.43,1.46,0.79
27,1,"heinz",1.19,1.39,1.49,0.89
28,1,"hunts",0.99,1.49,1.39,0.89
28,2,"hunts",1.46,1.19,1.49,0.79
29,1,"heinz",1.19,1.36,1.39,0.95
29,2,"hunts",1.46,1.29,1.49,0.95
29,3,"hunts",1.46,1.19,1.46,0.95
29,4,"hunts",1.19,1.53,1.47,0.95
29,5,"stb",1.46,1.43,1.45,0.99
30,1,"stb",1.39,1.39,1.49,0.89
31,1,"heinz",0.99,1.36,1.49,0.95
31,2,"hunts",1.19,1.29,1.39,0.95
31,3,"stb",1.19,1.39,1.49,0.89
32,1,"heinz",0.99,1.36,1.49,0.95
32,2,"heinz",1.19,1.53,1.49,0.95
33,1,"heinz",1.39,0.89,1.39,0.95
33,2,"heinz",1.19,1.36,1.39,0.95
33,3,"heinz",1.39,1.39,1.45,0.79
34,1,"hunts",1.46,1.43,1.45,0.99
34,2,"stb",1.46,1.53,1.45,0.75
35,1,"heinz",1.19,1.29,1.49,0.95
36,1,"stb",1.46,1.43,1.45,0.99
36,2,"stb",1.46,1.43,1.45,0.99
37,1,"heinz",1.39,0.89,1.39,0.89
37,2,"hunts",1.47,1.43,1.49,0.99
38,1,"heinz",1.46,1.19,1.39,0.79
39,1,"heinz",1.19,1.39,1.49,0.89
39,2,"heinz",1.39,1.36,1.49,0.95
39,3,"heinz",1.39,1.36,1.39,0.95
40,1,"heinz",1.39,1.36,1.39,0.95
40,2,"heinz",1.46,1.53,1.49,0.95
40,3,"heinz",0.99,1.53,1.49,0.95
40,4,"hunts",1.46,1.53,1.49,0.95
41,1,"hunts",1.39,0.89,1.39,0.95
42,1,"heinz",0.99,1.36,1.49,0.95
42,2,"heinz",1.19,1.53,1.49,0.95
42,3,"stb",1.46,1.19,1.49,0.79
42,4,"stb",1.46,1.43,1.49,0.75
42,5,"stb",1.46,1.43,1.49,0.75
43,1,"heinz",0.99,1.39,1.49,0.89
43,2,"delmonte",1.39,1.39,1.49,0.89
44,1,"heinz",1.39,1.39,0.99,0.79
45,1,"heinz",1.19,1.19,1.49,0.95
45,2,"heinz",0.99,1.53,1.49,0.95
45,3,"heinz",0.99,1.36,1.39,0.95
45,4,"hunts",1.39,0.79,1.39,0.95
46,1,"heinz",1.19,1.19,1.46,0.95
46,2,"heinz",1.46,1.53,1.46,0.79
46,3,"heinz",0.99,1.36,1.47,0.95
47,1,"delmonte",1.39,1.36,1.39,0.95
48,1,"heinz",1.46,1.19,1.46,0.79
48,2,"heinz",0.99,1.53,1.46,0.95
48,3,"heinz",0.99,1.43,1.46,0.99
48,4,"heinz",0.99,1.49,1.49,0.89
48,5,"heinz",1.39,1.39,1.49,0.89
48,6,"heinz",1.19,1.29,1.39,0.95
48,7,"hunts",1.39,0.79,1.39,0.95
49,1,"heinz",1.19,1.39,1.49,0.89
50,1,"hunts",1.46,1.43,1.49,0.99
50,2,"stb",0.99,1.43,1.45,0.99
51,1,"heinz",1.19,1.36,1.39,0.95
51,2,"heinz",1.47,1.43,1.45,0.99
51,3,"hunts",1.19,1.19,1.46,0.95
51,4,"hunts",1.46,1.53,1.49,0.95
51,5,"delmonte",0.99,1.39,1.49,0.89
52,1,"heinz",1.39,0.89,1.39,0.95
52,2,"heinz",1.19,1.39,1.49,0.89
52,3,"heinz",1.19,1.49,1.49,0.89
53,1,"heinz",1.46,1.43,0.99,0.79
53,2,"hunts",1.46,1.43,0.99,0.79
54,1,"heinz",1.19,1.39,1.49,0.89
54,2,"heinz",1.46,1.53,1.46,0.95
54,3,"hunts",1.19,1.36,1.49,0.95
54,4,"hunts",1.46,1.36,1.49,0.95
54,5,"hunts",1.19,1.49,1.49,0.95
54,6,"hunts",1.19,1.49,1.49,0.95
54,7,"hunts",1.46,1.43,1.46,0.79
54,8,"hunts",1.46,1.43,1.46,0.75
54,9,"delmonte",1.39,1.39,0.99,0.79
55,1,"heinz",0.99,1.36,1.39,0.95
55,2,"heinz",1.19,1.29,1.39,0.95
55,3,"heinz",1.19,1.29,1.39,0.95
55,4,"heinz",0.99,1.19,1.39,0.95
55,5,"hunts",1.46,1.29,1.39,0.95
55,6,"delmonte",1.19,1.36,1.39,0.95
56,1,"heinz",1.19,1.49,1.49,0.95
57,1,"heinz",1.39,1.39,1.49,0.89
58,1,"stb",0.99,1.36,1.49,0.95
58,2,"stb",1.19,1.53,1.49,0.95
59,1,"stb",1.46,1.43,1.46,0.99
60,1,"hunts",1.46,1.49,1.46,0.95
61,1,"stb",1.46,1.43,1.46,0.79
62,1,"heinz",0.99,1.39,1.49,0.89
63,1,"heinz",0.99,1.43,1.46,0.99
63,2,"heinz",0.79,1.43,1.46,0.99
63,3,"heinz",0.99,1.43,1.46,0.99
63,4,"heinz",1.19,1.39,1.49,0.89
63,5,"hunts",1.46,1.29,1.46,0.95
63,6,"stb",1.39,1.36,1.39,0.95
63,7,"stb",1.46,1.43,1.46,0.75
64,1,"heinz",0.99,1.39,1.49,0.89
64,2,"heinz",1.19,0.79,1.49,0.95
64,3,"hunts",0.99,1.19,1.46,0.95
64,4,"hunts",1.19,1.43,1.46,0.75
64,5,"stb",1.46,1.43,1.46,0.79
65,1,"heinz",1.19,1.39,1.49,0.89
66,1,"heinz",1.19,0.79,1.49,0.95
67,1,"stb",1.39,1.39,1.49,0.89
67,2,"stb",1.39,1.39,1.49,0.99
68,1,"heinz",0.99,1.39,1.49,0.89
69,1,"heinz",0.99,1.49,1.49,0.89
69,2,"heinz",1.39,1.39,1.49,0.89
69,3,"heinz",1.19,1.39,1.49,0.99
69,4,"heinz",1.19,1.39,1.49,0.89
69,5,"heinz",1.39,0.89,1.39,0.95
70,1,"heinz",1.39,1.36,1.49,0.95
71,1,"hunts",1.46,1.29,1.39,0.99
72,1,"heinz",1.39,1.36,1.49,0.95
72,2,"hunts",1.39,0.89,1.49,0.95
73,1,"heinz",0.99,1.39,1.49,0.89
73,2,"heinz",0.99,1.36,1.49,0.95
74,1,"heinz",1.46,1.53,1.49,0.95
75,1,"heinz",1.19,1.39,1.49,0.89
75,2,"heinz",1.19,1.53,1.46,0.95
75,3,"heinz",0.79,1.43,1.46,0.99
75,4,"hunts",1.39,0.79,1.39,0.95
75,5,"hunts",1.46,1.53,1.46,0.95
75,6,"hunts",1.46,1.43,1.46,0.99
76,1,"hunts",1.46,1.29,1.46,0.95
77,1,"heinz",0.99,1.39,1.49,0.89
77,2,"heinz",1.19,1.29,1.49,0.95
77,3,"heinz",1.19,0.89,1.49,0.89
77,4,"heinz",0.99,1.49,1.49,0.89
77,5,"heinz",1.39,1.39,1.49,0.89
77,6,"heinz",1.19,1.39,1.49,0.89
77,7,"heinz",0.99,1.39,1.49,0.89
77,8,"heinz",1.39,1.39,1.49,0.89
77,9,"heinz",1.19,1.36,1.39,0.95
77,10,"heinz",1.19,1.36,1.39,0.95
77,11,"heinz",1.19,1.36,1.39,0.95
77,12,"heinz",1.19,1.36,1.39,0.95
77,13,"heinz",1.19,1.36,1.39,0.95
77,14,"heinz",1.19,1.29,1.39,0.95
77,15,"hunts",1.46,1.36,1.39,0.95
77,16,"hunts",1.39,0.79,1.39,0.95
77,17,"hunts",1.19,1.36,1.39,0.95
77,18,"hunts",1.46,1.29,1.49,0.95
78,1,"stb",1.19,1.39,1.49,0.89
78,2,"stb",1.19,1.29,1.46,0.95
79,1,"hunts",1.19,0.89,1.49,0.99
79,2,"stb",1.19,1.39,1.49,0.89
79,3,"stb",1.19,1.19,1.49,0.95
79,4,"stb",1.46,1.53,1.46,0.95
79,5,"stb",1.46,1.43,0.99,0.75
