"cost","output","pl","sl","pk","sk","pf","sf"
0.082,2,2.09,0.3164,183,0.4521,17.9,0.2315
0.661,3,2.05,0.2073,174,0.6676,35.1,0.1251
0.99,4,2.05,0.2349,171,0.5799,35.1,0.1852
0.315,4,1.83,0.1152,166,0.7857,32.2,0.099
0.197,5,2.12,0.23,233,0.3841,28.6,0.3859
0.098,9,2.12,0.1881,195,0.2926,28.6,0.5193
0.949,11,1.98,0.1584,206,0.6093,35.5,0.2323
0.675,13,2.05,0.188,150,0.4952,35.1,0.3169
0.525,13,2.19,0.1852,155,0.3651,29.1,0.4496
0.501,22,1.72,0.1845,188,0.2491,15,0.5664
1.194,25,2.09,0.1994,170,0.5478,17.9,0.2528
0.67,25,1.68,0.1102,167,0.6118,39.7,0.278
0.349,35,1.81,0.1386,213,0.3817,22.6,0.4797
0.423,39,2.3,0.1702,164,0.4137,23.6,0.4161
0.501,43,1.75,0.1143,170,0.3481,42.8,0.5376
0.55,63,1.76,0.0887,161,0.5184,10.3,0.3929
0.795,68,1.98,0.1116,210,0.3054,35.5,0.583
0.664,81,2.29,0.1665,158,0.3859,28.5,0.4476
0.705,84,2.19,0.1484,156,0.363,29.1,0.4883
0.903,73,1.75,0.0821,176,0.291,42.8,0.6269
1.504,99,2.2,0.0906,170,0.3947,36.2,0.5146
1.615,101,1.66,0.108,192,0.3675,33.4,0.5245
1.127,119,1.92,0.198,164,0.4164,22.5,0.3856
0.718,120,1.77,0.1648,175,0.2664,21.3,0.5688
2.414,122,2.09,0.2402,180,0.4949,17.9,0.2649
1.13,130,1.82,0.1171,176,0.2779,38.9,0.6049
0.992,138,1.8,0.1304,202,0.4011,20.2,0.4686
1.554,149,1.92,0.0553,227,0.432,22.5,0.5127
1.225,196,1.92,0.0722,186,0.455,29.1,0.4728
1.565,197,2.19,0.0692,183,0.4151,29.1,0.5157
1.936,209,1.92,0.0801,169,0.4858,22.5,0.434
3.154,214,1.52,0.1722,168,0.4839,27.5,0.3439
2.599,220,1.92,0.15,164,0.4886,22.5,0.3614
3.298,234,2.2,0.1554,164,0.4595,36.2,0.3851
2.441,235,2.11,0.1905,170,0.3797,24.4,0.4298
2.031,253,1.92,0.1608,158,0.1879,22.5,0.6513
4.666,279,2.05,0.1689,177,0.4548,35.1,0.3763
1.834,290,1.66,0.164,195,0.425,33.4,0.411
2.072,290,1.8,0.1156,176,0.4768,20.2,0.4076
2.039,295,1.77,0.1405,188,0.3951,21.3,0.4644
3.398,299,1.7,0.0896,187,0.5786,26.9,0.3318
3.083,324,2.02,0.1509,152,0.0904,35.1,0.7587
2.344,333,2.19,0.1161,157,0.3626,29.1,0.5213
2.382,338,1.85,0.0616,163,0.4799,24.6,0.4585
2.657,353,2.19,0.0809,143,0.2829,29.1,0.6361
1.705,353,2.13,0.088,167,0.6341,10.7,0.278
3.23,416,1.54,0.0839,217,0.3623,26.2,0.5538
5.049,420,1.52,0.1601,144,0.3465,27.5,0.4934
3.814,456,2.09,0.0883,178,0.3349,30,0.5768
4.58,484,1.75,0.1009,176,0.2828,42.8,0.6163
4.358,516,2.3,0.1515,167,0.3981,23.6,0.4504
