"year","fi","sector","geo","patent","rdexp","spil"
1983,1,4,3,18,5.29022016,8.98463018
1983,2,5,3,4,4.31389745,10.4182669
1983,3,2,3,29,3.75894702,9.64568419
1983,4,2,1,45,5.86596086,9.62542741
1983,5,11,4,1,4.20511743,8.70186591
1983,6,5,1,0,6.35499715,10.4031943
1983,7,1,3,1,6.2546556,9.98702114
1983,8,11,3,0,4.47317371,8.69843377
1983,9,3,3,0,4.694598,9.2267205
1983,10,2,3,47,5.4418124,9.63344802
1983,11,4,3,8,5.15521652,8.98776503
1983,12,7,3,31,5.17539604,8.06885466
1983,13,5,3,73,4.96291982,10.4162245
1983,14,3,3,0,3.04810026,9.23536754
1983,15,3,3,0,4.16691526,9.23112183
1983,16,5,3,0,2.86985203,10.4199716
1983,17,12,3,4,3.81261843,8.17107323
1983,18,7,3,3,5.01421312,8.07706558
1983,19,5,3,10,6.83205796,10.3924669
1983,20,14,3,0,3.3383301,9.23467517
1983,21,2,1,343,6.64173593,9.59773806
1983,22,4,3,63,4.75470192,8.99488609
1983,23,2,1,433,6.99571591,9.57539323
1983,24,9,3,21,4.08172041,8.74559798
1983,25,10,3,3,3.41895984,9.02790604
1983,26,15,1,39,5.95278515,9.58322168
1983,27,1,3,32,6.13402761,9.98973747
1983,28,10,3,30,4.37257349,9.02204306
1983,29,9,3,6,3.33450601,8.75054878
1983,30,13,3,7,3.36840756,7.72706385
1983,31,3,2,11,5.32098868,9.21730794
1983,32,10,3,4,5.46619824,9.00286986
1983,33,7,3,14,5.59634273,8.03943788
1983,34,15,3,0,5.97246805,9.58269468
1983,35,6,3,0,4.34645517,7.70560406
1983,36,5,3,2,5.67358189,10.4117812
1983,37,8,3,49,4.56457218,7.51730235
1983,38,6,3,13,3.73099094,7.72145602
1983,39,3,3,1,3.31124915,9.23474862
1983,40,10,3,0,4.18344456,9.02369024
1983,41,15,1,1,6.87408842,9.54230604
1983,42,10,3,0,3.71015685,9.02666642
1983,43,3,3,6,4.51168629,9.22851715
1983,44,10,3,105,5.43009992,9.00390141
1983,45,3,3,20,6.23039678,9.18671836
1983,46,2,3,125,6.27104941,9.61372427
1983,47,9,3,0,3.6726164,8.75498363
1983,48,2,3,195,6.94573453,9.57908181
1983,49,9,3,90,6.68729629,8.61976173
1983,50,10,3,48,4.70827008,9.01821948
1983,51,7,1,19,6.10281844,8.12275966
1983,52,2,1,20,4.37326545,9.64845637
1983,53,5,3,5,4.60517019,10.4175116
1983,54,2,3,25,3.74633651,9.64571898
1983,55,7,3,126,6.61215665,7.87330189
1983,56,15,1,19,5.47364762,9.59326096
1983,57,2,3,34,4.75932087,9.64089996
1983,58,15,3,57,7.82748097,9.42507599
1983,59,3,2,236,6.60381375,9.16289242
1983,60,1,3,0,5.1224267,10.0031122
