"wage76","grade76","exp76","black","south76","smsa76","region","smsa66","momdad14","sinmom14","nodaded","nomomed","daded","momed","famed","age76","col4"
NA,NA,NA,1,NA,0,1,1,0,1,1,0,9.9372,11,9,28,0
1.7011,7,16,1,0,1,1,1,1,0,1,1,9.9372,10.251,9,29,0
1.5707,12,9,0,0,1,1,1,1,0,0,0,8,8,8,27,0
1.9755,12,16,0,0,1,1,1,1,0,0,0,14,12,2,34,0
0.9163,11,10,0,0,1,2,1,1,0,0,0,11,12,6,27,1
1.9865,12,16,0,0,1,2,1,1,0,0,0,8,7,8,34,1
1.6094,12,8,0,0,1,2,1,1,0,0,0,9,12,6,26,1
1.7317,18,9,0,0,1,2,1,1,0,0,0,14,14,1,33,1
1.805,14,9,0,0,1,2,1,1,0,0,0,14,14,1,29,1
1.4469,12,10,0,0,1,2,1,1,0,0,0,12,12,3,28,1
1.639,12,11,0,0,1,2,1,1,0,0,0,12,12,3,29,1
0.8109,9,13,0,0,1,9,1,1,0,0,0,11,12,6,28,1
1.3863,12,8,0,0,1,2,1,1,0,0,0,11,6,8,26,1
1.4279,11,7,0,0,1,2,1,1,0,0,0,11,6,8,24,1
0.7747,11,13,0,0,1,2,1,1,0,0,0,11,6,8,30,1
2.1905,16,9,1,0,1,2,1,0,1,1,0,9.9372,8,9,31,1
1.0986,14,4,0,0,1,2,1,1,0,0,0,15,12,2,24,1
NA,11,17,0,0,1,2,1,1,0,0,0,7,12,6,34,1
1.2413,12,16,0,0,1,2,1,1,0,0,0,12,8,5,34,1
1.884,14,9,0,0,1,2,1,0,1,1,0,9.9372,12,4,29,1
NA,NA,NA,0,NA,0,2,1,1,0,0,0,9,12,6,34,1
1.7492,10,10,0,0,1,2,1,1,0,0,0,8,8,8,26,1
1.4702,NA,NA,0,0,1,2,1,1,0,0,1,6,10.251,9,32,1
NA,10,11,0,0,1,2,1,1,0,1,0,9.9372,8,9,27,1
1.8703,12,14,0,0,1,2,1,1,0,0,0,8,8,8,32,1
2.245,18,8,0,1,1,1,1,1,0,0,0,12,13,2,32,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,18,16,1,29,1
NA,NA,NA,0,NA,0,1,1,1,0,0,0,11,17,6,27,1
1.8148,18,10,0,0,1,1,1,1,0,1,0,9.9372,8,9,34,1
1.9824,15,11,0,0,0,1,1,1,0,0,0,5,14,6,32,1
