"smsa66","smsa76","nearc2","nearc4","nearc4a","nearc4b","ed76","ed66","age76","daded","nodaded","momed","nomomed","momdad14","sinmom14","step14","south66","south76","lwage76","famed","black","wage76","enroll76","kww","iqscore","mar76","libcrd14","exp76"
"yes","yes","no","no","no","no",7,5,29,9.94,"yes",10.25,"yes","yes","no","no","no","no",6.306275,9,"yes",548,"no",15,NA,"yes","no",16
"yes","yes","no","no","no","no",12,11,27,8,"no",8,"no","yes","no","no","no","no",6.175867,8,"no",481,"no",35,93,"yes","yes",9
"yes","yes","no","no","no","no",12,12,34,14,"no",12,"no","yes","no","no","no","no",6.580639,2,"no",721,"no",42,103,"yes","yes",16
"yes","yes","yes","yes","yes","no",11,11,27,11,"no",12,"no","yes","no","no","no","no",5.521461,6,"no",250,"no",25,88,"yes","yes",10
"yes","yes","yes","yes","yes","no",12,12,34,8,"no",7,"no","yes","no","no","no","no",6.591674,8,"no",729,"no",34,108,"yes","no",16
"yes","yes","yes","yes","yes","no",12,11,26,9,"no",12,"no","yes","no","no","no","no",6.214608,6,"no",500,"no",38,85,"yes","yes",8
"yes","yes","yes","yes","yes","no",18,16,33,14,"no",14,"no","yes","no","no","no","no",6.336826,1,"no",565,"no",41,119,"yes","yes",9
"yes","yes","yes","yes","yes","no",14,13,29,14,"no",14,"no","yes","no","no","no","no",6.410175,1,"no",608,"no",46,108,"yes","yes",9
"yes","yes","yes","yes","yes","no",12,12,28,12,"no",12,"no","yes","no","no","no","no",6.052089,3,"no",425,"no",32,96,"4","no",10
"yes","yes","yes","yes","yes","no",12,12,29,12,"no",12,"no","yes","no","no","no","no",6.244167,3,"no",515,"no",34,97,"yes","yes",11
"yes","yes","yes","yes","no","yes",9,9,28,11,"no",12,"no","yes","no","no","no","no",5.416101,6,"no",225,"no",29,84,"yes","no",13
"yes","yes","yes","yes","no","yes",12,10,26,11,"no",6,"no","yes","no","no","no","no",5.991465,8,"no",400,"no",34,89,"yes","yes",8
