"tmathssk","treadssk","classk","totexpk","sex","freelunk","race","schidkn"
473,447,"small.class",7,"girl","no","white",63
536,450,"small.class",21,"girl","no","black",20
463,439,"regular.with.aide",0,"boy","yes","black",19
559,448,"regular",16,"boy","no","white",69
489,447,"small.class",5,"boy","yes","white",79
454,431,"regular",8,"boy","yes","white",5
423,395,"regular.with.aide",17,"girl","yes","black",16
500,451,"regular",3,"girl","no","white",56
439,478,"small.class",11,"girl","no","black",11
528,455,"small.class",10,"girl","no","white",66
473,430,"regular",13,"boy","no","white",38
468,437,"regular.with.aide",6,"boy","no","white",69
559,474,"small.class",0,"boy","no","white",43
494,424,"small.class",6,"boy","no","white",71
528,490,"regular.with.aide",18,"boy","no","white",52
484,439,"regular",13,"boy","no","white",54
459,424,"regular.with.aide",12,"girl","yes","white",12
528,437,"regular",1,"girl","yes","black",21
478,422,"small.class",8,"girl","no","white",76
559,424,"regular",13,"boy","yes","white",79
454,431,"regular",13,"boy","no","white",8
473,451,"regular.with.aide",3,"boy","no","white",66
602,456,"small.class",14,"boy","yes","white",59
459,421,"regular.with.aide",11,"girl","yes","black",31
576,463,"regular.with.aide",10,"boy","yes","black",27
520,425,"regular.with.aide",8,"girl","no","black",17
559,522,"regular",8,"girl","no","white",9
459,413,"regular.with.aide",5,"girl","no","white",39
513,416,"regular",13,"boy","no","white",55
423,419,"regular",0,"girl","yes","black",27
494,431,"regular.with.aide",3,"girl","no","white",58
439,418,"small.class",8,"boy","no","white",49
434,422,"regular",15,"girl","yes","black",7
434,414,"small.class",8,"girl","yes","black",5
454,433,"regular.with.aide",11,"boy","yes","black",37
484,450,"regular",10,"girl","no","white",70
559,458,"small.class",4,"girl","yes","white",40
459,445,"small.class",7,"girl","no","white",9
506,439,"small.class",17,"boy","no","white",48
576,476,"small.class",12,"boy","no","white",10
484,467,"regular",4,"girl","no","white",80
434,416,"regular.with.aide",10,"girl","yes","black",28
528,480,"small.class",0,"boy","no","white",43
478,437,"regular.with.aide",16,"girl","no","white",41
602,465,"small.class",18,"boy","no","white",41
439,407,"small.class",4,"girl","yes","white",40
547,487,"regular",12,"girl","no","black",27
489,425,"regular.with.aide",8,"boy","no","white",61
500,447,"small.class",14,"girl","no","white",21
468,430,"small.class",13,"girl","no","white",8
547,480,"small.class",14,"girl","no","white",21
513,440,"regular",5,"girl","no","white",47
405,410,"regular.with.aide",13,"boy","no","black",11
506,413,"small.class",5,"girl","no","white",35
513,422,"regular",1,"girl","yes","black",21
559,442,"small.class",5,"girl","no","black",24
547,461,"regular.with.aide",10,"girl","yes","black",27
454,421,"regular.with.aide",22,"boy","yes","black",33
494,410,"small.class",2,"girl","yes","black",19
626,465,"small.class",2,"girl","no","black",30
500,436,"regular",11,"boy","no","white",49
449,398,"regular.with.aide",5,"boy","yes","white",39
528,442,"regular.with.aide",8,"girl","no","white",61
500,461,"regular.with.aide",11,"boy","no","white",9
506,436,"regular",13,"boy","yes","white",50
473,428,"small.class",5,"boy","no","white",17
444,411,"regular",0,"boy","yes","black",31
459,436,"regular.with.aide",5,"boy","no","white",39
463,436,"small.class",4,"girl","no","white",46
559,428,"regular.with.aide",12,"boy","no","white",12
536,472,"regular",5,"boy","no","white",1
473,434,"regular.with.aide",11,"boy","yes","black",45
500,443,"small.class",8,"boy","no","white",78
520,424,"small.class",2,"boy","yes","white",39
473,418,"regular.with.aide",22,"boy","yes","black",33
500,428,"regular",11,"boy","yes","black",22
468,440,"small.class",14,"boy","yes","black",32
513,436,"regular.with.aide",7,"boy","no","white",4
506,433,"small.class",13,"boy","no","black",14
473,448,"regular.with.aide",8,"boy","no","white",17
506,474,"small.class",3,"boy","yes","black",44
484,414,"regular",15,"boy","yes","black",7
468,411,"small.class",20,"girl","no","white",71
468,422,"small.class",11,"girl","no","black",23
412,395,"small.class",20,"girl","no","white",71
459,407,"regular",6,"girl","yes","black",24
506,472,"regular",11,"girl","no","white",64
463,402,"small.class",12,"girl","yes","white",2
500,428,"regular",6,"girl","no","white",71
463,413,"regular",12,"boy","no","white",8
468,443,"regular",18,"boy","yes","white",25
434,418,"regular.with.aide",14,"boy","yes","white",9
418,403,"small.class",2,"boy","yes","white",73
484,442,"small.class",11,"girl","yes","white",61
528,443,"small.class",1,"girl","yes","black",16
494,410,"regular.with.aide",17,"boy","no","black",2
439,403,"regular.with.aide",0,"girl","yes","black",19
489,433,"small.class",17,"boy","yes","white",48
528,422,"regular",0,"boy","no","white",67
536,434,"regular.with.aide",27,"boy","no","white",70
468,433,"small.class",13,"girl","yes","black",24
559,440,"small.class",17,"girl","no","white",48
559,461,"regular",20,"boy","no","white",64
459,413,"regular.with.aide",17,"girl","no","white",43
559,445,"small.class",4,"boy","yes","white",13
536,507,"regular.with.aide",3,"boy","no","white",42
576,490,"small.class",15,"girl","no","white",66
536,451,"regular",6,"girl","no","white",13
536,474,"regular",10,"girl","no","white",1
429,414,"regular.with.aide",22,"boy","yes","black",33
423,400,"small.class",4,"boy","no","white",7
489,468,"regular",16,"girl","no","white",69
399,386,"regular",8,"boy","no","white",5
478,424,"regular",6,"boy","yes","black",19
473,430,"regular.with.aide",8,"girl","yes","white",57
520,453,"regular",15,"girl","yes","white",7
528,456,"regular",10,"boy","no","black",30
576,451,"small.class",15,"boy","no","white",65
484,440,"small.class",8,"girl","no","white",57
459,445,"small.class",10,"girl","yes","white",3
468,445,"regular.with.aide",14,"girl","no","white",36
468,402,"regular.with.aide",9,"girl","yes","white",3
484,414,"regular.with.aide",12,"girl","no","white",79
