"occupation","region","nkids","nkids2","nadults","lnx","stobacco","salcohol","age"
"bluecol","flanders",1,0,2,14.19054,0,0,2
"inactself","flanders",0,0,3,13.90857,0,0.0022851,3
"whitecol","flanders",0,0,1,13.97461,0,0.0128755,2
"bluecol","flanders",1,0,2,13.76281,0,0.0059072,2
"inactself","flanders",2,0,1,13.808,0,0.0219805,2
"whitecol","flanders",3,0,2,14.00313,0,0.0166913,2
"inactself","flanders",0,0,2,13.8868,0.0152529,0.0692584,4
"bluecol","flanders",1,0,2,14.00711,0,0.0269092,0
"whitecol","flanders",0,0,2,14.33985,0,0,1
"inactself","flanders",0,0,2,13.99883,0.0147445,0.0313846,4
"inactself","flanders",0,0,1,13.65106,0,0.0016691,4
"whitecol","flanders",0,0,1,12.99424,0,0.0021825,0
"inactself","flanders",0,0,1,12.65393,0.0820474,0.042864,4
"inactself","flanders",0,0,1,13.48089,0,0.0023309,4
"whitecol","flanders",1,0,2,13.51815,0.0217455,0.0332322,1
"inactself","flanders",0,0,2,13.88332,0,0.0147605,4
"whitecol","flanders",0,0,1,13.31105,0,0.0110461,0
"whitecol","flanders",0,0,4,14.04829,0.0424925,0.0026242,2
"inactself","flanders",0,0,2,13.21759,0,0,3
"inactself","flanders",0,0,1,13.84949,0,0.0211849,4
"inactself","flanders",0,0,2,13.38295,0,0.0069539,4
"inactself","flanders",0,0,2,13.74496,0.0169979,0.0068635,4
"whitecol","flanders",0,0,2,13.88419,0.0036971,0.0211409,2
"inactself","flanders",0,0,1,12.86411,0,0,4
"inactself","flanders",0,0,1,13.00184,0,0.1215086,4
"whitecol","flanders",1,0,2,14.66257,0,0.0033179,1
"inactself","flanders",2,0,2,14.3559,0.0251648,0.0197125,1
"inactself","flanders",0,0,3,13.70312,0.0030883,0.0350343,4
"inactself","flanders",0,0,2,13.98506,0.0181774,0.0051656,4
"whitecol","flanders",0,0,1,13.48436,0.0180476,0.0351219,3
"bluecol","flanders",0,0,4,14.04489,0.0010017,0.0283555,2
"inactself","flanders",0,0,1,12.53309,0.0471579,0.0196852,4
"whitecol","flanders",0,0,2,14.07038,0.0589729,0.0307854,3
"inactself","flanders",0,0,2,13.74966,0,0.0059854,4
"whitecol","flanders",4,0,2,14.11351,0.0042757,0.0142611,2
"bluecol","flanders",0,0,1,12.44436,0,0.0127179,3
"inactself","flanders",0,0,2,12.97745,0,0,4
"whitecol","flanders",3,0,3,13.7366,0.0202311,0.0082197,3
