"Tuna.hid","Tuna.id","Tuna.choice","price.skw","price.cosw","price.sko","price.coso","price.pw"
1,1,"skw",0.59,0.59,0.59,0.59,0.59
1,2,"skw",0.69,0.84,0.69,0.89,0.59
1,3,"skw",0.69,0.89,0.69,0.89,0.59
1,4,"skw",0.49,0.39,0.89,0.39,0.67
1,5,"cosw",0.87,0.59,0.87,0.59,0.59
1,6,"cosw",0.89,0.89,0.89,0.45,0.67
2,1,"skw",0.69,0.84,0.69,0.89,0.59
2,2,"skw",0.69,0.89,0.89,0.89,0.59
2,3,"cosw",0.89,0.49,0.89,0.49,0.67
2,4,"cosw",0.89,0.59,0.89,0.49,0.67
2,5,"coso",0.69,0.69,0.69,0.39,0.65
2,6,"pw",0.89,0.89,0.89,0.89,0.59
3,1,"skw",0.69,0.89,0.89,0.89,0.59
3,2,"skw",0.29,0.39,0.89,0.39,0.67
3,3,"sko",0.89,0.89,0.59,0.89,0.59
3,4,"sko",0.89,0.79,0.49,0.79,0.67
3,5,"coso",0.69,0.69,0.69,0.39,0.65
4,1,"skw",0.49,0.79,0.49,0.89,0.67
4,2,"skw",0.59,0.79,0.49,0.89,0.67
4,3,"skw",0.37,0.87,0.37,0.87,0.67
4,4,"skw",0.29,0.87,0.29,0.87,0.65
4,5,"skw",0.29,0.69,0.29,0.69,0.17
4,6,"cosw",0.69,0.59,0.59,0.59,0.59
4,7,"cosw",0.87,0.59,0.87,0.59,0.59
4,8,"cosw",0.89,0.39,0.89,0.39,0.67
4,9,"cosw",0.89,0.39,0.89,0.39,0.67
4,10,"coso",0.81,0.69,0.81,0.19,0.65
5,1,"skw",0.49,0.49,0.89,0.49,0.67
5,2,"coso",0.67,0.67,0.67,0.39,0.65
5,3,"coso",0.69,0.87,0.69,0.29,0.65
5,4,"pw",0.69,0.84,0.69,0.84,0.59
6,1,"skw",0.87,0.87,0.39,0.87,0.67
6,2,"sko",0.81,0.69,0.82,0.69,0.65
7,1,"sko",0.37,0.87,0.37,0.87,0.67
7,2,"sko",0.39,0.87,0.39,0.87,0.67
8,1,"cosw",0.69,0.89,0.69,0.89,0.67
8,2,"cosw",0.89,0.89,0.89,0.59,0.67
8,3,"coso",0.89,0.89,0.89,0.89,0.67
8,4,"coso",0.69,0.87,0.69,0.87,0.69
8,5,"coso",0.67,0.67,0.67,0.39,0.65
8,6,"coso",0.69,0.69,0.69,0.5,0.65
9,1,"skw",0.89,0.89,0.89,0.89,0.59
9,2,"skw",0.89,0.89,0.89,0.89,0.59
9,3,"skw",0.69,0.84,0.87,0.84,0.59
9,4,"skw",0.79,0.84,0.79,0.89,0.59
9,5,"skw",0.69,0.84,0.69,0.89,0.59
9,6,"skw",0.69,0.84,0.69,0.89,0.59
9,7,"skw",0.89,0.89,0.59,0.89,0.59
9,8,"skw",0.89,0.89,0.29,0.89,0.67
9,9,"skw",0.89,0.89,0.69,0.89,0.67
9,10,"skw",0.89,0.79,0.89,0.79,0.67
9,11,"skw",0.89,0.79,0.89,0.59,0.67
9,12,"skw",0.87,0.99,0.89,0.59,0.67
9,13,"skw",0.89,0.89,0.49,0.89,0.67
9,14,"skw",0.87,0.59,0.69,0.59,0.67
9,15,"skw",0.82,0.39,0.69,0.39,0.65
9,16,"cosw",0.69,0.69,0.69,0.69,0.65
9,17,"cosw",0.82,0.5,0.69,0.69,0.65
9,18,"coso",0.67,0.67,0.67,0.39,0.65
10,1,"skw",0.87,0.84,0.87,0.84,0.59
10,2,"sko",0.89,0.39,0.49,0.39,0.67
11,1,"sko",0.89,0.79,0.49,0.89,0.67
11,2,"sko",0.33,0.69,0.33,0.69,0.65
12,1,"cosw",0.87,0.59,0.87,0.59,0.59
13,1,"skw",0.69,0.89,0.69,0.89,0.7
14,1,"cosw",0.69,0.59,0.59,0.59,0.59
14,2,"pw",0.69,0.89,0.69,0.89,0.59
15,1,"skw",0.49,0.79,0.89,0.79,0.67
15,2,"coso",0.69,0.69,0.69,0.39,0.65
16,1,"skw",0.69,0.84,0.69,0.84,0.59
16,2,"skw",0.49,0.79,0.89,0.79,0.67
16,3,"skw",0.59,0.79,0.49,0.89,0.67
16,4,"cosw",0.69,0.5,0.69,0.69,0.65
17,1,"sko",0.89,0.79,0.49,0.89,0.67
18,1,"cosw",0.87,0.59,0.87,0.89,0.59
18,2,"cosw",0.87,0.59,0.87,0.59,0.59
18,3,"cosw",0.69,0.89,0.89,0.89,0.59
19,1,"sko",0.69,0.89,0.69,0.89,0.59
20,1,"sko",0.87,0.84,0.69,0.84,0.59
20,2,"sko",0.69,0.84,0.69,0.84,0.59
20,3,"coso",0.67,0.67,0.67,0.39,0.65
20,4,"pw",0.69,0.89,0.69,0.89,0.59
21,1,"skw",0.69,0.89,0.69,0.89,0.59
21,2,"skw",0.69,0.89,0.69,0.89,0.7
21,3,"skw",0.87,0.59,0.87,0.59,0.59
21,4,"skw",0.87,0.59,0.87,0.59,0.59
21,5,"skw",0.69,0.84,0.69,0.84,0.59
21,6,"skw",0.84,0.84,0.84,0.84,0.59
21,7,"skw",0.69,0.89,0.69,0.89,0.59
21,8,"skw",0.69,0.68,0.69,0.68,0.59
21,9,"skw",0.89,0.79,0.89,0.79,0.67
21,10,"skw",0.49,0.39,0.89,0.39,0.67
21,11,"skw",0.49,0.79,0.69,0.89,0.67
21,12,"skw",0.49,0.49,0.89,0.49,0.67
21,13,"skw",0.87,0.87,0.39,0.87,0.67
22,1,"skw",0.69,0.84,0.69,0.89,0.59
22,2,"coso",0.82,0.69,0.82,0.29,0.65
23,1,"skw",0.49,0.89,0.89,0.45,0.67
23,2,"cosw",0.89,0.89,0.89,0.89,0.59
23,3,"cosw",0.69,0.89,0.69,0.89,0.67
23,4,"coso",0.69,0.69,0.69,0.39,0.65
24,1,"sko",0.89,0.39,0.49,0.39,0.67
24,2,"coso",0.67,0.67,0.67,0.39,0.65
24,3,"coso",0.67,0.67,0.67,0.39,0.65
24,4,"pw",0.69,0.87,0.69,0.87,0.67
25,1,"cosw",0.87,0.59,0.87,0.89,0.59
26,1,"sko",0.87,0.84,0.69,0.84,0.59
26,2,"coso",0.87,0.59,0.87,0.69,0.59
26,3,"coso",0.59,0.89,0.59,0.89,0.59
26,4,"coso",0.89,0.69,0.69,0.87,0.67
26,5,"coso",0.69,0.87,0.69,0.87,0.67
26,6,"coso",0.69,0.69,0.69,0.39,0.65
26,7,"coso",0.69,0.87,0.69,0.29,0.65
27,1,"skw",0.69,0.89,0.69,0.89,0.59
27,2,"skw",0.69,0.89,0.69,0.89,0.7
27,3,"skw",0.69,0.84,0.69,0.84,0.59
27,4,"skw",0.69,0.89,0.69,0.89,0.59
27,5,"skw",0.69,0.68,0.69,0.68,0.59
27,6,"skw",0.49,0.89,0.89,0.45,0.67
27,7,"cosw",0.69,0.5,0.69,0.69,0.65
27,8,"coso",0.67,0.67,0.67,0.39,0.65
27,9,"coso",0.69,0.69,0.69,0.39,0.65
27,10,"coso",0.69,0.87,0.69,0.29,0.65
28,1,"cosw",0.33,0.69,0.33,0.69,0.65
28,2,"cosw",0.81,0.69,0.82,0.69,0.65
28,3,"sko",0.89,0.79,0.89,0.89,0.67
28,4,"sko",0.69,0.87,0.69,0.87,0.67
28,5,"sko",0.69,0.69,0.69,0.69,0.65
28,6,"sko",0.69,0.87,0.69,0.87,0.65
28,7,"sko",0.29,0.69,0.29,0.69,0.17
28,8,"coso",0.89,0.69,0.69,0.69,0.67
28,9,"coso",0.33,0.69,0.33,0.69,0.65
28,10,"coso",0.88,0.69,0.82,0.69,0.65
29,1,"skw",0.29,0.89,0.29,0.89,0.67
29,2,"cosw",0.87,0.59,0.87,0.59,0.59
29,3,"cosw",0.89,0.39,0.89,0.39,0.67
30,1,"skw",0.69,0.89,0.69,0.89,0.59
30,2,"skw",0.69,0.84,0.69,0.84,0.59
30,3,"skw",0.69,0.84,0.69,0.84,0.59
30,4,"skw",0.69,0.84,0.69,0.89,0.59
30,5,"skw",0.69,0.68,0.69,0.68,0.59
30,6,"skw",0.59,0.89,0.89,0.89,0.59
30,7,"skw",0.29,0.39,0.89,0.39,0.67
30,8,"skw",0.49,0.49,0.89,0.49,0.67
30,9,"skw",0.59,0.89,0.89,0.89,0.67
30,10,"skw",0.37,0.87,0.37,0.87,0.67
30,11,"skw",0.67,0.67,0.67,0.69,0.65
30,12,"cosw",0.69,0.59,0.59,0.59,0.59
30,13,"cosw",0.89,0.79,0.89,0.79,0.67
30,14,"coso",0.69,0.87,0.69,0.29,0.65
30,15,"coso",0.69,0.87,0.69,0.29,0.65
31,1,"skw",0.59,0.79,0.49,0.89,0.67
31,2,"skw",0.29,0.69,0.29,0.69,0.17
31,3,"skw",0.88,0.69,0.82,0.69,0.65
31,4,"skw",0.81,0.69,0.81,0.19,0.65
31,5,"skw",0.82,0.69,0.82,0.69,0.65
31,6,"cosw",0.69,0.69,0.69,0.69,0.65
31,7,"cosw",0.81,0.69,0.82,0.69,0.65
32,1,"skw",0.69,0.89,0.69,0.89,0.59
33,1,"skw",0.29,0.39,0.89,0.39,0.67
34,1,"skw",0.59,0.89,0.49,0.79,0.67
34,2,"skw",0.39,0.87,0.39,0.87,0.69
35,1,"skw",0.69,0.84,0.69,0.84,0.59
35,2,"skw",0.49,0.89,0.89,0.45,0.67
35,3,"skw",0.29,0.39,0.89,0.39,0.67
35,4,"skw",0.49,0.49,0.89,0.49,0.67
35,5,"skw",0.49,0.49,0.89,0.49,0.67
35,6,"cosw",0.87,0.59,0.87,0.59,0.59
35,7,"cosw",0.87,0.59,0.87,0.59,0.59
35,8,"sko",0.79,0.84,0.79,0.89,0.59
35,9,"sko",0.69,0.89,0.69,0.89,0.59
35,10,"sko",0.69,0.89,0.69,0.89,0.59
35,11,"sko",0.89,0.89,0.59,0.89,0.59
35,12,"sko",0.69,0.87,0.87,0.87,0.67
35,13,"sko",0.39,0.87,0.87,0.87,0.67
35,14,"coso",0.87,0.59,0.87,0.59,0.59
35,15,"coso",0.87,0.59,0.87,0.59,0.59
35,16,"coso",0.84,0.84,0.84,0.84,0.59
35,17,"coso",0.69,0.89,0.69,0.89,0.67
35,18,"coso",0.67,0.67,0.67,0.39,0.65
35,19,"coso",0.69,0.69,0.69,0.39,0.65
35,20,"coso",0.69,0.69,0.69,0.39,0.65
35,21,"coso",0.69,0.69,0.69,0.5,0.65
36,1,"coso",0.82,0.69,0.82,0.29,0.65
36,2,"pw",0.29,0.69,0.29,0.69,0.17
37,1,"cosw",0.69,0.81,0.69,0.87,0.65
37,2,"coso",0.69,0.87,0.69,0.29,0.65
38,1,"skw",0.49,0.79,0.89,0.79,0.67
38,2,"skw",0.39,0.87,0.39,0.87,0.67
39,1,"cosw",0.69,0.5,0.69,0.69,0.65
40,1,"skw",0.49,0.79,0.89,0.89,0.67
40,2,"cosw",0.82,0.88,0.82,0.69,0.65
40,3,"sko",0.89,0.39,0.49,0.39,0.67
40,4,"pw",0.69,0.87,0.69,0.87,0.67
41,1,"skw",0.69,0.84,0.69,0.84,0.59
41,2,"cosw",0.69,0.59,0.59,0.59,0.59
42,1,"skw",0.49,0.49,0.89,0.49,0.67
42,2,"sko",0.69,0.84,0.69,0.84,0.59
42,3,"coso",0.89,0.79,0.89,0.89,0.67
42,4,"coso",0.69,0.69,0.69,0.5,0.65
43,1,"skw",0.89,0.89,0.89,0.89,0.59
43,2,"skw",0.87,0.87,0.69,0.87,0.67
43,3,"coso",0.87,0.59,0.87,0.59,0.59
44,1,"cosw",0.69,0.59,0.59,0.59,0.59
44,2,"cosw",0.59,0.59,0.59,0.59,0.59
44,3,"cosw",0.69,0.84,0.69,0.84,0.59
44,4,"cosw",0.69,0.89,0.69,0.89,0.67
44,5,"coso",0.79,0.84,0.79,0.84,0.59
44,6,"coso",0.89,0.89,0.89,0.89,0.59
44,7,"coso",0.59,0.89,0.59,0.89,0.59
45,1,"skw",0.59,0.89,0.89,0.89,0.59
45,2,"skw",0.82,0.87,0.39,0.87,0.69
46,1,"skw",0.69,0.84,0.69,0.84,0.59
47,1,"skw",0.8,0.79,0.69,0.89,0.67
47,2,"cosw",0.89,0.89,0.89,0.89,0.67
47,3,"cosw",0.69,0.5,0.69,0.69,0.65
48,1,"sko",0.69,0.69,0.69,0.69,0.67
49,1,"skw",0.79,0.84,0.79,0.84,0.59
50,1,"skw",0.69,0.84,0.69,0.84,0.59
51,1,"coso",0.69,0.69,0.69,0.39,0.65
51,2,"coso",0.69,0.69,0.69,0.39,0.65
51,3,"coso",0.69,0.87,0.69,0.29,0.65
51,4,"pw",0.69,0.84,0.69,0.89,0.59
52,1,"skw",0.69,0.84,0.69,0.89,0.59
53,1,"cosw",0.87,0.59,0.89,0.89,0.59
53,2,"pw",0.79,0.84,0.79,0.89,0.59
54,1,"skw",0.69,0.84,0.69,0.84,0.59
55,1,"sko",0.89,0.89,0.89,0.89,0.59
55,2,"sko",0.69,0.84,0.69,0.84,0.59
55,3,"sko",0.84,0.84,0.84,0.84,0.59
55,4,"sko",0.84,0.84,0.84,0.89,0.59
55,5,"sko",0.84,0.84,0.84,0.89,0.59
55,6,"sko",0.79,0.84,0.79,0.89,0.59
55,7,"sko",0.69,0.84,0.69,0.89,0.59
55,8,"sko",0.69,0.68,0.69,0.68,0.59
55,9,"sko",0.89,0.89,0.59,0.89,0.59
55,10,"sko",0.69,0.69,0.88,0.69,0.65
56,1,"sko",0.89,0.89,0.59,0.89,0.59
57,1,"coso",0.67,0.67,0.67,0.39,0.65
58,1,"skw",0.69,0.84,0.69,0.84,0.59
58,2,"sko",0.69,0.84,0.69,0.84,0.59
58,3,"coso",0.87,0.59,0.87,0.59,0.59
59,1,"skw",0.69,0.89,0.69,0.89,0.67
59,2,"skw",0.29,0.39,0.89,0.39,0.67
59,3,"sko",0.69,0.69,0.69,0.69,0.65
60,1,"skw",0.69,0.84,0.69,0.84,0.59
60,2,"skw",0.79,0.84,0.79,0.89,0.59
60,3,"skw",0.49,0.49,0.89,0.49,0.67
60,4,"skw",0.87,0.69,0.69,0.69,0.67
60,5,"cosw",0.87,0.59,0.87,0.59,0.59
60,6,"coso",0.67,0.67,0.67,0.39,0.65
60,7,"coso",0.69,0.69,0.69,0.39,0.65
60,8,"pw",0.87,0.84,0.87,0.84,0.59
60,9,"pw",0.69,0.84,0.69,0.84,0.59
61,1,"skw",0.69,0.84,0.87,0.84,0.59
61,2,"cosw",0.87,0.59,0.87,0.89,0.59
61,3,"cosw",0.87,0.59,0.87,0.59,0.59
61,4,"sko",0.69,0.89,0.69,0.89,0.59
62,1,"skw",0.69,0.79,0.69,0.79,0.67
63,1,"skw",0.69,0.84,0.79,0.89,0.59
63,2,"cosw",0.89,0.59,0.89,0.39,0.67
63,3,"cosw",0.89,0.79,0.89,0.79,0.67
63,4,"cosw",0.69,0.69,0.69,0.69,0.67
64,1,"skw",0.69,0.89,0.89,0.89,0.59
65,1,"pw",0.79,0.84,0.79,0.84,0.59
65,2,"pw",0.49,0.89,0.49,0.89,0.67
66,1,"skw",0.69,0.65,0.69,0.65,0.65
66,2,"coso",0.67,0.67,0.67,0.39,0.65
67,1,"skw",0.89,0.89,0.49,0.89,0.67
67,2,"skw",0.87,0.87,0.69,0.87,0.65
67,3,"sko",0.89,0.89,0.49,0.45,0.67
67,4,"sko",0.69,0.69,0.59,0.69,0.67
68,1,"skw",0.87,0.84,0.87,0.84,0.59
69,1,"skw",0.69,0.84,0.69,0.89,0.59
70,1,"cosw",0.69,0.5,0.69,0.69,0.65
70,2,"coso",0.67,0.67,0.67,0.39,0.65
70,3,"coso",0.69,0.87,0.69,0.29,0.65
71,1,"skw",0.49,0.89,0.49,0.89,0.67
71,2,"skw",0.59,0.79,0.49,0.89,0.67
71,3,"skw",0.39,0.79,0.49,0.89,0.67
71,4,"skw",0.37,0.87,0.37,0.87,0.67
71,5,"skw",0.29,0.69,0.29,0.69,0.17
71,6,"cosw",0.87,0.59,0.87,0.59,0.59
71,7,"cosw",0.87,0.59,0.87,0.59,0.59
71,8,"cosw",0.89,0.69,0.69,0.69,0.67
71,9,"cosw",0.69,0.39,0.69,0.39,0.65
71,10,"cosw",0.69,0.39,0.69,0.39,0.65
72,1,"skw",0.69,0.89,0.69,0.89,0.59
72,2,"skw",0.69,0.84,0.69,0.89,0.59
72,3,"coso",0.69,0.69,0.69,0.39,0.65
73,1,"skw",0.49,0.79,0.89,0.79,0.67
