"unit","width"
"metres",8
"metres",9
"metres",10
"metres",10
"metres",10
"metres",10
"metres",10
"metres",10
"metres",11
"metres",11
"metres",11
"metres",11
"metres",12
"metres",12
"metres",13
"metres",13
"metres",13
"metres",14
"metres",14
"metres",14
"metres",15
"metres",15
"metres",15
"metres",15
"metres",15
"metres",15
"metres",15
"metres",15
"metres",16
"metres",16
"metres",16
"metres",17
"metres",17
"metres",17
"metres",17
"metres",18
"metres",18
"metres",20
"metres",22
"metres",25
"metres",27
"metres",35
"metres",38
"metres",40
"feet",24
"feet",25
"feet",27
"feet",30
"feet",30
"feet",30
"feet",30
"feet",30
"feet",30
"feet",32
"feet",32
"feet",33
"feet",34
"feet",34
"feet",34
"feet",35
"feet",35
"feet",36
"feet",36
"feet",36
"feet",37
"feet",37
"feet",40
"feet",40
"feet",40
"feet",40
"feet",40
"feet",40
"feet",40
"feet",40
"feet",40
"feet",41
"feet",41
"feet",42
"feet",42
"feet",42
"feet",42
"feet",43
"feet",43
"feet",44
"feet",44
"feet",44
"feet",45
"feet",45
"feet",45
"feet",45
"feet",45
"feet",45
"feet",46
"feet",46
"feet",47
"feet",48
"feet",48
"feet",50
"feet",50
"feet",50
"feet",51
"feet",54
"feet",54
"feet",54
"feet",55
"feet",55
"feet",60
"feet",60
"feet",63
"feet",70
"feet",75
"feet",80
"feet",94
