"source","type","weightgain"
"Beef","Low",90
"Beef","Low",76
"Beef","Low",90
"Beef","Low",64
"Beef","Low",86
"Beef","Low",51
"Beef","Low",72
"Beef","Low",90
"Beef","Low",95
"Beef","Low",78
"Beef","High",73
"Beef","High",102
"Beef","High",118
"Beef","High",104
"Beef","High",81
"Beef","High",107
"Beef","High",100
"Beef","High",87
"Beef","High",117
"Beef","High",111
"Cereal","Low",107
"Cereal","Low",95
"Cereal","Low",97
"Cereal","Low",80
"Cereal","Low",98
"Cereal","Low",74
"Cereal","Low",74
"Cereal","Low",67
"Cereal","Low",89
"Cereal","Low",58
"Cereal","High",98
"Cereal","High",74
"Cereal","High",56
"Cereal","High",111
"Cereal","High",95
"Cereal","High",88
"Cereal","High",82
"Cereal","High",77
"Cereal","High",86
"Cereal","High",92
