"ipip","wage1992","prtyid","ideol","gender"
3,0.614226460456848,7,5,1
4,0.758301913738251,5,5,1
4,0.267989993095398,7,6,1
1,0.261489987373352,1,4,1
3,0.285222887992859,2,3.95935654640198,1
4,0.464700013399124,5,3,0
3,0.673849999904633,3,5,1
5,0.574837744235992,4,2,1
2,0.600469946861267,1,1,1
4,0.785520017147064,2,3,1
3,0.367390006780624,5,2,0
3,0.387620002031326,7,4,0
3,0.394959986209869,6.74742412567139,5.42516565322876,1
3,0.312420010566711,5,3.08475399017334,1
2,1.13774001598358,4,4,0
3,0.600469946861267,7,6,1
3,0.461620002985001,6,4,0
2,0.785520017147064,1,3.67513036727905,0
3,0.408399999141693,5,3,1
5,0.518409967422485,7,4,1
3,0.267989993095398,3,2,0
3,0.265219986438751,3,5.42575979232788,1
4,0.614226460456848,3,5,1
3,0.690588891506195,4,3,0
5,0.740281939506531,7,6,1
3,0.0764438807964325,3,6,1
2,0.581430017948151,5,3.55570554733276,1
3,0.408399999141693,2,4.63506889343262,1
2,0.261489987373352,4,3.60355591773987,1
3,0.355242639780045,5,4.32155561447144,1
5,0.267989993095398,1,3.8717942237854,1
5,0.408399999141693,6,6.03058481216431,0
4,0.440597921609879,6,4,1
3,0.394959986209869,2,4,1
3,0.511519968509674,1,3.11985278129578,0
3,0.785520017147064,6,6.06302738189697,0
5,0.785520017147064,5,6,0
3,0.614226460456848,4,3.66976428031921,0
3,0.673849999904633,5,6,0
2,0.65021002292633,2,3,1
3,0.592509984970093,5,5,0
3,0.644749999046326,6,3,1
4,0.267989993095398,6,5,0
5,0.614226460456848,2,5,0
3,0.482245415449142,1,4,1
3,0.701979994773865,2,3,1
5,0.427269995212555,6,6,1
3,0.189989998936653,6,4,1
3,0.511519968509674,2,5.39288711547852,0
4,0.518409967422485,7,7,0
5,0.335929989814758,5,4,1
2,0.65021002292633,1,2,0
3,0.592509984970093,7,4,0
4,0.367390006780624,4,4,0
5,0.387620002031326,5,4.80739164352417,0
3,0.785520017147064,6,3,0
3,0.320780009031296,1,6,1
3,0.394959986209869,7,6,1
5,0.785520017147064,7,6,1
5,0.267989993095398,2,2,0
3,0.414970010519028,7,6,0
4,0.309140026569366,4,3,0
4,0.406390011310577,1,2,1
3,0.673849999904633,7,6,1
5,0.511519968509674,1,2,0
3,0.614226460456848,2,2,0
3,0.261489987373352,2,1.06944334506989,1
4,0.600469946861267,1,5,1
5,0.785520017147064,7,7,0
5,0.532423794269562,1,5,1
3,0.364969998598099,5,5,0
3,0.320780009031296,3.80875468254089,7,1
3,0.336679995059967,2,3.60643172264099,0
5,0.390350013971329,3,4,0
3,0.785520017147064,7,4,0
3,0.446730017662048,5,4,0
3,0.476463615894318,7,6,1
1,0.309140026569366,7,4,0
2,0.408399999141693,7,4,1
3,0.592509984970093,7,2,0
3,0.662460029125214,1,2,0
5,0.267989993095398,2,6.18976831436157,1
5,0.592509984970093,3,5,0
3,0.903599977493286,2,2,0
5,0.477019995450974,5,3.74280500411987,0
3,0.545379996299744,5,5.9803729057312,0
5,0.688880026340485,5,6,1
5,0.309140026569366,2,4.81948852539062,0
1,0.265219986438751,4,4.4454493522644,0
4,0.592509984970093,1,2,1
3,0.701979994773865,7,6,1
3,0.903599977493286,5,5,0
3,0.408600002527237,1,3.95649695396423,0
3,0.785520017147064,1,2,1
2,0.529449999332428,1,4,0
4,0.320780009031296,7,2,1
5,0.364969998598099,5,3,1
3,0.361250013113022,2,3.18510270118713,1
5,0.662460029125214,4,3.73242402076721,0
3,0.673849999904633,4,5,1
4,0.498652845621109,5,4,1
3,0.532429993152618,1,5.12047815322876,0
3,0.440597921609879,1,2,0
4,0.367390006780624,4,3.52899098396301,0
3,0.785520017147064,5,5,0
4,0.688880026340485,2,5,0
4,0.385200023651123,4,2.98015475273132,0
4,0.395704567432404,3,6,1
5,0.701979994773865,6,4,0
3,0.401980012655258,1,4,0
3,0.292278707027435,5,6.24193668365479,1
3,0.343410015106201,2,5.17457342147827,1
2,0.65021002292633,4,3,1
3,0.417062669992447,7,6,0
3,0.343410015106201,4,4,0
3,0.785520017147064,6,5,0
4,0.592509984970093,1,4,0
4,0.37165704369545,1,6,0
4,0.427344441413879,4,4,1
3,0.334767043590546,2,2.1655867099762,1
