"conflict","major","contig","power","maxdem","mindem","years"
1,1,0,0.476666003465652,10,-3,0
1,1,0,0.0813518986105919,10,-1,0
1,0,1,0.286852598190308,8,-9,0
1,1,0,0.0176692996174097,10,-7,0
1,1,0,0.00729040009900928,10,-9,0
1,1,0,0.0737147033214569,10,-7,0
1,0,1,0.00242269993759692,-5,-9,1
1,1,1,0.966857016086578,-5,-9,0
1,1,0,0.0384683981537819,10,2,1
1,0,1,0.781893014907837,10,-8,2
1,1,0,0.387483805418015,10,-9,2
1,1,0,0.171595007181168,10,-9,0
1,0,1,0.400191307067871,8,-9,0
1,0,1,0.0781747028231621,1,-10,2
1,1,0,0.762569427490234,10,-9,1
1,1,0,0.661283373832703,10,-9,1
1,1,0,0.0495655983686447,10,2,0
1,1,0,0.17400249838829,10,-3,1
1,1,0,0.0151707995682955,10,-6,3
1,1,0,0.437659591436386,10,-8,3
1,0,1,0.194236397743225,-7,-9,3
1,0,1,0.467600911855698,10,1,0
1,1,0,0.091184601187706,-7,-9,3
1,0,1,0.357959598302841,2,-10,2
1,0,1,0.40179368853569,-7,-10,3
1,0,1,0.578947424888611,2,-7,3
1,0,1,0.691770195960999,10,-7,0
1,1,0,0.000420099997427315,10,-9,3
1,1,0,0.0439650006592274,10,10,1
1,0,1,0.383426696062088,4,-9,0
1,1,0,0.584051311016083,10,-8,3
1,0,1,0.350704997777939,10,-10,0
1,0,0,0.230131402611732,8,-8,1
1,0,1,0.55448591709137,4,2,4
1,0,1,0.75605320930481,-3,-7,0
1,0,1,0.374547511339188,10,1,0
1,0,1,0.371038109064102,9,4,0
1,0,1,0.324624687433243,4,-10,0
1,1,0,0.39353159070015,10,-8,0
1,1,0,0.583720028400421,10,-9,0
1,1,1,0.660017788410187,9,-8,3
1,1,0,0.51553612947464,10,-8,0
1,0,1,0.866891384124756,10,2,0
1,0,1,0.869553089141846,4,-7,4
1,0,1,0.575189471244812,4,2,0
1,0,1,0.913110971450806,10,2,0
1,0,0,0.62108588218689,10,0,2
1,1,1,0.0783355012536049,-8,-8,0
1,0,1,0.277290612459183,4,-10,0
1,0,1,0.370536595582962,9,4,0
1,1,0,0.126522496342659,10,-1,4
1,1,0,0.164729401469231,10,1,5
1,1,0,0.427535712718964,10,0,2
1,1,0,0.691027522087097,10,-8,0
1,1,0,0.143364906311035,10,-8,0
1,0,1,0.398747712373734,10,1,0
1,1,1,0.0455105006694794,-1,-9,4
1,1,0,0.723183393478394,10,-8,0
1,0,1,0.541555404663086,10,-7,6
1,1,0,0.190380901098251,10,-8,0
1,1,1,0.0665623992681503,10,-9,6
1,1,0,0.510124683380127,10,-9,0
1,0,1,0.452504009008408,2,-9,6
1,0,1,0.924536108970642,10,-7,0
1,0,1,0.365685790777206,9,5,0
1,0,1,0.0649356991052628,10,-9,6
1,1,0,0.171272397041321,10,-6,3
1,1,0,0.00442409981042147,10,2,6
1,0,1,0.986385703086853,4,-7,1
1,0,1,0.54431688785553,10,-7,7
1,1,0,0.0662565007805824,-7,-8,3
1,0,1,0.337356001138687,10,-4,1
1,1,0,0.739344418048859,10,-8,0
1,0,0,0.686891198158264,-7,-8,4
1,0,0,0.502303004264832,10,-8,4
1,0,1,0.551550686359406,4,2,1
1,0,1,0.952589988708496,10,-7,0
1,1,1,0.30371880531311,10,-7,1
1,0,0,0.745576500892639,10,0,1
1,1,1,0.111600503325462,-8,-8,0
1,0,1,0.838050425052643,8,-6,5
1,1,0,0.1830864995718,10,-8,0
1,1,0,0.0714209973812103,10,-7,7
1,0,0,0.534001171588898,8,-8,0
1,0,1,0.373337507247925,10,-7,0
1,1,1,0.47191509604454,10,-8,1
1,0,1,0.551472127437592,10,-7,0
1,0,1,0.542442977428436,4,2,0
1,1,1,0.629193782806396,9,-8,3
1,0,1,0.391481906175613,10,-4,0
1,1,1,0.124210499227047,-8,-8,0
1,0,1,0.646055519580841,-4,-7,0
1,0,1,0.84407252073288,8,-6,0
1,1,0,0.503469705581665,10,-8,0
1,0,0,0.083646796643734,9,-9,7
1,1,1,0.0166637003421783,10,-7,8
1,0,1,0.585526287555695,10,-8,4
1,0,1,0.969884872436523,10,7,0
1,1,0,0.00432940013706684,10,2,1
1,1,0,0.71014678478241,10,-8,0
1,1,0,0.0123699996620417,10,10,8
1,0,1,0.934076070785522,10,7,0
1,0,0,0.548888325691223,10,-7,7
1,1,0,0.207376793026924,10,-8,1
1,0,1,0.255103290081024,7,4,9
1,1,0,0.548381209373474,10,-8,0
1,0,1,0.420644998550415,10,-4,0
1,1,0,0.0356439016759396,10,-10,9
1,1,0,0.00484370021149516,10,2,0
1,0,1,0.361063092947006,10,-7,0
1,1,0,0.0129011003300548,10,4,9
1,0,1,0.86001181602478,8,-2,0
1,1,1,0.620504379272461,9,-8,0
1,1,1,0.293829888105392,10,-7,0
1,0,1,0.44549760222435,10,-1,0
1,0,1,0.238057494163513,5,-10,3
1,0,0,0.340299010276794,10,-8,3
1,1,1,0.0626301988959312,10,-7,2
1,1,1,0.152412503957748,-4,-8,1
1,0,1,0.0560767985880375,10,-9,2
1,0,1,0.544329881668091,4,2,0
1,0,1,0.356313109397888,9,5,2
1,1,1,0.177688702940941,5,-8,8
1,1,0,0.0178903006017208,10,-6,6
1,0,1,0.359595209360123,9,8,0
1,1,0,0.04081080108881,10,-10,0
1,0,0,0.0837303027510643,9,-9,0
1,1,1,0.143666699528694,-7,-7,10
1,1,1,0.616050124168396,9,-8,0
1,0,1,0.475847095251083,-1,-10,10
1,0,0,0.303693801164627,10,-8,1
1,1,1,0.0418918989598751,8,-8,8
1,0,1,0.42444908618927,-3,-9,2
1,0,0,0.625299274921417,-3,-8,2
1,0,1,0.241150006651878,8,-10,0
1,1,1,0.0153732001781464,-7,-8,10
1,1,1,0.12350569665432,-8,-8,0
1,1,0,0.558677315711975,10,-8,0
1,1,1,0.0458884015679359,10,-6,10
1,0,1,0.548076510429382,10,-7,1
1,1,1,0.020320100709796,10,-7,10
1,0,1,0.094131700694561,9,8,9
1,0,1,0.580858111381531,10,-8,1
1,0,1,0.593771576881409,7,-9,7
1,0,1,0.374139010906219,10,-7,0
1,0,1,0.85638302564621,-1,-8,11
1,1,0,0.596703171730042,10,-8,0
1,0,1,0.528325080871582,10,-9,0
1,0,1,0.0559693984687328,10,-9,1
1,0,1,0.36419489979744,9,8,0
1,1,1,0.109461396932602,-8,-8,0
1,1,0,0.0797175019979477,10,-7,3
1,0,0,0.713316977024078,10,-1,3
1,0,1,0.254580497741699,-5,-7,1
1,0,1,0.917082071304321,10,-10,9
1,1,0,0.0167753994464874,10,5,11
1,1,1,0.0220343992114067,10,-7,0
1,0,1,0.704375386238098,-4,-8,1
1,0,1,0.187984496355057,8,-9,4
1,1,1,0.112102299928665,-8,-8,0
1,1,0,0.635837376117706,10,-8,0
1,1,1,0.445362001657486,10,-8,3
1,1,0,0.0712335035204887,10,-8,4
1,0,1,0.360529214143753,4,-5,12
1,1,0,0.00164210004732013,10,10,12
1,0,1,0.294107794761658,-7,-7,2
1,1,0,0.00369690009392798,10,-5,12
1,0,1,0.357008904218674,9,-7,0
1,1,0,0.584192872047424,10,-8,3
1,1,0,0.193407192826271,10,-7,1
1,0,1,0.429146885871887,10,-4,2
1,0,1,0.518481612205505,4,4,12
1,0,1,0.450410097837448,5,-1,2
1,1,0,0.0206026993691921,10,-9,11
1,0,1,0.433601409196854,-3,-9,1
1,0,1,0.385791808366776,-7,-9,3
1,1,0,0.03889200091362,10,-8,1
1,1,1,0.559637904167175,9,-8,1
1,1,0,0.330366313457489,5,-7,1
