"Composition","Drawing","Colour","Expression"
200,100,400,100
400,400,100,400
100,200,400,300
200,400,200,300
100,400,200,100
400,400,100,400
100,400,100,300
400,400,100,300
100,200,300,200
400,400,300,400
200,200,200,300
300,400,200,300
200,400,100,300
400,300,100,300
300,300,300,300
200,400,100,300
300,400,100,300
400,300,300,300
200,200,100,100
300,200,200,300
200,400,100,300
400,400,300,400
100,100,400,100
100,100,300,100
100,100,400,200
100,100,300,200
200,100,300,300
100,100,400,100
100,300,400,200
400,300,400,200
200,400,400,300
400,200,400,100
300,300,300,300
100,100,400,100
300,200,300,400
400,400,200,400
400,200,300,200
300,200,300,200
400,400,300,400
100,200,300,300
200,200,400,400
100,400,100,300
100,100,100,200
200,200,300,300
200,100,400,300
300,300,300,300
400,100,400,400
400,200,400,400
400,200,300,300
400,200,400,400
200,100,200,200
400,400,200,400
400,400,100,400
400,400,100,400
