"mil","coop","target","import","export","cost","num","ncost"
1,4,3,1,1,4,15,"major loss"
0,2,3,0,1,3,4,"modest loss"
0,1,3,1,0,2,1,"little effect"
1,1,3,1,1,2,1,"little effect"
0,1,3,1,1,2,1,"little effect"
0,1,3,0,1,2,1,"little effect"
1,2,2,0,1,2,3,"little effect"
0,1,3,0,0,2,3,"little effect"
0,2,1,0,0,1,2,"net gain"
1,2,3,1,1,2,1,"little effect"
1,1,2,0,0,1,1,"net gain"
0,1,2,1,1,2,1,"little effect"
0,3,1,1,1,2,8,"little effect"
0,3,3,1,1,4,7,"major loss"
0,3,2,1,1,3,21,"modest loss"
0,1,2,0,0,1,1,"net gain"
0,4,2,1,1,2,7,"little effect"
0,3,3,0,0,2,4,"little effect"
0,1,1,0,0,1,1,"net gain"
0,3,3,1,0,3,120,"modest loss"
0,4,3,0,0,2,7,"little effect"
0,1,2,0,0,1,1,"net gain"
0,1,2,1,1,4,1,"major loss"
0,1,2,0,0,1,1,"net gain"
0,1,1,0,0,1,1,"net gain"
0,3,2,1,1,2,32,"little effect"
0,1,2,1,0,2,1,"little effect"
0,1,2,1,0,2,1,"little effect"
0,1,2,0,0,1,1,"net gain"
0,4,2,1,1,3,150,"modest loss"
0,1,2,0,0,1,1,"net gain"
0,1,2,0,0,1,1,"net gain"
0,1,1,0,0,1,1,"net gain"
0,1,2,0,1,1,5,"net gain"
0,2,1,1,1,2,2,"little effect"
0,3,3,0,1,1,10,"net gain"
0,1,2,0,0,1,1,"net gain"
0,1,1,0,0,1,1,"net gain"
0,1,2,0,0,1,1,"net gain"
0,2,3,0,1,2,2,"little effect"
0,2,2,0,1,2,1,"little effect"
0,2,3,0,0,2,2,"little effect"
0,1,3,1,0,2,1,"little effect"
0,2,3,0,1,2,1,"little effect"
0,1,1,1,1,1,1,"net gain"
0,1,2,0,1,1,1,"net gain"
0,1,3,0,1,2,1,"little effect"
0,2,1,1,0,1,1,"net gain"
0,1,3,0,0,1,1,"net gain"
0,1,2,0,0,1,1,"net gain"
0,1,2,0,1,2,1,"little effect"
0,1,3,0,1,2,1,"little effect"
0,1,1,0,1,1,1,"net gain"
0,1,1,0,0,1,2,"net gain"
0,1,2,0,0,1,1,"net gain"
0,1,2,0,1,2,1,"little effect"
0,2,2,0,1,2,3,"little effect"
0,2,3,0,1,2,2,"little effect"
0,2,3,0,1,2,2,"little effect"
0,3,2,1,1,3,9,"modest loss"
1,3,2,0,0,1,7,"net gain"
0,1,3,1,1,3,1,"modest loss"
0,3,1,1,1,3,10,"modest loss"
0,2,2,0,0,1,2,"net gain"
0,3,3,1,1,2,8,"little effect"
0,2,1,0,0,1,2,"net gain"
0,3,3,0,1,3,13,"modest loss"
0,1,2,0,1,2,1,"little effect"
0,1,2,1,0,2,1,"little effect"
0,3,1,1,1,2,4,"little effect"
0,2,3,0,1,3,1,"modest loss"
0,2,2,0,0,1,8,"net gain"
1,3,1,1,1,2,14,"little effect"
0,2,1,0,0,1,2,"net gain"
0,1,3,0,1,2,1,"little effect"
0,4,3,1,0,2,13,"little effect"
0,1,2,0,0,1,1,"net gain"
1,3,1,1,1,2,10,"little effect"
