"instruction","expectation","rating"
"GOOD","HIGH",25
"GOOD","HIGH",0
"GOOD","HIGH",-16
"GOOD","HIGH",5
"GOOD","HIGH",11
"GOOD","HIGH",-6
"GOOD","HIGH",42
"GOOD","HIGH",-2
"GOOD","HIGH",-13
"GOOD","HIGH",14
"GOOD","HIGH",4
"GOOD","HIGH",-22
"GOOD","HIGH",19
"GOOD","HIGH",6
"GOOD","HIGH",-6
"GOOD","LOW",-25
"GOOD","LOW",-23
"GOOD","LOW",-28
"GOOD","LOW",-22
"GOOD","LOW",-22
"GOOD","LOW",-10
"GOOD","LOW",-20
"GOOD","LOW",-24
"GOOD","LOW",-24
"GOOD","LOW",-22
"GOOD","LOW",-23
"GOOD","LOW",-19
"GOOD","LOW",-2
"GOOD","LOW",12
"GOOD","LOW",-8
"GOOD","LOW",-17
"GOOD","LOW",-30
"SCIENTIFIC","HIGH",-19
"SCIENTIFIC","HIGH",-24
"SCIENTIFIC","HIGH",-4
"SCIENTIFIC","HIGH",-24
"SCIENTIFIC","HIGH",0
"SCIENTIFIC","HIGH",-4
"SCIENTIFIC","HIGH",5
"SCIENTIFIC","HIGH",-1
"SCIENTIFIC","HIGH",-9
"SCIENTIFIC","HIGH",-5
"SCIENTIFIC","HIGH",-6
"SCIENTIFIC","HIGH",4
"SCIENTIFIC","HIGH",-13
"SCIENTIFIC","HIGH",-1
"SCIENTIFIC","HIGH",-3
"SCIENTIFIC","HIGH",-11
"SCIENTIFIC","HIGH",-6
"SCIENTIFIC","HIGH",-4
"SCIENTIFIC","LOW",6
"SCIENTIFIC","LOW",-5
"SCIENTIFIC","LOW",14
"SCIENTIFIC","LOW",-11
"SCIENTIFIC","LOW",14
"SCIENTIFIC","LOW",-5
"SCIENTIFIC","LOW",-22
"SCIENTIFIC","LOW",7
"SCIENTIFIC","LOW",14
"SCIENTIFIC","LOW",15
"SCIENTIFIC","LOW",-6
"SCIENTIFIC","LOW",9
"SCIENTIFIC","LOW",-5
"NONE","HIGH",-26
"NONE","HIGH",-1
"NONE","HIGH",22
"NONE","HIGH",3
"NONE","HIGH",-26
"NONE","HIGH",4
"NONE","HIGH",-21
"NONE","HIGH",-19
"NONE","HIGH",-12
"NONE","HIGH",9
"NONE","HIGH",-9
"NONE","HIGH",-27
"NONE","HIGH",-10
"NONE","HIGH",-37
"NONE","HIGH",0
"NONE","HIGH",-10
"NONE","LOW",-12
"NONE","LOW",-4
"NONE","LOW",13
"NONE","LOW",-27
"NONE","LOW",-7
"NONE","LOW",-20
"NONE","LOW",-4
"NONE","LOW",-10
"NONE","LOW",-3
"NONE","LOW",-11
"NONE","LOW",2
"NONE","LOW",-9
"NONE","LOW",20
"NONE","LOW",9
"NONE","LOW",-8
"NONE","LOW",8
"NONE","LOW",-6
"NONE","LOW",6
