"moral","hetero","mobility","region"
19,20.6,15,"E"
17,15.6,20.2,"E"
16.4,22.1,13.6,"E"
16.2,14,14.8,"E"
15.8,17.4,17.6,"MW"
15.3,27.9,17.5,"E"
15.2,22.3,14.7,"E"
14.3,23.7,23.8,"MW"
14.2,10.6,19.4,"E"
14.1,12.7,31.9,"MW"
14,39.7,18.6,"MW"
13.9,13,34.5,"W"
13.8,10.7,35.1,"MW"
13.6,11.9,42.7,"MW"
13,32.5,15.8,"E"
12.8,15.7,24.2,"MW"
12.7,19.2,21.6,"MW"
12.5,15.9,49.8,"W"
12,45.8,12.1,"E"
11.8,17.9,27.4,"MW"
11.3,20.4,22.1,"MW"
11.1,38.3,19.5,"MW"
10.9,17.8,31.2,"W"
9.8,19.3,32.2,"MW"
9.6,12.3,38.9,"W"
9,23.9,34.2,"W"
8.8,29.2,23.1,"MW"
8,27.4,25,"MW"
7.2,16.4,35.8,"W"
10.4,65.3,24.9,"S"
10.2,49,36.1,"S"
10.2,30.5,36.8,"S"
9.7,20.7,47.2,"S"
9.3,57.7,27.2,"S"
8.6,57.4,25.4,"S"
8.2,83.1,25.9,"S"
8,36.8,37.8,"S"
7.7,31.5,19.4,"S"
6,73.7,27.7,"S"
5.4,84.5,26.7,"S"
5.3,23.8,44.9,"S"
5.1,50.2,41.8,"S"
4.2,70.6,32.6,"S"
