"group","pretest.1","pretest.2","post.test.1","post.test.2","post.test.3"
"Basal",4,3,5,4,41
"Basal",6,5,9,5,41
"Basal",9,4,5,3,43
"Basal",12,6,8,5,46
"Basal",16,5,10,9,46
"Basal",15,13,9,8,45
"Basal",14,8,12,5,45
"Basal",12,7,5,5,32
"Basal",12,3,8,7,33
"Basal",8,8,7,7,39
"Basal",13,7,12,4,42
"Basal",9,2,4,4,45
"Basal",12,5,4,6,39
"Basal",12,2,8,8,44
"Basal",12,2,6,4,36
"Basal",10,10,9,10,49
"Basal",8,5,3,3,40
"Basal",12,5,5,5,35
"Basal",11,3,4,5,36
"Basal",8,4,2,3,40
"Basal",7,3,5,4,54
"Basal",9,6,7,8,32
"DRTA",7,2,7,6,31
"DRTA",7,6,5,6,40
"DRTA",12,4,13,3,48
"DRTA",10,1,5,7,30
"DRTA",16,8,14,7,42
"DRTA",15,7,14,6,48
"DRTA",9,6,10,9,49
"DRTA",8,7,13,5,53
"DRTA",13,7,12,7,48
"DRTA",12,8,11,6,43
"DRTA",7,6,8,5,55
"DRTA",6,2,7,0,55
"DRTA",8,4,10,6,57
"DRTA",9,6,8,6,53
"DRTA",9,4,8,7,37
"DRTA",8,4,10,11,50
"DRTA",9,5,12,6,54
"DRTA",13,6,10,6,41
"DRTA",10,2,11,6,49
"DRTA",8,6,7,8,47
"DRTA",8,5,8,8,49
"DRTA",10,6,12,6,49
"Strat",11,7,11,12,53
"Strat",7,6,4,8,47
"Strat",4,6,4,10,41
"Strat",7,2,4,4,49
"Strat",7,6,3,9,43
"Strat",6,5,8,5,45
"Strat",11,5,12,8,50
"Strat",14,6,14,12,48
"Strat",13,6,12,11,49
"Strat",9,5,7,11,42
"Strat",12,3,5,10,38
"Strat",13,9,9,9,42
"Strat",4,6,1,10,34
"Strat",13,8,13,1,48
"Strat",6,4,7,9,51
"Strat",12,3,5,13,33
"Strat",6,6,7,9,44
"Strat",11,4,11,7,48
"Strat",14,4,15,7,49
"Strat",8,2,9,5,33
"Strat",5,3,6,8,45
"Strat",8,3,4,6,42
