"longitude","latitude","number","early","late"
-94.5,46.1,1,0,1
-93,46.6,2,0,2
-94.6,48.5,1,1,0
-92.9,46.6,2,0,2
-95.9,48.8,1,0,1
-92.7,47.1,1,0,1
-94.2,48,2,0,2
-95.6,46.8,1,0,1
-96.3,48.6,3,2,1
-91.4,47.2,1,0,1
-95.7,48.6,1,0,1
-96.6,48.8,1,0,1
-96.3,48.6,1,1,0
-96.1,48.5,1,0,1
-93.7,47.2,1,0,1
-94,47.4,1,0,1
-94.1,48,1,0,1
-95.6,47.4,1,0,1
-94.5,48.5,1,1,0
-95.5,47.9,2,2,0
-94.8,46.7,4,0,4
-93.7,47,4,0,4
-93.7,47,1,0,1
-92.9,46.9,1,0,1
-95.4,47.3,1,1,0
-94.9,47.8,1,0,1
-94.8,47.9,2,1,1
-93,47.9,3,1,2
-91.8,47,1,0,1
-95.8,48.6,7,7,0
-95.5,48.6,3,1,2
-93.4,47.5,1,0,1
-94.5,46.8,1,0,1
-92.7,46,1,0,1
-94.6,48.5,1,1,0
-94.5,48,2,2,0
-94.4,47.8,30,14,16
-93.3,48.4,1,0,1
-94.1,48.4,1,0,1
-94.5,46.6,1,0,1
-93.4,46.7,1,0,1
-93,48.3,15,7,8
-96.3,48.7,2,2,0
-93.5,48.3,1,1,0
-95.9,48.9,1,0,1
-94.9,48.7,1,1,0
-93.5,46.6,1,0,1
-96.5,48.5,1,0,1
-95.1,47.7,1,1,0
-93,47.1,1,0,1
-93,46.4,1,0,1
-95.6,47.8,1,1,0
-95.6,48.3,6,5,1
-96.7,48.9,1,0,1
-96.6,48.8,2,2,0
-96.6,48.8,1,0,1
-95.3,48.8,2,0,2
-94.4,48.7,3,0,3
-95.4,48.9,1,1,0
-96.4,48,1,0,1
-94.7,47.3,1,0,1
-92.6,46,3,0,3
-91.9,47,1,1,0
-92.9,46.8,1,1,0
-92.8,46.6,1,0,1
-92.7,46.4,1,0,1
-95.2,47.7,1,1,0
-94.7,48.7,1,1,0
-93.4,46.6,3,0,3
-92.6,47.2,3,1,2
-93.9,48.6,3,3,0
-95.4,47.1,1,1,0
-92.5,46.8,1,0,1
-94.1,47.9,2,0,2
-94.2,47.9,1,0,1
-92,44.2,1,1,0
-95.2,47.8,1,1,0
-96.6,48.8,1,1,0
-92.8,47.9,1,1,0
-95.4,48.9,1,1,0
-95.4,48.9,1,1,0
-93.6,46.7,2,0,2
-95.5,48.2,2,2,0
-93.5,48.5,2,0,2
-94.4,48.7,2,2,0
-96.2,48.9,1,1,0
-96.1,48.8,1,0,1
-92.8,47.9,1,0,1
-93.9,47.4,2,0,2
-94.8,47.7,7,2,5
-94.6,47.9,1,1,0
-94.2,47.9,6,3,3
-94.4,47.7,1,1,0
-93,46.8,1,0,1
-92.9,46.9,2,0,2
-91.6,47.1,1,0,1
-92.4,47.4,1,0,1
-96,48.6,10,8,2
-96.6,48.9,1,0,1
-94.5,47.9,5,1,4
-94.8,48.8,3,1,2
-95.4,47.3,1,1,0
