"GORE","BUSH","BUCHANAN","NADER","BROWNE","HAGELIN","HARRIS","MCREYNOLDS","MOOREHEAD","PHILLIPS","Total"
47300,34062,262,3215,658,42,4,658,21,20,86242
2392,5610,73,53,17,3,0,0,3,3,8154
18850,38637,248,828,171,18,5,3,37,18,58815
3072,5413,65,84,28,2,0,0,3,2,8669
97318,115185,570,4470,643,39,11,11,76,72,218395
386518,177279,789,7099,1212,128,49,35,123,74,573306
2155,2873,90,39,10,1,0,1,3,2,5174
29641,35419,182,1461,127,15,6,3,12,19,66885
25501,29744,270,1378,194,16,5,0,28,18,57154
14630,41745,186,562,204,14,1,3,9,6,57360
29905,60426,122,1400,185,34,7,4,29,10,92122
7047,10964,89,258,127,7,1,2,5,8,18508
328702,289456,561,5355,759,119,88,36,124,69,625269
3322,4256,36,157,23,0,0,3,2,8,7807
1825,2698,29,75,32,2,0,0,2,3,4666
107680,152082,650,2752,954,160,36,16,41,57,264428
40958,73029,504,1729,297,24,6,3,20,110,116680
13891,12608,83,435,60,4,1,3,12,3,27100
2042,2448,33,85,17,3,1,0,2,3,4634
9565,4750,39,139,24,4,7,3,12,6,14549
1910,3300,29,97,52,1,0,0,4,2,5395
1420,1840,9,56,12,3,0,1,1,0,3342
2389,3546,71,86,21,4,2,2,9,2,6132
1718,2153,24,39,11,2,6,9,4,7,3973
2341,3764,30,75,17,2,0,0,3,2,6234
3239,4743,22,103,11,1,3,2,2,7,8133
32644,30646,242,1501,116,26,8,4,22,10,65219
14152,20196,99,409,51,14,5,3,7,5,34941
166581,176967,836,7348,1104,215,35,29,150,66,353331
2154,4985,76,91,18,7,1,3,2,6,7343
19769,28627,105,950,123,13,4,2,10,13,49616
6868,9138,102,138,40,2,0,1,7,4,16300
3038,2481,29,76,14,1,2,1,0,0,5642
788,1669,10,26,6,0,3,1,0,1,2504
36555,49963,289,1459,203,36,4,1,14,21,88545
73560,106141,305,3587,538,81,30,5,96,34,184377
61425,39053,282,1932,330,28,9,7,31,16,103113
5403,6860,67,284,92,1,1,1,11,10,12730
1011,1316,39,19,12,3,0,0,2,1,2403
3011,3038,29,54,18,2,0,1,5,1,6159
49169,57948,272,2489,243,35,5,3,26,19,110209
44648,55135,563,1810,361,26,14,6,49,22,102634
26619,33864,108,1075,105,29,13,8,12,19,61852
16483,16059,47,1090,162,26,1,0,7,3,33878
6952,16404,90,255,63,8,0,4,3,3,23782
16924,52043,267,984,313,15,4,2,20,33,70605
4588,5058,43,131,21,4,1,1,4,3,9854
140115,134476,446,3881,892,65,13,7,45,41,279981
28177,26216,145,732,309,21,10,5,33,10,55658
268945,152846,3407,5564,743,143,45,302,103,188,432286
69550,68581,570,3392,412,82,18,14,77,17,142713
199660,184312,1010,9986,1222,444,40,27,167,70,396938
74977,90101,538,2060,365,59,8,5,36,46,168195
12091,13439,147,379,114,7,2,4,12,10,26205
19482,39497,229,1214,210,11,4,2,13,12,60674
41559,34705,124,1368,165,12,4,10,29,13,77989
12795,36248,311,723,131,13,1,1,19,43,50285
72854,83100,305,4066,431,94,11,5,59,15,160940
58888,75293,194,1940,551,38,38,5,70,27,137044
9634,12126,114,307,53,2,2,0,17,3,22258
4084,8014,108,182,53,4,2,0,5,9,12461
2647,4051,27,59,4,3,0,1,1,8,6801
1399,2326,26,29,13,0,1,0,0,0,3794
97063,82214,396,2436,3211,33,9888,3,59,2927,198230
3835,4511,46,149,30,3,2,1,6,0,8583
5637,12176,120,265,68,11,3,2,18,7,18307
2796,4983,88,93,32,20,0,0,5,9,8026
