"judge","nation","rater","decision","language","location","success"
"Heald","Lebanon","no","no","English","Toronto",-1.09861
"Heald","Sri.Lanka","no","no","English","Toronto",-0.75377
"Heald","El.Salvador","no","yes","English","Toronto",-1.04597
"MacGuigan","Czechoslovakia","no","yes","French","Montreal",0.40547
"Desjardins","Lebanon","yes","yes","French","Montreal",-1.09861
"Stone","Lebanon","yes","yes","English","Toronto",-1.09861
"Pratte","Ghana","no","no","English","Toronto",-1.20831
"MacGuigan","Somalia","no","no","English","Toronto",-0.99462
"MacGuigan","Somalia","yes","no","French","Montreal",-0.99462
"Pratte","China","no","no","English","other",-0.99462
"Hugessen","El.Salvador","yes","yes","English","other",-1.04597
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Pratte","Sri.Lanka","no","no","English","Toronto",-0.75377
"MacGuigan","China","no","no","French","Montreal",-0.99462
"Stone","Poland","yes","no","English","other",-1.81529
"Iacobucci","Sri.Lanka","no","no","English","Toronto",-0.75377
"Iacobucci","Lebanon","yes","no","English","Toronto",-1.09861
"Pratte","Nicaragua","yes","no","English","other",-1.58563
"Iacobucci","Nigeria","no","no","English","Toronto",-1.20831
"Mahoney","Lebanon","no","no","English","Toronto",-1.09861
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Hugessen","El.Salvador","yes","no","French","Montreal",-1.04597
"Hugessen","Nicaragua","yes","no","English","Toronto",-1.58563
"Hugessen","Sri.Lanka","no","no","French","Montreal",-0.75377
"Hugessen","Lebanon","yes","no","English","Toronto",-1.09861
"Stone","El.Salvador","no","no","English","Toronto",-1.04597
"Iacobucci","Lebanon","yes","yes","English","other",-1.09861
"Iacobucci","Lebanon","no","no","English","other",-1.09861
"MacGuigan","Lebanon","no","no","English","Toronto",-1.09861
"Hugessen","Somalia","yes","no","French","Montreal",-0.99462
"Hugessen","Somalia","no","no","French","Montreal",-0.99462
"MacGuigan","Lebanon","no","no","English","Toronto",-1.09861
"Heald","El.Salvador","yes","yes","English","Toronto",-1.04597
"Stone","Somalia","no","yes","English","other",-0.99462
"MacGuigan","Lebanon","no","no","English","Toronto",-1.09861
"Urie","El.Salvador","no","yes","English","Toronto",-1.04597
"Urie","Lebanon","no","yes","English","other",-1.09861
"Hugessen","Poland","yes","no","French","Montreal",-1.81529
"Mahoney","Iran","no","yes","English","other",-0.66329
"Marceau","Ghana","no","no","English","Toronto",-1.20831
"Hugessen","Somalia","no","no","French","Montreal",-0.99462
"Pratte","Iran","no","no","French","Montreal",-0.66329
"Stone","El.Salvador","no","no","English","Toronto",-1.04597
"Iacobucci","Ghana","yes","no","English","Toronto",-1.20831
"Stone","Guatemala","yes","no","English","Toronto",-1.90096
"Iacobucci","Guatemala","no","no","English","Toronto",-1.90096
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Mahoney","Sri.Lanka","no","yes","English","Toronto",-0.75377
"MacGuigan","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"MacGuigan","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"MacGuigan","Somalia","yes","no","English","other",-0.99462
"Iacobucci","Sri.Lanka","yes","no","English","Toronto",-0.75377
"Marceau","Lebanon","no","yes","English","Montreal",-1.09861
"Urie","China","no","no","English","Toronto",-0.99462
"MacGuigan","China","no","no","French","Montreal",-0.99462
"Desjardins","Iran","yes","no","French","Montreal",-0.66329
"Hugessen","Bulgaria","no","no","French","Montreal",-2.09074
"Hugessen","Bulgaria","no","no","French","Montreal",-2.09074
"MacGuigan","Bulgaria","no","no","French","Montreal",-2.09074
"Mahoney","Lebanon","yes","yes","English","Toronto",-1.09861
"MacGuigan","Sri.Lanka","yes","no","English","Toronto",-0.75377
"Desjardins","Bulgaria","yes","yes","English","other",-2.09074
"Marceau","China","no","no","English","Toronto",-0.99462
"Heald","Poland","no","no","English","other",-1.81529
"Marceau","Czechoslovakia","no","yes","French","Montreal",0.40547
"Marceau","China","no","yes","French","Montreal",-0.99462
"Mahoney","Lebanon","no","no","English","Toronto",-1.09861
"Hugessen","Lebanon","yes","no","French","Montreal",-1.09861
"Heald","Lebanon","no","no","English","other",-1.09861
"Pratte","Lebanon","no","no","French","Montreal",-1.09861
"Hugessen","Bulgaria","no","no","French","Montreal",-2.09074
"MacGuigan","Lebanon","no","no","French","Montreal",-1.09861
"Desjardins","China","yes","no","French","Montreal",-0.99462
"MacGuigan","Lebanon","no","no","French","Montreal",-1.09861
"MacGuigan","Somalia","no","no","French","Montreal",-0.99462
"Iacobucci","Somalia","yes","no","English","Toronto",-0.99462
"Urie","Lebanon","no","no","English","Toronto",-1.09861
"Marceau","China","no","yes","English","other",-0.99462
"Pratte","Czechoslovakia","no","no","French","Montreal",0.40547
"Mahoney","China","no","yes","English","Toronto",-0.99462
"Pratte","China","no","no","English","Toronto",-0.99462
"MacGuigan","Sri.Lanka","yes","yes","English","other",-0.75377
"Hugessen","Poland","yes","no","French","Montreal",-1.81529
"Marceau","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Heald","Bulgaria","no","no","English","other",-2.09074
"Pratte","China","no","no","English","Toronto",-0.99462
"Hugessen","Argentina","no","no","French","Montreal",-0.80012
"Mahoney","Nigeria","yes","yes","English","Toronto",-1.20831
"MacGuigan","Somalia","yes","yes","English","Toronto",-0.99462
"Marceau","Poland","no","no","French","Montreal",-1.81529
"Stone","China","no","no","English","Toronto",-0.99462
"Mahoney","Sri.Lanka","yes","no","English","Toronto",-0.75377
"Marceau","Lebanon","no","yes","French","other",-1.09861
"MacGuigan","Nigeria","no","no","English","Toronto",-1.20831
"Heald","Lebanon","yes","no","English","Toronto",-1.09861
"MacGuigan","Bulgaria","no","no","English","Toronto",-2.09074
"MacGuigan","Guatemala","no","yes","English","Toronto",-1.90096
"Pratte","Bulgaria","yes","no","French","Montreal",-2.09074
"Pratte","Bulgaria","no","no","English","Montreal",-2.09074
"MacGuigan","China","yes","no","English","Toronto",-0.99462
"Desjardins","China","no","no","English","Toronto",-0.99462
"Desjardins","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Desjardins","Bulgaria","yes","yes","French","Montreal",-2.09074
"Heald","Sri.Lanka","no","no","English","Toronto",-0.75377
"Pratte","Iran","no","no","English","Toronto",-0.66329
"Mahoney","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Heald","China","no","no","English","Toronto",-0.99462
"Pratte","Lebanon","yes","no","French","Montreal",-1.09861
"Stone","Sri.Lanka","no","no","English","Toronto",-0.75377
"MacGuigan","Bulgaria","yes","no","French","Montreal",-2.09074
"MacGuigan","China","no","no","French","Montreal",-0.99462
"MacGuigan","Czechoslovakia","yes","no","French","Montreal",0.40547
"Mahoney","Nicaragua","no","no","English","other",-1.58563
"Mahoney","Nicaragua","yes","no","English","Toronto",-1.58563
"Hugessen","Lebanon","no","no","French","Toronto",-1.09861
"MacGuigan","Lebanon","no","no","French","Montreal",-1.09861
"Marceau","Ghana","no","no","French","Montreal",-1.20831
"Mahoney","Nicaragua","yes","yes","English","other",-1.58563
"Marceau","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Iacobucci","Sri.Lanka","no","no","English","Toronto",-0.75377
"Hugessen","Lebanon","yes","no","French","Montreal",-1.09861
"Pratte","Czechoslovakia","yes","yes","French","Montreal",0.40547
"Hugessen","Sri.Lanka","yes","no","French","Montreal",-0.75377
"Iacobucci","Lebanon","no","no","French","other",-1.09861
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Desjardins","Lebanon","no","yes","English","Toronto",-1.09861
"Desjardins","Lebanon","no","no","French","Montreal",-1.09861
"Iacobucci","Lebanon","no","no","English","Toronto",-1.09861
"Iacobucci","Sri.Lanka","no","no","English","Toronto",-0.75377
"Desjardins","El.Salvador","yes","yes","English","Toronto",-1.04597
"Iacobucci","Lebanon","no","no","English","other",-1.09861
"Iacobucci","Iran","no","no","English","other",-0.66329
"Hugessen","Czechoslovakia","yes","yes","French","Montreal",0.40547
"Desjardins","Czechoslovakia","no","yes","English","Montreal",0.40547
"Hugessen","Czechoslovakia","no","yes","French","Montreal",0.40547
"Hugessen","Czechoslovakia","yes","yes","English","Montreal",0.40547
"Hugessen","Czechoslovakia","no","yes","French","Montreal",0.40547
"Hugessen","Czechoslovakia","no","yes","French","Montreal",0.40547
"Iacobucci","Sri.Lanka","yes","yes","English","other",-0.75377
"Hugessen","Czechoslovakia","yes","yes","French","Montreal",0.40547
"Marceau","Lebanon","yes","yes","French","Montreal",-1.09861
"Iacobucci","Sri.Lanka","no","no","English","Toronto",-0.75377
"Urie","Sri.Lanka","no","yes","English","Toronto",-0.75377
"Iacobucci","China","no","no","English","other",-0.99462
"Urie","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Iacobucci","Somalia","no","no","French","Montreal",-0.99462
"Desjardins","Lebanon","yes","yes","English","Toronto",-1.09861
"Desjardins","El.Salvador","yes","yes","English","Toronto",-1.04597
"Iacobucci","Iran","yes","yes","English","Toronto",-0.66329
"Mahoney","Lebanon","no","no","English","other",-1.09861
"MacGuigan","Sri.Lanka","no","no","English","Toronto",-0.75377
"Stone","India","no","yes","English","Toronto",-0.53222
"Desjardins","El.Salvador","yes","yes","English","Toronto",-1.04597
"MacGuigan","Lebanon","yes","no","English","other",-1.09861
"Hugessen","Poland","no","no","French","Montreal",-1.81529
"Desjardins","Czechoslovakia","yes","yes","French","Montreal",0.40547
"Desjardins","Czechoslovakia","yes","yes","English","Montreal",0.40547
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Hugessen","China","no","no","English","Toronto",-0.99462
"Hugessen","Lebanon","no","no","French","Montreal",-1.09861
"Hugessen","Sri.Lanka","no","no","English","Toronto",-0.75377
"Urie","Bulgaria","no","no","English","other",-2.09074
"Urie","Poland","no","no","English","other",-1.81529
"Stone","El.Salvador","no","no","English","other",-1.04597
"Stone","China","yes","yes","English","other",-0.99462
"Hugessen","Ghana","yes","no","English","Toronto",-1.20831
"Heald","Sri.Lanka","no","no","English","Toronto",-0.75377
"Heald","India","yes","yes","English","Toronto",-0.53222
"Hugessen","Lebanon","yes","yes","French","Montreal",-1.09861
"Stone","Sri.Lanka","no","no","English","Toronto",-0.75377
"Hugessen","El.Salvador","yes","no","French","Montreal",-1.04597
"Hugessen","Somalia","no","no","French","Montreal",-0.99462
"Heald","El.Salvador","yes","no","English","other",-1.04597
"Stone","Iran","no","no","English","Toronto",-0.66329
"Mahoney","Lebanon","no","no","English","Toronto",-1.09861
"Pratte","Czechoslovakia","yes","yes","French","Montreal",0.40547
"Hugessen","Ghana","no","no","French","Montreal",-1.20831
"Hugessen","Somalia","no","no","French","Montreal",-0.99462
"Hugessen","Czechoslovakia","yes","yes","French","Montreal",0.40547
"Iacobucci","Lebanon","yes","no","English","Toronto",-1.09861
"Stone","China","no","no","English","other",-0.99462
"Mahoney","Lebanon","no","no","English","Toronto",-1.09861
"Mahoney","El.Salvador","yes","yes","English","Toronto",-1.04597
"Mahoney","Somalia","no","no","English","Toronto",-0.99462
"Hugessen","Czechoslovakia","yes","yes","French","Montreal",0.40547
"MacGuigan","El.Salvador","no","no","English","Toronto",-1.04597
"Hugessen","Sri.Lanka","no","no","French","Montreal",-0.75377
"Mahoney","Sri.Lanka","no","no","English","Toronto",-0.75377
"Pratte","Somalia","yes","no","French","Toronto",-0.99462
"Mahoney","Lebanon","no","no","English","Toronto",-1.09861
"Pratte","Czechoslovakia","no","no","French","Montreal",0.40547
"Heald","China","no","no","English","Toronto",-0.99462
"MacGuigan","Guatemala","no","no","English","Toronto",-1.90096
"MacGuigan","El.Salvador","no","yes","English","Toronto",-1.04597
"MacGuigan","Lebanon","no","no","English","Toronto",-1.09861
"Desjardins","Iran","no","no","English","Toronto",-0.66329
"Stone","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Desjardins","Nigeria","yes","no","English","Toronto",-1.20831
"Mahoney","Sri.Lanka","yes","yes","English","Toronto",-0.75377
"Pratte","Lebanon","no","no","French","Montreal",-1.09861
"Iacobucci","Lebanon","no","no","English","Toronto",-1.09861
"Iacobucci","China","no","no","English","other",-0.99462
"Heald","China","no","no","English","other",-0.99462
"Desjardins","Lebanon","no","yes","French","Montreal",-1.09861
"Desjardins","El.Salvador","yes","no","English","Montreal",-1.04597
"MacGuigan","Somalia","no","yes","English","Toronto",-0.99462
"Heald","Pakistan","no","yes","English","Toronto",-0.48955
"MacGuigan","Czechoslovakia","no","no","French","Montreal",0.40547
"MacGuigan","China","no","yes","English","other",-0.99462
