"partner.status","conformity","fcategory","fscore"
"low",8,"low",37
"low",4,"high",57
"low",8,"high",65
"low",7,"low",20
"low",10,"low",36
"low",6,"low",18
"low",12,"medium",51
"low",4,"medium",44
"low",13,"low",31
"low",12,"low",36
"low",4,"medium",42
"low",13,"high",56
"low",7,"low",28
"low",9,"medium",43
"low",9,"high",65
"low",24,"high",57
"low",6,"low",28
"low",7,"high",61
"low",23,"high",57
"low",13,"high",55
"low",8,"low",17
"low",12,"low",35
"high",19,"high",68
"high",12,"medium",41
"high",21,"low",16
"high",9,"high",63
"high",23,"low",15
"high",7,"high",54
"high",17,"medium",48
"high",14,"medium",42
"high",11,"high",59
"high",16,"medium",45
"high",15,"low",30
"high",20,"medium",44
"high",8,"medium",42
"high",12,"low",22
"high",14,"high",52
"high",14,"medium",42
"high",17,"medium",41
"high",7,"medium",50
"high",17,"medium",39
"high",13,"high",57
"high",16,"low",35
"high",10,"high",52
"high",15,"medium",44
