"wages","education","age","sex","language"
10.56,15,40,"Male","English"
11,13.2,19,"Male","English"
NA,16,49,"Male","Other"
17.76,14,46,"Male","Other"
NA,8,71,"Male","English"
14,16,50,"Female","English"
NA,12,70,"Female","English"
NA,14.5,42,"Female","English"
8.2,15,31,"Male","English"
NA,10,56,"Female","English"
NA,12.5,71,"Female","English"
16.97,13.5,30,"Female","English"
NA,2,56,"Male","English"
6.7,12,61,"Female","English"
NA,12,25,"Female","English"
NA,11,36,"Female","French"
NA,11,54,"Female","English"
NA,10,62,"Female","English"
NA,10.5,70,"Female","English"
14,14,46,"Female","Other"
NA,8,49,"Female","English"
NA,8,34,"Male","Other"
NA,11,17,"Male","English"
NA,17,85,"Female","English"
19.2,18,43,"Male","English"
7.25,11,17,"Male","English"
NA,11,77,"Female","English"
NA,13,70,"Male","English"
16,7,46,"Male","Other"
23,14,32,"Male","English"
36.11,17,35,"Male","English"
NA,13,89,"Male","Other"
NA,8,68,"Male","English"
NA,10,72,"Male","English"
NA,11,16,"Female","English"
NA,6,58,"Female","Other"
20.16,20,39,"Male","English"
12.61,13,32,"Male","English"
NA,11,64,"Female","English"
NA,10,53,"Female","English"
NA,8,72,"Male","English"
NA,19,38,"Female","English"
13.65,19,30,"Female","English"
9,13.8,20,"Female","English"
NA,11,19,"Female","English"
NA,11,18,"Female","English"
18.07,13.6,48,"Male","Other"
NA,10,66,"Female","English"
NA,12,52,"Female","English"
NA,13,39,"Female","English"
NA,NA,24,"Female",NA
6.35,NA,16,"Male","English"
NA,20,67,"Male","English"
16.01,19,39,"Female","English"
26.4,12.7,38,"Male","English"
NA,14,63,"Female","English"
20.65,19,37,"Male","English"
NA,9,32,"Male","English"
NA,18.8,59,"Female","English"
NA,13,70,"Male","English"
23.04,19,37,"Female","English"
24.03,18.3,31,"Male","English"
12,14,46,"Female","English"
25.6,13,41,"Male","English"
NA,14,28,"Female","Other"
6.85,15.6,31,"Female","English"
NA,16,52,"Female","English"
15,12,40,"Male","English"
NA,14,32,"Female","Other"
NA,7,77,"Male","English"
9.75,8,60,"Male","English"
NA,8,53,"Female","English"
6.7,11,17,"Female","English"
NA,18,57,"Male","English"
15,17,39,"Male","English"
NA,1,49,"Female","English"
NA,12,49,"Female","English"
10.5,13.5,24,"Male","English"
13.26,12,52,"Female","English"
17.75,18,34,"Male","English"
NA,8,91,"Female","English"
14.26,12,34,"Female","English"
18.05,15,34,"Male","English"
NA,20,58,"Male","English"
NA,12,73,"Female","Other"
NA,12.5,40,"Male","English"
NA,12,35,"Female","English"
18.39,9,40,"Male","English"
18.92,10.5,48,"Male","English"
20.64,19,39,"Male","English"
NA,10,69,"Male","Other"
15.49,14,33,"Female","English"
10.4,13,62,"Female","English"
NA,18,70,"Female","English"
15.39,15,28,"Female","English"
16.8,12.5,36,"Male","English"
NA,10,42,"Male","English"
15.36,20,47,"Female","English"
NA,12.5,19,"Male","English"
NA,10,16,"Male","English"
17.98,12,53,"Female","English"
NA,4,69,"Female","Other"
NA,7,77,"Male","Other"
NA,14,48,"Female","English"
6.7,14,20,"Male","English"
5,11,17,"Male","Other"
12,12.8,20,"Male","English"
6.66,15.5,31,"Female","English"
NA,9.3,46,"Female","French"
14,13.5,53,"Female","Other"
25.6,14,34,"Male","English"
18.43,17,28,"Male","Other"
11.5,12,48,"Female","Other"
14,8,27,"Male","English"
NA,8,84,"Female","English"
6.03,14,22,"Male","Other"
NA,18,47,"Male","English"
NA,12.5,51,"Female","English"
8.23,13,45,"Female","English"
NA,13,22,"Female","English"
NA,12,71,"Male","English"
15.36,11,51,"Female","French"
NA,13,60,"Female","English"
13.75,8.5,57,"Male","English"
NA,14,37,"Female","English"
7.44,9,34,"Male","English"
24.96,18,44,"Female","English"
33.18,20,54,"Male","English"
NA,13,19,"Male","English"
NA,11,81,"Female","English"
11.59,13.4,26,"Male","English"
NA,19,73,"Male","English"
14.09,14,33,"Male","English"
NA,13,62,"Male","English"
23.52,13,32,"Male","English"
15.84,12,48,"Male","English"
23.72,9.5,50,"Male","English"
8.37,12.5,65,"Female","English"
NA,8,32,"Male","French"
NA,9.5,47,"Female","French"
NA,12,24,"Female","English"
10.2,12,26,"Female","English"
7.61,14,23,"Female","English"
NA,7,57,"Male","Other"
NA,13,62,"Female","Other"
NA,10.5,63,"Male","English"
NA,13,37,"Female","English"
6.75,10,21,"Male","English"
25.91,14,35,"Female","English"
NA,8,66,"Female","English"
NA,15,35,"Female","English"
NA,14,33,"Male","English"
NA,12,19,"Male","French"
15.94,13.2,35,"Female","English"
6.71,13,28,"Male","English"
20.79,12,34,"Female","English"
NA,9,59,"Female","English"
8.75,12,49,"Female","English"
