"partic","hincome","children","region"
"not.work",15,"present","Ontario"
"not.work",13,"present","Ontario"
"not.work",45,"present","Ontario"
"not.work",23,"present","Ontario"
"not.work",19,"present","Ontario"
"not.work",7,"present","Ontario"
"not.work",15,"present","Ontario"
"fulltime",7,"present","Ontario"
"not.work",15,"present","Ontario"
"not.work",23,"present","Ontario"
"not.work",23,"present","Ontario"
"fulltime",13,"present","Ontario"
"not.work",9,"present","Prairie"
"not.work",9,"present","Prairie"
"not.work",45,"present","Atlantic"
"not.work",15,"present","Atlantic"
"not.work",5,"present","Ontario"
"not.work",9,"present","Ontario"
"not.work",13,"present","Ontario"
"not.work",13,"absent","Ontario"
"parttime",19,"absent","Ontario"
"not.work",23,"present","Prairie"
"fulltime",10,"absent","Prairie"
"fulltime",11,"absent","Ontario"
"not.work",23,"present","Ontario"
"not.work",23,"present","Ontario"
"not.work",19,"present","Ontario"
"not.work",19,"present","Ontario"
"not.work",17,"present","Prairie"
"fulltime",14,"present","Prairie"
"not.work",13,"present","Ontario"
"not.work",13,"present","Ontario"
"not.work",15,"present","Ontario"
"not.work",9,"absent","Ontario"
"not.work",9,"absent","Ontario"
"not.work",19,"absent","Ontario"
"not.work",15,"present","Ontario"
"fulltime",20,"absent","Ontario"
"not.work",9,"present","Atlantic"
"parttime",6,"absent","Atlantic"
"not.work",9,"present","BC"
"parttime",4,"present","Ontario"
"parttime",28,"absent","Ontario"
"not.work",23,"present","Ontario"
"parttime",5,"present","Ontario"
"not.work",28,"present","Ontario"
"not.work",7,"present","Ontario"
"not.work",7,"present","Ontario"
"not.work",23,"present","Prairie"
"fulltime",15,"absent","Prairie"
"parttime",10,"present","Prairie"
"parttime",10,"present","Prairie"
"not.work",9,"absent","Ontario"
"not.work",9,"absent","Ontario"
"parttime",9,"present","Atlantic"
"not.work",17,"absent","Atlantic"
"not.work",23,"present","Atlantic"
"not.work",23,"present","Atlantic"
"not.work",9,"present","Ontario"
"not.work",9,"present","Ontario"
"fulltime",9,"absent","Ontario"
"fulltime",28,"absent","Ontario"
"parttime",10,"present","Ontario"
"parttime",23,"absent","Prairie"
"not.work",11,"present","Prairie"
"not.work",15,"present","Ontario"
"not.work",15,"present","Ontario"
"not.work",19,"present","Ontario"
"not.work",19,"present","Ontario"
"not.work",23,"present","Ontario"
"not.work",17,"present","Ontario"
"not.work",17,"present","Ontario"
"not.work",17,"present","Ontario"
"not.work",17,"present","Ontario"
"not.work",17,"present","Ontario"
"parttime",38,"present","Ontario"
"parttime",38,"present","Ontario"
"not.work",7,"present","Atlantic"
"not.work",19,"present","Prairie"
"parttime",19,"present","BC"
