"id","father","mother","sex"
2,0,0,"F"
88,0,0,"F"
8,0,0,"F"
10,0,0,"F"
20,0,0,"F"
22,0,0,"F"
24,0,0,"F"
26,0,0,"F"
18,0,0,"F"
34,0,0,"F"
12,0,0,"F"
50,0,0,"F"
56,0,0,"F"
64,0,0,"F"
66,0,0,"F"
68,0,0,"F"
70,0,0,"F"
72,0,0,"F"
1,0,0,"M"
4,0,0,"M"
6,0,0,"M"
99,0,0,"M"
28,0,0,"M"
30,0,0,"M"
36,0,0,"M"
38,0,0,"M"
40,0,0,"M"
42,0,0,"M"
44,0,0,"M"
46,0,0,"M"
52,0,0,"M"
54,0,0,"M"
48,0,0,"M"
78,0,0,"M"
60,0,0,"M"
62,0,0,"M"
80,0,0,"M"
82,0,0,"M"
3,1,2,"F"
5,4,3,"F"
7,4,3,"M"
9,4,3,"M"
11,6,5,"M"
13,6,5,"M"
15,6,5,"F"
14,99,88,"F"
16,99,88,"M"
17,7,8,"M"
19,9,10,"M"
21,19,20,"M"
23,21,22,"M"
25,23,24,"M"
27,25,26,"F"
29,28,27,"F"
31,30,29,"F"
33,17,18,"M"
35,33,34,"F"
37,36,35,"F"
39,38,37,"F"
41,40,39,"F"
43,42,41,"F"
45,44,43,"F"
47,46,45,"F"
49,11,12,"M"
51,49,50,"F"
53,52,51,"F"
55,54,53,"M"
57,55,56,"M"
73,57,58,"M"
74,32,31,"F"
75,73,74,"M"
76,48,47,"F"
77,75,76,"F"
79,78,77,"F"
59,13,14,"F"
61,60,59,"F"
63,62,61,"M"
65,63,64,"M"
32,65,66,"M"
67,16,15,"M"
69,67,68,"M"
71,69,70,"M"
58,71,72,"F"
81,80,79,"F"
83,82,81,"M"
