"ItemLabel","Item","Giant3","Big6","Little12","Keying","IPIP100"
"q_146","Am indifferent to the feelings of others.","Cohesion","Agreeableness","Compassion",-1,"B5:A"
"q_1162","Inquire about others' well-being.","Cohesion","Agreeableness","Compassion",1,"B5:A"
"q_1206","Know how to comfort others.","Cohesion","Agreeableness","Compassion",1,"B5:A"
"q_1364","Love children.","Cohesion","Agreeableness","Compassion",1,"B5:A"
"q_1419","Make people feel at ease.","Cohesion","Agreeableness","Compassion",1,"B5:A"
"q_124","Am exacting in my work.","Stability","Conscientiousness","Orderliness",1,"B5:C"
"q_530","Continue until everything is perfect.","Stability","Conscientiousness","Orderliness",1,"B5:C"
"q_619","Do things according to a plan.","Stability","Conscientiousness","Orderliness",1,"B5:C"
"q_626","Do things in a half-way manner.","Stability","Conscientiousness","Industriousness",-1,"B5:C"
"q_1949","Waste my time.","Stability","Conscientiousness","Industriousness",-1,"B5:C"
"q_712","Don't talk a lot.","Plasticity","Extraversion","Sociability",-1,"B5:E"
"q_901","Find it difficult to approach others.","Plasticity","Extraversion","Sociability",-1,"B5:E"
"q_1205","Know how to captivate people.","Plasticity","Extraversion","Assertiveness",1,"B5:E"
"q_1410","Make friends easily.","Plasticity","Extraversion","Sociability",1,"B5:E"
"q_1768","Take charge.","Plasticity","Extraversion","Assertiveness",1,"B5:E"
"q_952","Get angry easily.","Stability","Emotional Stability","Balance",-1,"B5:N"
"q_974","Get irritated easily.","Stability","Emotional Stability","Balance",-1,"B5:N"
"q_1099","Have frequent mood swings.","Stability","Emotional Stability","Balance",-1,"B5:N"
"q_1479","Often feel blue.","Stability","Emotional Stability","Balance",-1,"B5:N"
"q_1505","Panic easily.","Stability","Emotional Stability","Balance",-1,"B5:N"
"q_128","Am full of ideas.","Plasticity","Openness","Intellect",1,"B5:O"
"q_316","Avoid difficult reading material.","Plasticity","Openness","Intellect",-1,"B5:O"
"q_492","Carry the conversation to a higher level.","Plasticity","Openness","Intellect",1,"B5:O"
"q_1738","Spend time reflecting on things.","Plasticity","Openness","Openness",1,"B5:O"
"q_1964","Will not probe deeply into a subject.","Plasticity","Openness","Openness",-1,"B5:O"
"gender","males=1, females=2",NA,NA,NA,NA,NA
"education","in HS, fin HS, coll,  coll grad , grad deg",NA,NA,NA,NA,NA
"age","age in years",NA,NA,NA,NA,NA
