"active","afraid","alert","angry","anxious","aroused","ashamed","astonished","at.ease","at.rest","attentive","blue","bored","calm","cheerful","clutched.up","confident","content","delighted","depressed","determined","distressed","drowsy","dull","elated","energetic","enthusiastic","excited","fearful","frustrated","full.of.pep","gloomy","grouchy","guilty","happy","hostile","idle","inactive","inspired","intense","interested","irritable","jittery","lively","lonely","nervous","placid","pleased","proud","quiescent","quiet","relaxed","sad","satisfied","scared","serene","sleepy","sluggish","sociable","sorry","still","strong","surprised","tense","tired","tranquil","unhappy","upset","vigorous","wakeful","warmhearted","wide.awake","alone","kindly","scornful","EA","TA","PA","NegAff","Extraversion","Neuroticism","Lie","Sociability","Impulsivity","MSQ_Round","ID","condition","MSQ_Time","TOD","TOD24","scale","exper"
1,1,1,0,1,1,0,0,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,NA,NA,NA,12,15,10,5,9,20,1,3,4,15,193,2,15.3,15,NA,"r","Rim.1"
1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,2,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,0,NA,NA,NA,12,11,7,0,18,8,1,11,6,15,130,2,15.3,15,NA,"r","Rim.2"
1,0,0,0,0,0,0,0,2,2,0,0,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,NA,NA,NA,10,8,1,0,15,11,3,8,5,15,2135,2,15.3,15,NA,"r","Rim.2"
1,0,1,0,1,1,1,0,1,2,1,1,0,1,2,0,0,2,2,1,2,1,1,0,1,2,3,3,0,1,2,1,0,2,2,0,0,1,2,1,2,1,3,2,1,2,1,1,2,0,1,2,1,2,1,1,1,1,3,0,0,2,1,0,1,0,1,1,0,3,3,1,NA,NA,NA,NA,NA,NA,NA,20,20,1,12,7,NA,18,2,NA,NA,NA,"r","COPE"
2,0,1,0,NA,2,0,3,3,1,1,0,1,3,NA,0,2,2,0,0,2,0,1,1,0,0,1,2,0,0,2,0,0,0,2,0,NA,NA,0,1,1,0,1,2,0,0,3,1,0,0,3,3,0,2,0,3,1,1,1,0,3,1,3,0,1,NA,0,0,0,1,2,0,2,2,0,13,4,11,1,13,15,4,5,7,6,2,5,5.75,5.83,5.5,"msq","rob-1"
2,0,1,0,NA,1,0,0,1,1,1,1,1,2,NA,0,1,1,0,1,0,0,2,1,0,1,1,0,0,1,1,1,1,0,1,0,NA,NA,0,0,1,1,0,1,0,0,1,1,1,0,2,2,1,2,0,1,2,1,2,0,1,1,0,0,2,NA,1,0,0,2,2,1,0,2,0,11,8,8,1,19,15,2,10,7,6,3,5,5.75,5.83,5.5,"msq","rob-1"
0,0,1,0,NA,0,0,0,1,1,1,3,2,2,NA,1,0,1,0,3,1,2,3,2,0,0,0,0,0,1,0,2,2,1,0,0,NA,NA,0,1,1,1,0,0,2,0,2,0,0,2,1,2,2,0,0,1,2,3,0,1,2,1,0,0,3,NA,3,1,0,0,1,0,1,1,1,1,9,5,5,11,17,4,6,4,6,5,5,5.75,5.83,5.5,"msq","rob-1"
0,0,0,0,NA,0,0,0,0,1,1,0,0,1,NA,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,2,NA,0,0,0,1,0,0,0,0,0,6,9,3,0,11,4,4,8,3,6,8,5,5.75,5.83,5.5,"msq","rob-1"
1,0,0,0,NA,1,0,0,2,0,0,1,0,0,NA,0,1,1,2,1,1,0,2,0,1,0,2,1,0,0,1,0,0,0,2,1,NA,NA,0,1,2,0,1,1,0,0,1,0,2,0,0,2,1,2,1,1,2,1,1,0,0,1,0,0,0,NA,0,0,0,1,2,0,0,0,0,9,16,10,3,11,10,0,5,5,6,10,5,5.75,5.83,5.5,"msq","rob-1"
0,0,2,0,NA,0,0,0,1,0,1,0,0,2,NA,1,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,0,0,1,0,1,0,0,0,2,1,2,0,2,2,0,1,0,1,2,2,0,0,2,1,0,0,2,NA,0,0,0,2,1,1,1,0,0,6,9,7,1,15,11,2,9,5,6,12,5,5.75,5.83,5.5,"msq","rob-1"
