"V1","V2","V3","V4","V5"
111,145,188,190,260
113,147,187,190,259
113,150,195,192,259
110,147,211,195,262
101,136,240,200,266
93,125,262,203,271
92,110,46,165,235
94,95,29,113,190
94,94,29,110,188
100,104,21,133,208
108,115,17,144,215
134,156,10,163,233
149,181,68,180,247
108,154,305,222,285
81,137,426,251,306
86,138,381,246,300
89,137,378,246,301
88,133,366,244,298
88,131,370,243,298
89,133,380,246,302
92,137,362,244,300
94,139,355,240,299
115,156,231,215,276
128,167,181,201,265
113,156,242,212,273
112,155,236,209,271
121,162,224,205,268
126,166,248,212,273
136,174,259,217,278
146,177,203,212,272
136,155,322,246,301
103,97,552,320,364
80,66,576,340,377
79,66,572,340,376
79,66,577,341,379
78,66,574,342,377
78,66,571,343,379
78,66,572,344,380
